HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Venue,Result
4,6,18.3,6.6,6.8,8.5,1.5,0.0,2.5,0.3,2.7,0.2,22.0,25.0,2.8,3.0,90.0,100.0,3.0,100.0,100.0,15.0,13.0,5.0,4.8,10.7,1.8,0.0,2.8,0.7,1.9,1.0,21.0,9.0,2.2,1.9,70.0,60.0,1.0,80.0,70.0,2.0,85,84,86,85.0,78,80,83,80.33,1.4,5.0,7.0,Anfield,D
7,7,11.2,3.2,4.5,12.6,2.0,0.0,0.9,1.7,1.3,1.9,-8.0,-6.0,0.7,1.0,20.0,30.0,0.0,30.0,40.0,0.0,15.7,5.1,5.6,10.0,1.3,0.0,1.6,1.8,1.6,1.5,-2.0,1.0,1.3,1.4,40.0,40.0,0.0,50.0,60.0,0.0,71,72,74,72.33,71,73,78,74.0,3.4,3.4,2.1,Villa Park,D
5,4,14.8,5.4,7.4,11.7,2.2,0.0,2.1,1.3,1.6,1.7,8.0,-1.0,1.8,1.2,60.0,40.0,1.0,60.0,40.0,1.0,8.5,2.4,4.4,10.0,1.2,0.0,0.4,1.4,0.9,1.3,-10.0,-4.0,0.9,1.5,20.0,40.0,1.0,50.0,70.0,2.0,75,77,76,76.0,76,76,76,76.0,1.75,3.8,4.5,Villa Park,D
10,10,10.5,4.1,4.6,11.5,2.3,0.1,1.0,1.1,0.9,1.6,-1.0,-7.0,1.4,1.1,40.0,30.0,2.0,60.0,50.0,2.0,15.7,8.5,6.9,10.1,1.4,0.0,1.7,1.0,1.1,1.2,7.0,-1.0,1.9,1.4,60.0,40.0,1.0,70.0,60.0,1.0,74,74,75,74.33,81,83,84,82.67,6.0,4.0,1.65,Bet365 Stadium,D
4,3,6.6,2.4,2.3,9.5,1.5,0.2,0.8,3.0,0.5,2.9,-22.0,-24.0,0.5,0.5,10.0,10.0,0.0,30.0,30.0,0.0,10.3,3.5,3.8,12.9,1.8,0.2,0.6,0.9,0.8,1.3,-3.0,-5.0,0.9,0.7,10.0,10.0,0.0,70.0,50.0,1.0,72,74,72,72.67,74,76,75,75.0,3.3,3.2,2.3,The Hawthorns,D
2,2,15.0,4.3,6.3,12.4,2.3,0.1,1.4,1.3,1.4,1.0,1.0,4.0,1.9,1.6,60.0,50.0,3.0,70.0,60.0,4.0,12.4,4.6,4.9,10.6,1.7,0.1,1.8,0.7,1.2,1.5,11.0,-3.0,2.3,1.1,70.0,20.0,1.0,90.0,70.0,8.0,78,80,77,78.33,80,79,85,81.33,3.25,3.6,2.3,White Hart Lane,D
5,6,9.9,3.5,5.0,10.3,1.5,0.0,1.3,2.1,1.3,1.4,-8.0,-1.0,1.1,1.3,30.0,30.0,1.0,50.0,70.0,1.0,12.1,4.4,5.2,9.1,1.4,0.0,1.6,1.0,1.5,1.1,6.0,4.0,2.1,1.9,70.0,60.0,0.0,70.0,70.0,0.0,74,77,77,76.0,81,83,85,83.0,4.75,3.79,1.8,London Stadium,D
4,4,12.2,3.2,4.5,11.9,2.0,0.0,1.7,2.2,1.0,2.1,-5.0,-11.0,1.3,1.1,40.0,30.0,0.0,50.0,50.0,0.0,16.8,5.3,6.7,10.2,0.9,0.1,1.5,0.9,2.6,1.0,6.0,16.0,1.7,1.8,50.0,60.0,0.0,70.0,60.0,0.0,76,77,77,76.67,81,81,85,82.33,5.0,4.0,1.72,Vicarage Road,D
9,7,9.7,2.8,4.1,11.3,1.6,0.1,0.6,2.6,0.6,2.0,-20.0,-14.0,0.3,0.3,10.0,10.0,0.0,10.0,10.0,0.0,11.5,3.7,4.0,11.4,1.8,0.1,1.2,1.6,1.7,1.3,-4.0,4.0,1.4,1.8,40.0,60.0,0.0,60.0,60.0,1.0,75,74,71,73.33,80,83,83,82.0,11.0,6.0,1.3,Kirklees Stadium,D
7,6,10.9,3.7,5.0,10.3,2.5,0.1,0.8,1.3,1.2,1.1,-5.0,1.0,1.1,1.6,20.0,40.0,0.0,70.0,80.0,0.0,14.8,4.6,4.8,12.5,2.4,0.1,0.9,1.3,1.4,1.4,-4.0,0.0,1.0,1.4,20.0,40.0,0.0,60.0,60.0,0.0,76,74,77,75.67,75,78,78,77.0,2.05,3.4,3.75,Falmer Stadium,D
