Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-01-31,20:00 (04:00),Premier League,Matchweek 25,Wed,Home,D,0,0,Watford,0.9,0.7,49,27458,Ryan Shawcross,4-2-3-1,Jonathan Moss,Match Report,
2018-02-03,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,L,1,2,Bournemouth,0.7,1.7,43,10614,Ryan Shawcross,4-3-3,Paul Tierney,Match Report,
2018-02-10,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,D,1,1,Brighton,1.4,1.1,58,29876,Ryan Shawcross,4-3-3,Robert Madley,Match Report,
2018-02-24,12:30 (20:30),Premier League,Matchweek 28,Sat,Away,D,1,1,Leicester City,0.2,1.2,35,31769,Jack Butland,4-1-4-1,Michael Oliver,Match Report,
2018-03-03,15:00 (23:00),Premier League,Matchweek 29,Sat,Away,D,0,0,Southampton,0.8,0.9,35,30335,Jack Butland,4-1-4-1,Anthony Taylor,Match Report,
2018-03-12,20:00 (04:00),Premier League,Matchweek 30,Mon,Home,L,0,2,Manchester City,0.4,1.6,24,29138,Jack Butland,4-3-3,Jonathan Moss,Match Report,
2018-03-17,15:00 (23:00),Premier League,Matchweek 31,Sat,Home,L,1,2,Everton,0.8,2.3,43,30022,Ryan Shawcross,4-3-3,Martin Atkinson,Match Report,
2018-04-01,13:30 (20:30),Premier League,Matchweek 32,Sun,Away,L,0,3,Arsenal,0.4,3.3,31,59371,Ryan Shawcross,4-4-1-1,Craig Pawson,Match Report,
2018-04-07,15:00 (22:00),Premier League,Matchweek 33,Sat,Home,L,1,2,Tottenham,1.4,1.7,35,29515,Ryan Shawcross,4-4-1-1,Graham Scott,Match Report,
2018-04-16,20:00 (03:00),Premier League,Matchweek 34,Mon,Away,D,1,1,West Ham,1.7,0.8,37,56795,Ryan Shawcross,4-4-1-1,Michael Oliver,Match Report,
2018-04-22,13:30 (20:30),Premier League,Matchweek 35,Sun,Home,D,1,1,Burnley,0.4,1.6,44,29532,Ryan Shawcross,4-4-2,Mike Dean,Match Report,
2018-04-28,12:30 (19:30),Premier League,Matchweek 36,Sat,Away,D,0,0,Liverpool,0.6,1.9,29,53255,Ryan Shawcross,4-4-2,Andre Marriner,Match Report,
2018-05-05,12:30 (19:30),Premier League,Matchweek 37,Sat,Home,L,1,2,Crystal Palace,0.5,1.1,41,29687,Ryan Shawcross,4-4-2,Martin Atkinson,Match Report,
2018-05-13,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,W,2,1,Swansea City,1.6,3.0,43,20673,Ryan Shawcross,4-3-3,Anthony Taylor,Match Report,
