Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
R East,Sat,0.0,0,6.0,2.2,1.5999999999999996,-1.4000000000000004,-0.8,0.0,-0.1999999999999999,0.1999999999999999,-2.0,-0.4,0.0,-2.0,-0.8,-40.0,0.0,0.0,3.0,0,1,3,1.3299999999999983,3,0,-1.9,3.3,Stadium of Light,D
S Attwell,Sun,0.0,2,-0.8000000000000007,-3.0,1.4000000000000004,-2.4000000000000004,-0.8,0.0,-1.6,-0.6,-5.0,-0.6000000000000001,-0.2,-2.0,0.8,40.0,-1.0,0.0,1.0,0,2,-3,-0.3299999999999983,1,0,-1.25,3.4,Stamford Bridge,D
M Atkinson,Sun,-3.0,2,-9.0,-5.999999999999999,-4.4,1.200000000000001,0.1999999999999999,0.0,-1.4,0.5999999999999999,-10.0,-1.0,0.6,-8.0,-1.4,-60.0,-3.0,-20.0,-1.0,-8,-8,-10,-8.670000000000002,14,0,8.72,5.25,Turf Moor,L
A Taylor,Sat,0.0,0,0.4000000000000003,-0.2000000000000001,2.2,0.1999999999999993,-0.3999999999999999,-0.2,0.1999999999999999,0.4000000000000001,-1.0,0.6,0.4,1.0,0.5999999999999999,40.0,0.0,-20.0,-1.0,-2,3,-1,0.0,-1,0,-0.5499999999999998,3.2,St Mary's Stadium,D
M Oliver,Wed,0.0,-1,8.4,1.6000000000000003,-0.8000000000000007,0.1999999999999993,-1.0,-0.2,0.6000000000000001,-0.8,7.0,0.5999999999999999,-0.7999999999999999,7.0,1.2,40.0,1.0,40.0,1.0,-4,-12,-1,-5.659999999999997,5,0,-1.7999999999999998,3.8,Anfield,D
M Clattenburg,Sat,0.0,7,-0.7999999999999989,-1.6000000000000003,-1.0,-0.7999999999999989,0.8,0.0,-1.0,-0.3999999999999999,-3.0,-0.6000000000000001,0.2,-4.0,-0.5999999999999999,-20.0,0.0,-20.0,0.0,-2,-2,2,-0.6700000000000017,13,0,-0.3500000000000001,3.5,The Hawthorns,L
M Dean,Sat,0.0,-1,0.0,0.5999999999999996,-2.8,4.6,2.2,0.2,0.4,-0.1999999999999999,3.0,0.4,-0.2,3.0,-0.1999999999999999,-20.0,-1.0,20.0,1.0,4,9,12,8.329999999999998,-17,-1,-2.5,3.6,Emirates Stadium,D
J Moss,Sat,0.0,4,-9.4,-5.4,-3.3999999999999995,2.4000000000000004,0.0,0.0,-1.2000000000000002,0.7999999999999999,-10.0,-0.3999999999999999,0.4,-4.0,-0.8,-20.0,0.0,-40.0,-7.0,-8,-9,-12,-9.670000000000002,21,1,4.89,3.89,Falmer Stadium,L
J Moss,Sat,0.0,-1,-2.200000000000001,-0.6000000000000001,0.4000000000000003,0.4000000000000003,0.5999999999999999,-0.2,0.1999999999999999,-0.8,5.0,-0.2,-0.6,2.0,0.1999999999999999,0.0,-3.0,20.0,0.0,-2,-4,-8,-4.659999999999997,8,0,0.6000000000000001,3.25,Falmer Stadium,D
N Swarbrick,Sat,0.0,2,-3.0,0.0,-1.0,2.200000000000001,0.7999999999999998,0.2,-0.4000000000000001,-0.1999999999999999,-1.0,0.0,-0.2,1.0,0.0,0.0,1.0,0.0,1.0,3,-5,-2,-1.3299999999999983,5,0,-0.8000000000000003,3.4,DW Stadium,L
R Madley,Sat,-1.0,4,-0.8000000000000007,-1.1999999999999995,1.6,-1.6000000000000014,0.1999999999999999,-0.4,-0.3999999999999999,-0.1999999999999999,-1.0,0.2,-0.1999999999999999,2.0,0.4,20.0,0.0,0.0,0.0,0,1,5,2.0,-4,-1,-0.4500000000000002,3.3,Stadium of Light,D
D Coote,Sat,-1.0,-2,-1.4000000000000004,-0.8000000000000003,-0.1999999999999997,-1.1999999999999993,-0.1999999999999999,0.0,0.4000000000000001,-0.7999999999999999,6.0,0.8,-0.2,5.0,1.4,60.0,0.0,20.0,-3.0,0,0,-2,-0.6599999999999966,11,1,-2.9,3.6,St. James Park,L
A Marriner,Sat,0.0,1,1.4000000000000004,1.4,0.2000000000000001,2.200000000000001,-0.1999999999999999,0.4,0.1999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-6,-5,-6,-5.670000000000002,12,1,-0.27,3.3,King Power Stadium,L
