Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-01-22,17:30 (01:30),Premier League,Matchweek 23,Sat,Home,D,1,1,Manchester City,0.7,1.9,26,31178,James Ward-Prowse,4-4-2,Simon Hooper,Match Report,
2022-02-05,15:00 (23:00),FA Cup,Fourth round proper,Sat,Home,W,2,1,Coventry City,,,69,30512,James Ward-Prowse,3-4-3,Tony Harrington,Match Report,Required Extra Time
2022-02-09,19:45 (03:45),Premier League,Matchweek 24,Wed,Away,W,3,2,Tottenham,2.3,1.2,52,54012,James Ward-Prowse,4-4-2,David Coote,Match Report,
2022-02-12,12:30 (20:30),Premier League,Matchweek 25,Sat,Away,D,1,1,Manchester Utd,1.1,2.7,47,73084,James Ward-Prowse,4-4-2,Stuart Attwell,Match Report,
2022-02-19,15:00 (23:00),Premier League,Matchweek 26,Sat,Home,W,2,0,Everton,2.5,0.3,55,31312,James Ward-Prowse,4-4-2,Andy Madley,Match Report,
2022-02-25,20:00 (04:00),Premier League,Matchweek 27,Fri,Home,W,2,0,Norwich City,3.2,0.5,58,31182,James Ward-Prowse,4-4-2,Simon Hooper,Match Report,
2022-03-02,19:30 (03:30),FA Cup,Fifth round proper,Wed,Home,W,3,1,West Ham,,,48,28383,James Ward-Prowse,4-4-2,Andre Marriner,Match Report,
2022-03-05,15:00 (23:00),Premier League,Matchweek 28,Sat,Away,L,0,4,Aston Villa,1.1,2.5,62,41855,James Ward-Prowse,4-4-2,Peter Bankes,Match Report,
2022-03-10,19:30 (03:30),Premier League,Matchweek 21,Thu,Home,L,1,2,Newcastle Utd,1.1,0.7,67,30056,James Ward-Prowse,4-4-2,Kevin Friend,Match Report,
2022-03-13,14:00 (22:00),Premier League,Matchweek 29,Sun,Home,L,1,2,Watford,1.7,1.8,63,28863,James Ward-Prowse,4-4-2,Graham Scott,Match Report,
2022-03-20,15:00 (23:00),FA Cup,Quarter-finals,Sun,Home,L,1,4,Manchester City,,,36,29702,James Ward-Prowse,4-4-2,Mike Dean,Match Report,
2022-04-02,15:00 (22:00),Premier League,Matchweek 31,Sat,Away,D,1,1,Leeds United,1.5,1.4,44,36580,James Ward-Prowse,4-3-1-2,Anthony Taylor,Match Report,
2022-04-09,15:00 (22:00),Premier League,Matchweek 32,Sat,Home,L,0,6,Chelsea,0.5,4.4,30,31359,James Ward-Prowse,4-4-2,Kevin Friend,Match Report,
2022-04-16,15:00 (22:00),Premier League,Matchweek 33,Sat,Home,W,1,0,Arsenal,0.7,1.8,25,31465,James Ward-Prowse,3-4-3,Peter Bankes,Match Report,
2022-04-21,19:45 (02:45),Premier League,Matchweek 30,Thu,Away,L,0,2,Burnley,1.0,1.8,56,17384,James Ward-Prowse,3-1-4-2,Stuart Attwell,Match Report,
2022-04-24,14:00 (21:00),Premier League,Matchweek 34,Sun,Away,D,2,2,Brighton,1.2,1.8,52,31335,James Ward-Prowse,4-4-2,Robert Jones,Match Report,
2022-04-30,15:00 (22:00),Premier League,Matchweek 35,Sat,Home,L,1,2,Crystal Palace,0.7,1.6,38,31359,James Ward-Prowse,4-4-2,Jarred Gillett,Match Report,
2022-05-07,15:00 (22:00),Premier League,Matchweek 36,Sat,Away,L,0,3,Brentford,1.5,2.8,59,17051,James Ward-Prowse,4-4-2,Michael Salisbury,Match Report,
2022-05-17,19:45 (02:45),Premier League,Matchweek 37,Tue,Home,L,1,2,Liverpool,0.1,1.5,30,31588,James Ward-Prowse,5-4-1,Martin Atkinson,Match Report,
2022-05-22,16:00 (23:00),Premier League,Matchweek 38,Sun,Away,L,1,4,Leicester City,1.2,3.1,49,32003,James Ward-Prowse,4-4-2,Jonathan Moss,Match Report,
