Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
K Friend,Sun,0.0,3,-3.899999999999999,-2.2,-0.0999999999999996,1.0999999999999996,0.0,0.0,-0.9000000000000001,0.1,0.3999999999999999,0.0,-13.0,1.0,-0.4,0.5,0.0,0.1999999999999999,-9.0,-2.0,-0.8,0.5,-30.0,10.0,-1.0,-20.0,30.0,-9.0,-6,-7,-4,-5.659999999999997,12,0,6.0,4.5,Selhurst Park,L
M Clattenburg,Sat,1.0,0,-2.5,0.0,1.0,-0.9000000000000004,-0.3999999999999999,0.1,-0.5,-0.5,-0.3999999999999999,-1.5,-1.0,10.0,-0.0999999999999999,-0.7,-0.0999999999999999,-1.0,6.0,9.0,0.0999999999999999,1.0,10.0,30.0,0.0,-10.0,40.0,-1.0,2,-1,-2,-0.3299999999999983,3,0,-0.8500000000000001,3.3,Carrow Road,L
M Atkinson,Sat,0.0,0,1.4000000000000004,-0.8999999999999999,0.5,-1.200000000000001,0.0,0.1,-0.6,-0.1,-0.8,-0.7,2.0,6.0,-0.0999999999999999,-0.4000000000000001,-0.0999999999999999,-0.5,3.0,4.0,-0.3999999999999999,0.5,-20.0,20.0,0.0,0.0,10.0,0.0,0,1,2,1.0,-1,0,-0.5,3.4,Dean Court,L
H Webb,Wed,0.0,1,-5.199999999999999,-0.7999999999999998,-1.5999999999999996,0.6999999999999993,0.1999999999999999,0.0,0.5,0.0,-0.8999999999999999,-0.2999999999999999,14.0,3.0,0.8,-0.6,0.2999999999999999,-0.4999999999999999,14.0,8.0,0.5,-0.5000000000000002,20.0,-20.0,3.0,10.0,-10.0,1.0,3,3,4,3.3299999999999983,-4,0,-2.95,3.8,Old Trafford,L
N Swarbrick,Wed,0.0,1,4.699999999999999,2.5,0.5,1.200000000000001,-0.1,0.0,-0.5,0.0,-0.3,0.1999999999999999,-2.0,-2.0,0.0999999999999999,0.0999999999999999,0.3,0.0,0.0,3.0,-0.8999999999999999,-0.8999999999999999,-30.0,-30.0,-1.0,-30.0,-30.0,-2.0,-2,-1,-1,-1.3400000000000034,11,0,1.0,3.5,St. James Park,L
L Mason,Sat,0.0,0,1.6999999999999993,-0.7000000000000002,2.4,1.4000000000000004,-0.1999999999999997,0.0,-0.1999999999999999,0.5999999999999999,0.3,0.2999999999999998,-5.0,3.0,0.2999999999999999,0.0,0.2,0.1999999999999999,3.0,0.0,-0.7999999999999998,0.1999999999999999,-30.0,10.0,-1.0,-20.0,0.0,-1.0,3,2,3,2.6599999999999966,-13,-1,-0.8799999999999999,3.4,Goodison Park,L
K Friend,Wed,0.0,-3,-4.700000000000001,-1.0999999999999996,-1.5,-1.0,-0.6,0.1,0.0,1.2,0.1999999999999999,0.1,-2.0,11.0,-0.3999999999999999,-0.0999999999999999,0.4,-0.2,-3.0,6.0,-0.1,0.5999999999999999,-10.0,30.0,0.0,10.0,0.0,0.0,1,0,2,1.0,-5,0,-0.7000000000000002,3.5,Emirates Stadium,D
R East,Sat,0.0,2,-0.4000000000000003,0.2999999999999998,1.0,0.3999999999999986,0.5,0.0999999999999999,0.2999999999999999,1.1,1.0000000000000002,0.7,-7.0,4.0,0.0999999999999999,0.3,0.3999999999999999,0.3,-2.0,1.0,-0.6,-0.0999999999999999,-20.0,0.0,0.0,-20.0,-10.0,0.0,-1,-1,-1,-1.0,6,0,-0.8000000000000003,3.4,St. James Park,D
M Clattenburg,Sat,-1.0,4,1.0999999999999996,0.0999999999999996,0.3000000000000007,-2.3999999999999995,-0.5,-0.1,0.5999999999999999,0.6999999999999997,0.3,0.1999999999999999,3.0,5.0,0.3,-0.0999999999999999,0.1,0.0,4.0,1.0,-0.1,-0.1999999999999999,0.0,0.0,0.0,-10.0,-20.0,-1.0,0,-3,0,-1.0,8,0,0.0,3.5,Goodison Park,L
K Friend,Sat,0.0,0,2.1,1.9,1.2000000000000002,-4.200000000000001,-0.8999999999999999,-0.2,-0.1999999999999999,0.6,0.6,-1.0,-8.0,16.0,-0.1999999999999999,0.5,0.0999999999999999,-0.3,-7.0,4.0,-0.7,0.8,-30.0,20.0,0.0,-10.0,40.0,1.0,0,-1,-2,-1.0,6,0,-1.5,3.4,Falmer Stadium,D
A Taylor,Sat,0.0,0,-5.5,-2.1,-3.9,-3.200000000000001,-0.3999999999999999,-0.1,0.6000000000000001,0.3,0.3,0.1,3.0,2.0,0.0,0.1,0.4,0.1999999999999999,-1.0,2.0,0.0,-0.1999999999999999,10.0,-10.0,-1.0,-20.0,0.0,-6.0,-7,-6,-12,-8.340000000000003,9,0,4.05,3.8,The Hawthorns,L
A Taylor,Thu,1.0,-3,-3.1000000000000014,-1.0999999999999996,-0.6000000000000005,1.6999999999999993,0.7999999999999998,0.0,0.3,0.5,-0.0999999999999999,0.4000000000000001,4.0,1.0,-0.2,0.0,0.3,0.3,-2.0,0.0,0.4000000000000001,0.2000000000000001,10.0,10.0,-1.0,20.0,0.0,-6.0,3,-1,-3,-0.3400000000000034,2,0,0.7999999999999998,3.75,Old Trafford,L
S Attwell,Sat,0.0,0,2.1,0.0,4.6,-0.200000000000001,1.0000000000000002,-0.1,0.3,0.9,-0.7999999999999998,-0.3,11.0,12.0,0.3999999999999999,-0.7,0.6000000000000001,0.0999999999999999,11.0,5.0,0.3,0.7999999999999998,0.0,20.0,0.0,30.0,40.0,0.0,4,6,11,7.0,-11,0,-5.05,4.75,Emirates Stadium,D
K Friend,Sat,0.0,3,-6.300000000000001,-2.2,-3.3000000000000003,1.0,0.7999999999999998,-0.2,-0.6000000000000001,-0.6000000000000001,0.3999999999999999,0.2,-10.0,-8.0,-0.4,0.0999999999999999,-0.3,0.2,-5.0,-5.0,-0.9000000000000001,-1.0,-40.0,-40.0,-3.0,-10.0,-20.0,-3.0,-3,-5,-4,-4.0,5,0,3.25,4.0,Swansea.com Stadium,L
S Hooper,Sat,0.0,0,1.8000000000000007,0.8999999999999995,2.7,0.8999999999999986,-0.0999999999999998,0.1,-0.0999999999999999,1.0,-1.2,-1.1,11.0,21.0,0.0999999999999999,-0.0999999999999999,0.7000000000000001,0.0,2.0,7.0,0.6000000000000001,1.5,10.0,50.0,2.0,40.0,50.0,1.0,5,4,9,6.0,-13,-1,-4.45,4.0,King Power Stadium,L
M Oliver,Sat,0.0,4,2.1999999999999997,-0.6000000000000001,-1.0,0.5999999999999996,0.1999999999999999,-0.2,-0.4000000000000001,0.1,-0.4,-0.3999999999999999,0.0,5.0,-0.3,0.0999999999999999,0.1,-0.0999999999999999,-4.0,2.0,0.3,0.4000000000000001,10.0,20.0,1.0,10.0,0.0,6.0,0,-3,-5,-2.6599999999999966,2,0,-1.0,3.4,Molineux Stadium,L
M Atkinson,Sat,-1.0,-1,-2.5,-1.4000000000000004,-0.0999999999999996,2.6999999999999997,-0.1999999999999999,-0.2,-0.4,0.0999999999999999,0.1999999999999999,-0.5999999999999999,-6.0,7.0,0.1,0.5,0.2,-0.2,-4.0,4.0,-0.5,1.0,-20.0,30.0,-1.0,-10.0,40.0,-1.0,0,0,4,1.3400000000000034,1,0,-0.9499999999999996,3.1,Riverside Stadium,D
A Marriner,Tue,-1.0,0,0.4000000000000003,-0.0999999999999996,0.1000000000000005,-1.1999999999999993,-0.6999999999999997,0.1,-0.0999999999999999,0.1,0.2000000000000001,-0.4000000000000001,-3.0,5.0,0.0999999999999999,-0.0999999999999999,0.4,-0.1999999999999999,2.0,6.0,-0.2,0.4000000000000001,-10.0,10.0,0.0,0.0,20.0,0.0,4,4,3,3.6599999999999966,-7,-1,-2.5,3.3,Falmer Stadium,L
G Scott,Wed,0.0,-1,-2.4000000000000004,-1.5,-0.5000000000000004,1.299999999999999,-0.3,0.0,-0.6000000000000001,-0.0999999999999999,-0.6000000000000001,-1.6,0.0,15.0,0.0,-0.4,0.3,-1.0,4.0,13.0,-0.3,0.9,-20.0,20.0,-1.0,10.0,50.0,-1.0,3,2,-3,0.6700000000000017,-8,0,-3.45,3.6,Swansea.com Stadium,L
M Dean,Wed,0.0,1,-1.799999999999999,-0.3999999999999999,-2.1000000000000005,-0.1999999999999993,0.7000000000000002,0.1,0.0,0.1,0.0999999999999998,-0.0999999999999998,-1.0,2.0,0.0999999999999999,0.2,-0.0999999999999999,-0.3999999999999999,-1.0,3.0,0.2000000000000001,0.3,20.0,20.0,0.0,-20.0,-10.0,-6.0,-8,-10,-7,-8.329999999999998,21,1,2.38,3.5,Vicarage Road,D
M Atkinson,Wed,-1.0,1,-3.299999999999999,-2.7,-0.2000000000000001,1.3999999999999986,0.5,0.2,-1.4,-1.7999999999999998,0.1,0.5999999999999999,-15.0,-24.0,-0.3,0.0,-0.2999999999999999,0.0999999999999999,-3.0,-4.0,-1.6,-2.0,-60.0,-70.0,0.0,-40.0,-60.0,-12.0,-7,-7,-8,-7.329999999999998,20,1,4.47,4.33,Craven Cottage,L
M Dean,Sat,0.0,-1,-2.0,-2.1,0.0,0.5,-0.6000000000000001,0.0,-1.8,-0.6000000000000001,0.9000000000000001,-0.3,-27.0,-3.0,-0.8999999999999999,0.9,-0.2,-0.0999999999999999,-18.0,-1.0,-2.1,-0.5999999999999999,-80.0,-30.0,-7.0,-50.0,0.0,-6.0,-11,-12,-9,-10.670000000000002,18,1,4.93,4.33,Turf Moor,L
M Dean,Thu,0.0,0,6.299999999999999,1.5999999999999996,1.5,0.9000000000000004,-0.8999999999999999,0.1,0.8,0.9000000000000001,-0.3,-1.2,11.0,21.0,0.0999999999999999,0.0,0.0,-0.3999999999999999,1.0,4.0,0.5,1.4,20.0,50.0,2.0,10.0,40.0,1.0,5,3,7,5.0,-9,0,-8.75,6.0,Wembley Stadium,D
M Atkinson,Sat,0.0,4,-1.8000000000000007,-0.4000000000000003,-1.8999999999999997,0.8999999999999986,-0.0999999999999998,0.1,-0.7,0.9,-0.5,-0.3,-2.0,12.0,-0.3,0.0,0.7,-0.0999999999999999,-3.0,8.0,0.0999999999999998,1.0,20.0,40.0,1.0,-30.0,20.0,-4.0,-7,-6,-6,-6.340000000000003,6,0,0.2999999999999998,3.25,St Mary's Stadium,L
K Friend,Sun,0.0,0,-2.799999999999999,-0.2000000000000001,0.6999999999999993,2.8000000000000007,0.6000000000000001,0.1,-0.4999999999999999,-0.3,1.1,-0.7999999999999998,-16.0,5.0,-0.1999999999999999,0.9000000000000001,0.0999999999999999,-0.5,-11.0,6.0,-0.8,0.1999999999999999,-10.0,10.0,-2.0,-60.0,0.0,-5.0,0,1,0,0.3299999999999983,6,1,-1.6500000000000004,3.75,Vicarage Road,D
G Scott,Thu,0.0,1,5.5,1.7999999999999998,1.7000000000000002,2.8000000000000007,0.1999999999999999,-0.1999999999999999,-0.1,0.1999999999999999,0.2999999999999998,-0.1999999999999999,-4.0,4.0,0.2,0.0,0.4999999999999999,-0.1999999999999999,2.0,7.0,-0.1,0.4,10.0,30.0,1.0,-30.0,-20.0,1.0,-2,-6,-8,-5.329999999999998,11,0,-0.02,3.5,St Mary's Stadium,L
A Marriner,Sat,0.0,0,4.1,1.4,0.7000000000000002,-0.6999999999999993,0.0,-0.1999999999999999,0.0,0.7999999999999999,-0.3999999999999999,-0.9000000000000001,4.0,17.0,-0.4,-0.0999999999999999,0.2,-0.3,-3.0,5.0,0.1,0.8999999999999999,0.0,30.0,0.0,10.0,30.0,0.0,-2,1,0,-0.3299999999999983,-7,0,-2.38,3.6,Boleyn Ground,D
J Moss,Thu,0.0,0,0.8999999999999986,0.3999999999999999,1.5,1.0999999999999996,0.4000000000000001,-0.1,0.7000000000000001,1.0,-0.3999999999999999,-0.4999999999999999,11.0,15.0,0.2,-0.0999999999999999,0.4999999999999999,-0.3,3.0,8.0,0.8,1.1,20.0,40.0,0.0,40.0,30.0,0.0,0,0,6,2.0,-4,0,-2.65,3.75,Boleyn Ground,D
