HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Result
2,2,11.8,4.2,6.0,11.0,1.1,0.1,1.2,0.9,1.3,0.9,3.0,4.0,1.5,1.6,40.0,0.5,0.0,11.1,2.6,4.0,8.0,1.5,0.0,0.6,1.4,0.8,1.3,-8.0,-5.0,0.8,0.8,20.0,20.0,1.0,75,75,72,74.0,77,76,76,76.33,2.1,3.4,4.0,D
5,7,10.7,2.9,4.2,11.4,1.4,0.1,0.5,1.8,0.2,1.2,-13.0,-10.0,0.6,0.7,10.0,0.2,1.0,12.3,4.2,4.8,10.0,2.5,0.1,1.3,1.3,1.1,2.3,0.0,-12.0,1.1,0.8,30.0,20.0,1.0,75,74,74,74.33,77,77,80,78.0,3.4,3.25,2.35,D
4,7,14.5,5.7,5.4,10.6,1.1,0.1,2.6,0.3,2.2,0.9,23.0,13.0,2.5,1.9,80.0,0.6,4.0,11.8,3.8,5.1,9.4,2.2,0.0,1.0,1.6,1.4,1.8,-6.0,-4.0,0.7,0.8,10.0,20.0,1.0,82,86,84,84.0,76,76,76,76.0,1.25,6.0,12.0,D
4,4,13.1,4.6,5.6,11.4,2.0,0.1,2.0,1.2,2.4,0.5,8.0,19.0,2.0,2.5,60.0,0.8,0.0,10.9,3.5,6.1,11.4,1.3,0.0,1.1,2.0,0.9,1.6,-9.0,-7.0,0.6,0.9,10.0,20.0,0.0,81,83,87,83.67,79,78,78,78.33,1.36,5.5,9.0,D
10,10,9.2,5.2,5.0,9.6,2.2,0.1,1.4,1.3,1.5,1.1,1.0,4.0,1.2,1.4,30.0,0.3,2.0,13.4,7.5,7.0,10.7,2.0,0.1,1.1,0.5,0.8,1.1,6.0,-3.0,1.8,1.0,50.0,20.0,0.0,73,72,72,72.33,77,75,76,76.0,3.2,3.4,2.4,D
6,5,11.4,2.8,4.0,12.9,1.9,0.0,0.9,2.0,1.0,1.4,-11.0,-4.0,0.1,0.8,0.0,0.2,0.0,18.7,7.3,7.3,10.5,2.2,0.0,2.3,0.9,1.5,1.3,14.0,2.0,2.2,1.6,70.0,50.0,1.0,76,74,74,74.67,81,83,84,82.67,7.5,5.0,1.44,D
10,10,12.0,4.0,5.5,11.0,1.5,0.2,0.7,2.0,1.1,1.6,-13.0,-5.0,0.9,1.4,30.0,0.4,0.0,16.6,6.2,5.0,10.4,1.1,0.0,1.8,0.7,1.4,1.0,11.0,4.0,2.1,1.8,60.0,50.0,2.0,76,78,78,77.33,81,81,82,81.33,6.0,4.2,1.62,D
7,6,10.4,2.7,4.4,11.7,2.0,0.0,0.5,1.2,1.1,1.0,-7.0,1.0,0.8,1.1,20.0,0.3,0.0,14.2,4.5,6.6,7.3,0.7,0.1,1.5,1.3,1.6,1.2,2.0,4.0,1.1,1.4,30.0,30.0,0.0,74,73,77,74.67,80,78,79,79.0,3.4,3.3,2.15,D
3,3,11.3,4.1,3.8,12.8,1.8,0.1,1.0,1.2,0.9,0.9,-2.0,0.0,1.3,1.3,40.0,0.4,0.0,9.0,2.9,5.7,10.5,2.5,0.2,0.7,1.4,0.8,1.7,-7.0,-9.0,0.6,1.0,10.0,20.0,0.0,71,71,72,71.33,73,73,74,73.33,2.15,3.3,3.9,D
5,6,10.1,3.2,4.3,10.7,2.5,0.1,0.9,1.8,1.0,1.7,-9.0,-7.0,0.9,1.3,20.0,0.4,0.0,9.6,3.1,4.1,9.1,1.1,0.0,1.1,1.4,1.2,1.5,-3.0,-3.0,1.0,1.0,20.0,20.0,0.0,78,78,79,78.33,76,78,79,77.67,2.7,3.39,2.75,D
5,6,14.3,4.8,7.8,10.7,1.0,0.0,1.3,0.8,1.6,0.8,5.0,8.0,1.7,2.1,50.0,0.6,0.0,11.1,3.6,6.0,10.5,1.6,0.2,0.8,1.6,0.7,1.2,-8.0,-5.0,0.8,0.8,20.0,20.0,0.0,78,80,79,79.0,76,78,77,77.0,1.8,3.75,5.0,D
7,7,12.2,7.0,5.6,12.1,1.5,0.0,1.2,1.7,1.4,0.9,-5.0,5.0,1.0,1.9,30.0,0.6,0.0,9.6,5.4,4.5,10.3,1.5,0.0,0.7,2.0,0.9,2.5,-13.0,-16.0,1.0,0.9,20.0,20.0,0.0,71,75,74,73.33,72,72,76,73.33,1.75,4.0,5.0,D
7,3,10.0,3.5,5.2,11.4,0.8,0.1,1.3,1.9,1.8,0.9,-6.0,9.0,1.3,2.0,40.0,0.6,0.0,15.4,5.8,6.3,9.3,1.3,0.0,2.5,1.0,2.5,0.9,15.0,16.0,2.2,2.2,70.0,70.0,2.0,78,80,80,79.33,79,81,85,81.67,4.2,3.75,1.9,D
5,4,17.5,6.3,6.7,10.7,1.6,0.0,2.6,0.9,2.3,0.8,17.0,15.0,2.3,2.0,70.0,0.6,1.0,11.7,3.4,3.0,9.0,2.0,0.1,0.8,2.1,0.7,2.0,-13.0,-13.0,0.5,0.6,10.0,10.0,0.0,82,86,84,84.0,79,78,78,78.33,1.22,6.5,13.0,D
10,10,9.3,2.9,4.8,12.9,1.7,0.1,0.8,2.0,0.7,1.2,-12.0,-5.0,0.7,1.0,20.0,0.3,0.0,11.3,3.0,5.0,11.6,1.4,0.1,1.3,2.0,1.4,1.3,-7.0,1.0,1.1,1.4,30.0,30.0,0.0,74,76,79,76.33,74,74,77,75.0,2.62,3.3,2.7,D
3,6,17.4,7.1,3.9,9.3,1.2,0.1,1.8,1.0,2.1,0.7,8.0,14.0,2.0,2.3,60.0,0.7,0.0,11.4,2.7,4.2,11.2,1.1,0.0,1.2,1.5,1.2,1.4,-3.0,-2.0,1.1,1.0,30.0,20.0,1.0,81,81,82,81.33,76,74,74,74.67,1.29,6.0,13.0,D
4,4,14.7,5.0,4.6,10.3,2.1,0.0,0.8,2.0,0.8,1.3,-12.0,-5.0,0.7,0.8,10.0,0.1,0.0,12.9,6.3,6.4,12.6,2.0,0.2,1.6,1.4,1.4,1.4,2.0,0.0,1.8,1.4,50.0,40.0,0.0,77,77,76,76.67,80,83,85,82.67,4.33,3.6,1.95,D
10,10,11.3,3.4,5.6,11.3,1.8,0.0,1.2,1.1,1.7,1.6,1.0,1.0,1.4,1.2,30.0,0.3,0.0,13.0,3.2,4.5,11.7,1.6,0.0,0.8,1.1,1.4,1.1,-3.0,3.0,1.1,1.8,30.0,50.0,1.0,71,74,74,73.0,71,72,74,72.33,2.15,3.4,3.8,D
3,3,10.4,3.1,5.9,9.4,1.6,0.2,0.5,1.4,1.5,1.3,-9.0,2.0,0.7,1.6,20.0,0.5,0.0,11.0,4.8,4.2,12.3,1.1,0.0,2.2,1.1,1.9,1.3,11.0,6.0,2.3,1.9,70.0,50.0,2.0,78,79,87,81.33,76,77,78,77.0,2.25,3.5,3.1,D
3,5,17.1,7.0,6.1,14.3,2.0,0.0,2.1,0.7,1.6,0.7,14.0,9.0,2.2,1.8,60.0,0.5,1.0,15.4,4.5,6.0,11.9,1.9,0.1,1.2,1.6,1.1,1.7,-4.0,-6.0,1.0,1.1,30.0,30.0,1.0,78,77,79,78.0,82,82,82,82.0,2.6,3.4,2.9,D
3,10,8.8,2.3,4.1,11.5,2.2,0.0,0.8,1.2,0.9,1.2,-4.0,-3.0,0.9,1.0,20.0,0.3,0.0,8.6,2.5,2.8,10.5,1.8,0.0,1.4,1.3,0.8,1.4,1.0,-6.0,1.6,0.9,50.0,20.0,1.0,74,75,78,75.67,74,76,81,77.0,2.7,3.1,3.0,D
5,7,13.8,3.6,4.5,11.8,1.4,0.0,0.9,1.1,1.5,1.5,-2.0,0.0,1.2,1.0,30.0,0.3,0.0,10.2,2.2,4.8,9.9,1.1,0.4,0.7,2.2,0.7,2.3,-15.0,-16.0,0.6,0.4,20.0,10.0,0.0,71,72,74,72.33,74,73,75,74.0,2.0,3.4,4.33,D
7,8,19.0,7.2,6.8,10.5,1.2,0.0,2.6,1.1,2.8,0.7,15.0,21.0,2.3,2.4,70.0,0.7,0.0,13.6,2.8,5.4,11.6,2.6,0.2,1.0,2.0,1.4,1.9,-10.0,-5.0,0.9,0.8,20.0,20.0,0.0,81,80,83,81.33,76,79,79,78.0,1.3,6.0,11.0,D
5,7,10.3,2.2,4.5,10.7,1.2,0.0,0.5,1.7,0.7,1.5,-12.0,-8.0,0.4,1.0,10.0,0.3,0.0,13.7,4.8,6.5,11.6,1.8,0.0,1.3,1.0,0.3,1.5,3.0,-12.0,1.4,0.5,30.0,10.0,2.0,74,76,76,75.33,75,76,80,77.0,3.29,3.2,2.45,D
6,3,10.8,3.5,4.7,11.3,2.4,0.0,1.1,1.8,1.4,1.2,-7.0,2.0,1.1,1.2,20.0,0.3,1.0,13.4,4.8,5.1,9.1,1.8,0.0,1.9,1.7,1.8,0.9,2.0,9.0,1.3,2.0,30.0,60.0,0.0,73,73,74,73.33,78,78,78,78.0,4.0,3.5,2.05,D
3,4,10.9,3.4,5.6,8.5,1.8,0.0,0.9,2.5,1.6,1.4,-16.0,2.0,0.6,1.7,20.0,0.5,0.0,11.7,3.8,5.2,10.9,1.3,0.1,1.1,1.6,1.1,1.1,-5.0,0.0,0.9,1.2,20.0,30.0,0.0,76,76,78,76.67,76,78,78,77.33,2.6,3.6,2.75,D
7,7,12.9,4.6,4.9,9.9,1.4,0.0,1.4,2.3,1.4,2.0,-9.0,-6.0,0.9,1.1,20.0,0.3,0.0,11.1,4.6,4.2,11.6,1.9,0.0,1.2,1.0,0.4,2.0,2.0,-16.0,1.6,0.4,50.0,10.0,0.0,74,77,76,75.67,76,78,76,76.67,2.54,3.5,2.9,D
10,10,11.8,4.2,4.8,10.5,1.6,0.0,1.3,1.6,1.1,1.0,-3.0,1.0,1.4,1.7,40.0,0.5,0.0,13.8,5.4,6.8,9.5,2.1,0.2,1.7,1.4,1.8,0.9,3.0,9.0,1.5,2.0,40.0,60.0,3.0,76,76,77,76.33,82,82,81,81.67,5.75,4.0,1.67,D
10,10,11.3,6.3,3.7,10.8,1.1,0.1,0.8,1.8,1.7,1.4,-10.0,3.0,0.8,1.4,20.0,0.4,1.0,11.1,5.7,4.8,11.0,1.7,0.1,1.0,2.1,0.9,1.7,-11.0,-8.0,0.7,0.9,20.0,30.0,0.0,75,77,78,76.67,74,70,72,72.0,2.05,3.5,4.0,D
7,7,10.1,6.3,4.7,11.0,1.6,0.0,1.1,1.2,1.1,1.1,-1.0,0.0,1.3,1.1,40.0,0.3,0.0,12.1,5.9,4.7,9.0,1.5,0.0,0.9,1.3,1.1,1.8,-4.0,-7.0,1.2,0.8,30.0,10.0,1.0,74,75,77,75.33,75,77,78,76.67,2.4,3.3,3.3,D
7,7,13.2,4.3,4.7,11.7,2.3,0.1,0.6,1.5,0.8,1.5,-9.0,-7.0,0.6,0.7,10.0,0.1,0.0,10.8,3.8,5.2,12.3,1.0,0.1,0.9,1.4,0.8,1.4,-5.0,-6.0,0.5,0.6,10.0,10.0,0.0,77,77,76,76.67,76,76,76,76.0,2.1,3.4,3.9,D
8,7,13.6,4.8,6.5,10.9,0.8,0.0,1.1,0.9,1.1,1.1,2.0,0.0,1.4,1.0,40.0,0.2,0.0,8.9,3.5,2.9,9.8,1.4,0.0,1.2,1.4,1.7,1.0,-2.0,7.0,1.4,2.3,40.0,70.0,0.0,76,75,75,75.33,79,79,81,79.67,2.25,3.3,3.3,D
6,5,11.8,4.6,5.1,8.9,1.2,0.0,1.3,1.5,1.6,1.5,-2.0,1.0,1.6,1.7,50.0,0.5,0.0,15.6,7.1,7.6,6.9,0.5,0.1,2.8,0.9,1.9,0.6,19.0,13.0,2.5,2.3,80.0,70.0,0.0,77,78,79,78.0,81,83,89,84.33,8.0,5.25,1.4,D
4,4,12.2,5.2,4.7,9.3,1.0,0.2,1.4,1.7,1.7,0.4,-3.0,13.0,1.5,2.2,40.0,0.6,0.0,17.8,6.0,8.6,10.4,2.4,0.1,2.5,0.6,2.3,0.9,19.0,14.0,2.5,2.3,80.0,70.0,4.0,80,79,80,79.67,80,83,85,82.67,3.6,3.5,2.15,D
5,6,10.4,3.7,4.8,9.0,1.9,0.2,1.3,1.2,1.5,1.0,1.0,5.0,1.7,1.7,50.0,0.5,0.0,12.6,4.1,5.4,8.4,1.2,0.1,1.4,1.2,1.7,1.3,2.0,4.0,2.1,2.0,70.0,60.0,3.0,75,77,75,75.67,77,81,83,80.33,3.0,3.25,2.4,D
4,5,9.9,2.6,4.3,9.4,1.4,0.0,0.6,1.5,0.8,1.7,-9.0,-9.0,1.0,0.9,20.0,0.2,0.0,12.7,4.6,5.1,10.8,2.3,0.1,1.3,1.5,1.0,2.1,-2.0,-11.0,1.2,0.8,30.0,20.0,0.0,76,76,75,75.67,77,78,75,76.67,1.9,3.4,4.33,D
10,10,13.2,4.2,5.8,9.7,1.2,0.0,1.4,1.5,1.6,1.5,-1.0,1.0,1.2,1.5,30.0,0.4,0.0,13.5,5.8,4.8,9.9,1.0,0.0,1.9,1.7,2.5,1.0,2.0,15.0,1.4,1.8,40.0,60.0,0.0,77,78,79,78.0,80,79,78,79.0,2.5,3.3,2.87,D
7,8,15.8,9.3,6.7,10.1,1.6,0.0,2.5,1.4,2.6,0.8,11.0,18.0,1.7,2.2,50.0,0.7,1.0,12.4,7.2,6.4,10.5,1.7,0.0,1.1,2.0,0.5,2.0,-9.0,-15.0,1.0,0.4,30.0,10.0,1.0,79,80,79,79.33,71,73,75,73.0,1.36,5.5,9.0,D
7,6,11.3,4.1,4.3,9.9,1.4,0.1,1.4,1.5,1.3,1.3,-1.0,0.0,1.4,1.5,40.0,0.4,2.0,16.0,6.1,5.8,12.8,2.2,0.0,1.6,0.7,1.5,1.1,9.0,4.0,2.2,2.0,60.0,60.0,0.0,78,79,79,78.67,82,83,85,83.33,6.0,4.2,1.6,D
