Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-01-29,,Premier League,Matchweek 24,Tue,Away,D,0,0,QPR,,,,4-4-1-1,Phil Dowd,Match Report,
2013-02-03,,Premier League,Matchweek 25,Sun,Home,D,2,2,Liverpool,,,,4-4-1-1,Anthony Taylor,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Away,L,1,3,Southampton,,,,4-4-1-1,Martin Atkinson,Match Report,
2013-02-24,,Premier League,Matchweek 27,Sun,Home,W,2,0,Chelsea,,,,4-2-3-1,Andre Marriner,Match Report,
2013-03-04,,Premier League,Matchweek 28,Mon,Away,W,1,0,Aston Villa,,,,4-2-3-1,Mike Dean,Match Report,
2013-03-16,,Premier League,Matchweek 30,Sat,Away,L,0,2,Everton,,,,3-4-3,Lee Probert,Match Report,
2013-03-30,,Premier League,Matchweek 31,Sat,Home,W,4,0,Newcastle Utd,,,,4-4-1-1,Neil Swarbrick,Match Report,
2013-04-08,,Premier League,Matchweek 32,Mon,Away,W,2,1,Manchester Utd,,,,4-2-3-1,Mike Dean,Match Report,
2013-04-17,,Premier League,Matchweek 29,Wed,Home,W,1,0,Wigan Athletic,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-04-21,,Premier League,Matchweek 34,Sun,Away,L,1,3,Tottenham,,,,4-4-1-1,Lee Mason,Match Report,
2013-04-27,,Premier League,Matchweek 35,Sat,Home,W,2,1,West Ham,,,,4-2-3-1,Howard Webb,Match Report,
2013-05-04,,Premier League,Matchweek 36,Sat,Away,D,0,0,Swansea City,,,,4-2-3-1,Mike Jones,Match Report,
2013-05-07,,Premier League,Matchweek 33,Tue,Home,W,1,0,West Brom,,,,4-4-1-1,Phil Dowd,Match Report,
2013-05-14,,Premier League,Matchweek 37,Tue,Away,W,2,0,Reading,,,,4-4-1-1,Martin Atkinson,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Home,L,2,3,Norwich City,,,,4-4-1-1,Mark Halsey,Match Report,
