Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
L Mason,Sat,0.0,-1,-1.8000000000000007,-2.1999999999999997,-0.40000000000000036,-1.799999999999999,-0.3999999999999999,-0.2,-1.0,0.3999999999999999,-7.0,-0.4,1.4000000000000001,-9.0,-0.8,-20.0,0.0,-40.0,-1.0,-3,-4,0,-2.3299999999999983,6,1,-1.15,3.5,Dean Court,L
S Attwell,Sat,0.0,-2,-1.0,-0.20000000000000018,-0.1999999999999993,2.0,-0.3999999999999999,0.0,-0.7999999999999999,-0.40000000000000013,-2.0,-0.4,-0.4,0.0,-0.5999999999999999,-20.0,0.0,-20.0,0.0,1,0,-2,-0.3299999999999983,-5,0,-3.8,3.9,Selhurst Park,W
R East,Sun,0.0,-4,6.3999999999999995,3.5999999999999996,1.0,3.0,-0.40000000000000013,0.0,1.0,-0.8,9.0,0.7999999999999999,-0.6000000000000001,7.0,0.40000000000000013,0.0,-1.0,40.0,13.0,3,0,3,2.0,-10,0,-7.64,5.5,White Hart Lane,L
M Jones,Mon,0.0,0,-0.39999999999999947,0.3999999999999999,1.4,1.200000000000001,0.19999999999999996,0.4,-0.19999999999999996,-0.20000000000000018,0.0,0.0,0.0,0.0,-0.7999999999999999,-40.0,0.0,0.0,0.0,-4,-1,2,-1.0,-2,0,-1.5499999999999998,3.25,The Hawthorns,W
A Taylor,Sat,0.0,0,2.6000000000000005,2.8000000000000003,2.2,-4.6,-1.0,0.0,0.8,0.3999999999999999,2.0,1.0,0.2,4.0,1.0,40.0,1.0,20.0,1.0,5,5,8,6.0,-12,0,-9.71,6.5,Emirates Stadium,W
A Marriner,Sat,0.0,-2,-4.0,-3.0,-0.3999999999999999,-0.5999999999999996,1.4000000000000001,0.2,-0.19999999999999996,0.40000000000000013,-3.0,-0.19999999999999996,0.4,-3.0,-0.6000000000000001,-20.0,-1.0,-20.0,-2.0,-1,-1,-2,-1.3299999999999983,7,1,-1.9500000000000002,3.5,Vicarage Road,W
C Pawson,Wed,0.0,-7,-1.4000000000000004,-2.4000000000000004,0.20000000000000018,-3.8,0.0,0.0,0.40000000000000013,0.3999999999999999,0.0,0.0,0.6,-3.0,-0.20000000000000007,-20.0,0.0,20.0,0.0,7,0,3,3.3400000000000034,-4,0,-3.85,4.2,Goodison Park,W
R Madley,Sat,0.0,-1,-1.200000000000001,-0.7999999999999998,2.2,-0.1999999999999993,0.6000000000000001,-0.2,0.0,-0.6000000000000001,3.0,-0.4,-0.39999999999999997,0.0,0.0,-20.0,-1.0,40.0,8.0,7,7,5,6.329999999999998,-14,0,-6.5600000000000005,4.75,Stamford Bridge,W
N Swarbrick,Wed,1.0,-6,-4.800000000000001,-2.4000000000000004,0.7999999999999998,0.0,0.0,-0.2,0.0,0.0,0.0,-0.39999999999999997,0.3999999999999999,-4.0,0.0,0.0,2.0,0.0,2.0,1,0,-3,-0.6599999999999966,-6,0,-2.2,3.5,Bet365 Stadium,W
C Pawson,Mon,1.0,0,3.0,1.0,1.2000000000000002,-1.0,0.5999999999999999,0.0,1.0,-1.4,12.0,0.6000000000000001,-0.8,7.0,1.4,40.0,1.0,60.0,3.0,3,-1,-1,0.3400000000000034,-1,0,-4.68,4.33,King Power Stadium,W
M Dean,Sat,1.0,0,-3.4000000000000004,-2.6,-0.40000000000000036,3.0,1.8,0.0,-0.19999999999999996,-1.4000000000000001,6.0,0.0,-0.7999999999999999,4.0,0.6000000000000001,20.0,1.0,20.0,1.0,0,0,-3,-1.0,8,1,-1.4,3.4,Carrow Road,W
R Madley,Sat,1.0,-1,-0.5999999999999996,-0.8000000000000003,2.1999999999999997,1.8000000000000007,0.3999999999999999,0.4,0.3999999999999999,-0.40000000000000013,4.0,0.4,0.0,2.0,1.2,40.0,0.0,40.0,0.0,3,-1,-1,0.3299999999999983,-8,0,-4.47,4.0,St Mary's Stadium,W
A Marriner,Sat,-1.0,-1,10.200000000000001,2.999999999999999,3.8000000000000003,-0.5999999999999996,-0.6000000000000001,0.0,1.0,-0.40000000000000013,7.0,1.2000000000000002,-0.8,10.0,1.0,40.0,3.0,20.0,2.0,6,-4,4,2.0,-9,0,-4.43,4.5,Anfield,D
R Madley,Sat,0.0,0,2.5999999999999996,-1.0,0.9999999999999996,-1.5999999999999996,0.7999999999999998,0.4,-0.6000000000000001,1.5999999999999999,-11.0,0.0,0.3999999999999999,-2.0,-1.6,-40.0,-1.0,-80.0,-4.0,-2,-3,-4,-3.0,2,0,4.1,4.2,Villa Park,D
A Marriner,Sun,0.0,-3,-3.4000000000000004,-2.6000000000000005,-1.0,-1.1999999999999993,-1.7999999999999998,-0.2,-0.3999999999999999,0.5999999999999999,-5.0,-0.2,0.2,-2.0,-1.0,-40.0,-3.0,-20.0,-3.0,-1,-1,-3,-1.6599999999999966,1,0,-0.10000000000000009,3.1,Falmer Stadium,W
K Friend,Sun,0.0,0,-1.5999999999999996,-2.8,0.40000000000000036,-2.200000000000001,-0.8,0.0,-0.9999999999999999,0.4,-7.0,-0.39999999999999997,0.39999999999999997,-4.0,-1.2,-40.0,0.0,-40.0,-1.0,3,3,4,3.3299999999999983,-13,-1,-2.59,3.6,St Mary's Stadium,D
M Dean,Mon,0.0,0,-4.800000000000001,-1.4000000000000004,-1.4000000000000004,-2.799999999999999,0.19999999999999973,0.0,-0.6,0.0,-3.0,-0.19999999999999996,0.39999999999999997,-3.0,-0.40000000000000013,-20.0,-1.0,0.0,-3.0,1,1,0,0.6700000000000017,-5,-1,0.18999999999999995,3.2,Turf Moor,W
C Pawson,Sat,0.0,0,-1.5999999999999996,-1.2000000000000002,0.5999999999999996,1.4000000000000004,-0.19999999999999996,0.0,0.3999999999999999,-0.4,4.0,0.0,0.2,-1.0,0.3999999999999999,20.0,0.0,0.0,0.0,6,9,13,9.340000000000003,-15,-1,-11.72,5.75,Old Trafford,W
L Probert,Tue,0.0,0,-5.000000000000001,-1.1999999999999997,-3.0000000000000004,1.8000000000000007,1.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.2,0.3999999999999999,-1.0,-0.39999999999999997,-20.0,0.0,0.0,1.0,1,3,4,2.6700000000000017,-11,-1,-1.13,3.1,The Hawthorns,D
K Friend,Sat,0.0,-1,2.6000000000000014,2.5999999999999996,1.2000000000000002,0.0,0.19999999999999996,0.0,1.0,-2.0,15.0,0.39999999999999997,-1.0,7.0,2.4,80.0,1.0,80.0,5.0,7,10,11,9.340000000000003,-20,-1,-13.75,6.5,Stamford Bridge,W
