Season,Date,HomeTeam,AwayTeam,B365H,B365D,B365A,Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,Venue,Result
2022-2023,2023-03-12,west-ham,aston-villa,2.2,3.3,3.4,C Kavanagh,Sun,0,-5,-0.40000000000000036,-1.1999999999999997,1.7999999999999998,-3.0,-0.19999999999999996,0.0,-0.40000000000000013,-0.6000000000000001,1.0,-0.6,-0.7999999999999999,1.0,-0.19999999999999996,-20.0,-2.0,20.0,-2.0,-1,1,1,0.3299999999999983,-7,0,-1.1999999999999997,London Stadium,D
2022-2023,2023-04-01,chelsea,aston-villa,1.67,3.8,5.25,A Madley,Sat,0,0,3.200000000000001,-0.20000000000000018,2.8,0.40000000000000036,1.2,0.0,-0.6000000000000001,0.19999999999999996,-4.0,-0.6,0.0,-3.0,-0.6000000000000001,-20.0,-1.0,-20.0,-1.0,4,0,5,3.0,-11,0,-3.58,Stamford Bridge,L
2022-2023,2023-04-04,leicester,aston-villa,2.55,3.3,2.75,G Scott,Tue,0,0,-1.6000000000000014,-2.2,-1.0,1.200000000000001,0.40000000000000013,0.2,-1.2000000000000002,1.4000000000000001,-13.0,-0.6000000000000001,0.6000000000000001,-6.0,-2.4,-80.0,-2.0,-80.0,-5.0,-3,1,4,0.6599999999999966,-6,0,-0.20000000000000018,King Power Stadium,L
2022-2023,2023-04-22,brentford,aston-villa,2.5,3.25,2.88,M Salisbury,Sat,0,0,-3.6000000000000014,-1.6,-1.6000000000000005,-1.4000000000000004,-0.6000000000000001,0.2,-1.4,1.6,-15.0,0.0,0.6000000000000001,-3.0,-2.6,-100.0,-5.0,-60.0,-8.0,-5,-4,-2,-3.6700000000000017,-1,0,-0.3799999999999999,Brentford Community Stadium,D
2022-2023,2023-04-30,united,aston-villa,1.73,3.9,4.6,J Gillett,Sun,-2,-2,4.999999999999998,2.4000000000000004,3.0,-0.40000000000000036,-0.40000000000000013,0.0,-0.40000000000000013,0.4,-4.0,0.4,-0.2,3.0,-0.6000000000000001,-20.0,-1.0,-20.0,-6.0,2,4,4,3.3299999999999983,-8,0,-2.8699999999999997,Old Trafford,W
2022-2023,2023-05-06,wolves,aston-villa,2.88,3.3,2.5,S Attwell,Sat,0,1,-0.8000000000000007,1.2000000000000002,1.4000000000000004,5.0,0.5999999999999999,0.0,-0.19999999999999996,1.2000000000000002,-7.0,0.4,0.8,-2.0,-0.19999999999999996,0.0,0.0,-20.0,0.0,-5,1,0,-1.3400000000000034,-4,0,0.3799999999999999,Molineux Stadium,W
2022-2023,2023-05-20,liverpool,aston-villa,1.45,5.0,6.25,J Brooks,Sat,0,-2,3.799999999999999,1.6,-0.20000000000000018,5.3999999999999995,-0.6000000000000001,0.0,1.4000000000000001,0.0,7.0,1.2000000000000002,0.0,6.0,1.6,60.0,6.0,40.0,8.0,5,3,6,4.659999999999997,-12,0,-4.8,Anfield,D
2022-2023,2022-10-01,bournemouth,brentford,3.3,3.4,2.2,T Bramall,Sat,0,0,-5.2,-2.3999999999999995,-1.8000000000000003,1.8000000000000007,0.0,0.0,-1.0,1.0,-10.0,-0.6,0.6000000000000001,-6.0,0.0,0.0,0.0,0.0,3.0,-2,0,-2,-1.3400000000000034,9,1,1.0999999999999996,Dean Court,D
2022-2023,2022-10-08,newcastle,brentford,1.83,3.8,4.2,J Brooks,Sat,0,0,5.600000000000001,1.7999999999999998,3.0,3.1999999999999993,-0.20000000000000018,0.0,0.0,-0.3999999999999999,2.0,0.4,-0.6000000000000001,5.0,0.0,0.0,1.0,0.0,2.0,4,2,3,3.0,-2,0,-2.37,St. James Park,W
2022-2023,2022-10-23,aston-villa,brentford,2.1,3.5,3.5,D England,Sun,0,-1,6.6000000000000005,1.6,1.7999999999999998,3.8000000000000007,0.8,0.2,-0.19999999999999996,-0.40000000000000013,1.0,0.2,-0.20000000000000007,2.0,0.0,0.0,0.0,0.0,-2.0,5,4,4,4.329999999999998,1,0,-1.4,Villa Park,W
