Date,Comp,Venue,Result,GF,GA,Opponent,Poss,team
2016-08-14,Premier League,Home,L,3,4,Liverpool,51.0,arsenal
2016-08-20,Premier League,Away,D,0,0,Leicester City,61.0,arsenal
2016-08-27,Premier League,Away,W,3,1,Watford,55.0,arsenal
2016-09-10,Premier League,Home,W,2,1,Southampton,57.0,arsenal
2016-09-13,Champions Lg,Away,D,1,1,fr Paris S-G,48.0,arsenal
2016-09-17,Premier League,Away,W,4,1,Hull City,61.0,arsenal
2016-09-20,EFL Cup,Away,W,4,0,Nott'ham Forest,61.0,arsenal
2016-09-24,Premier League,Home,W,3,0,Chelsea,50.0,arsenal
2016-09-28,Champions Lg,Home,W,2,0,ch Basel,65.0,arsenal
2016-10-02,Premier League,Away,W,1,0,Burnley,67.0,arsenal
2016-10-15,Premier League,Home,W,3,2,Swansea City,49.0,arsenal
2016-10-19,Champions Lg,Home,W,6,0,bg Ludogorets,43.0,arsenal
2016-10-22,Premier League,Home,D,0,0,Middlesbrough,75.0,arsenal
2016-10-25,EFL Cup,Home,W,2,0,Reading,60.0,arsenal
2016-10-29,Premier League,Away,W,4,1,Sunderland,66.0,arsenal
2016-11-01,Champions Lg,Away,W,3,2,bg Ludogorets,58.0,arsenal
2016-11-06,Premier League,Home,D,1,1,Tottenham,46.0,arsenal
2016-11-19,Premier League,Away,D,1,1,Manchester Utd,55.0,arsenal
2016-11-23,Champions Lg,Home,D,2,2,fr Paris S-G,46.0,arsenal
2016-11-27,Premier League,Home,W,3,1,Bournemouth,52.0,arsenal
2016-11-30,EFL Cup,Home,L,0,2,Southampton,63.0,arsenal
2016-12-03,Premier League,Away,W,5,1,West Ham,50.0,arsenal
2016-12-06,Champions Lg,Away,W,4,1,ch Basel,59.0,arsenal
2016-12-10,Premier League,Home,W,3,1,Stoke City,64.0,arsenal
2016-12-13,Premier League,Away,L,1,2,Everton,59.0,arsenal
2016-12-18,Premier League,Away,L,1,2,Manchester City,39.0,arsenal
2016-12-26,Premier League,Home,W,1,0,West Brom,76.0,arsenal
2017-01-01,Premier League,Home,W,2,0,Crystal Palace,64.0,arsenal
2017-01-03,Premier League,Away,D,3,3,Bournemouth,60.0,arsenal
2017-01-07,FA Cup,Away,W,2,1,Preston,,arsenal
2017-01-14,Premier League,Away,W,4,0,Swansea City,57.0,arsenal
2017-01-22,Premier League,Home,W,2,1,Burnley,70.0,arsenal
2017-01-28,FA Cup,Away,W,5,0,Southampton,,arsenal
2017-01-31,Premier League,Home,L,1,2,Watford,74.0,arsenal
2017-02-04,Premier League,Away,L,1,3,Chelsea,59.0,arsenal
2017-02-11,Premier League,Home,W,2,0,Hull City,49.0,arsenal
2017-02-15,Champions Lg,Away,L,1,5,de Bayern Munich,26.0,arsenal
2017-02-20,FA Cup,Away,W,2,0,Sutton United,,arsenal
2017-03-04,Premier League,Away,L,1,3,Liverpool,48.0,arsenal
2017-03-07,Champions Lg,Home,L,1,5,de Bayern Munich,43.0,arsenal
2017-03-11,FA Cup,Home,W,5,0,Lincoln City,,arsenal
2017-03-18,Premier League,Away,L,1,3,West Brom,77.0,arsenal
2017-04-02,Premier League,Home,D,2,2,Manchester City,44.0,arsenal
2017-04-05,Premier League,Home,W,3,0,West Ham,66.0,arsenal
2017-04-10,Premier League,Away,L,0,3,Crystal Palace,72.0,arsenal
2017-04-17,Premier League,Away,W,2,1,Middlesbrough,65.0,arsenal
2017-04-23,FA Cup,Home,W,2,1,Manchester City,,arsenal
2017-04-26,Premier League,Home,W,1,0,Leicester City,69.0,arsenal
2017-04-30,Premier League,Away,L,0,2,Tottenham,49.0,arsenal
2017-05-07,Premier League,Home,W,2,0,Manchester Utd,50.0,arsenal
2017-05-10,Premier League,Away,W,2,0,Southampton,53.0,arsenal
2017-05-13,Premier League,Away,W,4,1,Stoke City,67.0,arsenal
2017-05-16,Premier League,Home,W,2,0,Sunderland,63.0,arsenal
2017-05-21,Premier League,Home,W,3,1,Everton,50.0,arsenal
2017-05-27,FA Cup,Home,W,2,1,Chelsea,,arsenal
2016-08-14,Premier League,Home,L,1,3,Manchester Utd,47.0,bournemouth
2016-08-21,Premier League,Away,L,0,1,West Ham,53.0,bournemouth
2016-08-24,EFL Cup,Away,W,2,1,Morecambe,60.0,bournemouth
2016-08-27,Premier League,Away,D,1,1,Crystal Palace,41.0,bournemouth
2016-09-10,Premier League,Home,W,1,0,West Brom,64.0,bournemouth
2016-09-17,Premier League,Away,L,0,4,Manchester City,36.0,bournemouth
2016-09-20,EFL Cup,Home,L,2,3,Preston,56.0,bournemouth
2016-09-24,Premier League,Home,W,1,0,Everton,53.0,bournemouth
2016-10-01,Premier League,Away,D,2,2,Watford,52.0,bournemouth
2016-10-15,Premier League,Home,W,6,1,Hull City,50.0,bournemouth
2016-10-22,Premier League,Home,D,0,0,Tottenham,38.0,bournemouth
2016-10-29,Premier League,Away,L,0,2,Middlesbrough,60.0,bournemouth
2016-11-05,Premier League,Home,L,1,2,Sunderland,70.0,bournemouth
2016-11-19,Premier League,Away,W,1,0,Stoke City,49.0,bournemouth
2016-11-27,Premier League,Away,L,1,3,Arsenal,49.0,bournemouth
2016-12-04,Premier League,Home,W,4,3,Liverpool,40.0,bournemouth
2016-12-10,Premier League,Away,L,2,3,Burnley,69.0,bournemouth
2016-12-13,Premier League,Home,W,1,0,Leicester City,63.0,bournemouth
2016-12-18,Premier League,Home,L,1,3,Southampton,47.0,bournemouth
2016-12-26,Premier League,Away,L,0,3,Chelsea,56.0,bournemouth
2016-12-31,Premier League,Away,W,3,0,Swansea City,55.0,bournemouth
2017-01-03,Premier League,Home,D,3,3,Arsenal,40.0,bournemouth
2017-01-07,FA Cup,Away,L,0,3,Millwall,,bournemouth
2017-01-14,Premier League,Away,L,1,3,Hull City,61.0,bournemouth
2017-01-21,Premier League,Home,D,2,2,Watford,63.0,bournemouth
2017-01-31,Premier League,Home,L,0,2,Crystal Palace,65.0,bournemouth
2017-02-04,Premier League,Away,L,3,6,Everton,54.0,bournemouth
2017-02-13,Premier League,Home,L,0,2,Manchester City,38.0,bournemouth
2017-02-25,Premier League,Away,L,1,2,West Brom,68.0,bournemouth
2017-03-04,Premier League,Away,D,1,1,Manchester Utd,32.0,bournemouth
2017-03-11,Premier League,Home,W,3,2,West Ham,52.0,bournemouth
2017-03-18,Premier League,Home,W,2,0,Swansea City,48.0,bournemouth
2017-04-01,Premier League,Away,D,0,0,Southampton,39.0,bournemouth
2017-04-05,Premier League,Away,D,2,2,Liverpool,33.0,bournemouth
2017-04-08,Premier League,Home,L,1,3,Chelsea,51.0,bournemouth
2017-04-15,Premier League,Away,L,0,4,Tottenham,31.0,bournemouth
2017-04-22,Premier League,Home,W,4,0,Middlesbrough,68.0,bournemouth
2017-04-29,Premier League,Away,W,1,0,Sunderland,59.0,bournemouth
2017-05-06,Premier League,Home,D,2,2,Stoke City,58.0,bournemouth
2017-05-13,Premier League,Home,W,2,1,Burnley,55.0,bournemouth
2017-05-21,Premier League,Away,D,1,1,Leicester City,51.0,bournemouth
2016-08-13,Premier League,Home,L,0,1,Swansea City,48.0,burnley
2016-08-20,Premier League,Home,W,2,0,Liverpool,20.0,burnley
2016-08-24,EFL Cup,Away,L,0,1,Acc'ton Stanley,59.0,burnley
2016-08-27,Premier League,Away,L,0,3,Chelsea,40.0,burnley
2016-09-10,Premier League,Home,D,1,1,Hull City,39.0,burnley
2016-09-17,Premier League,Away,L,0,3,Leicester City,41.0,burnley
2016-09-26,Premier League,Home,W,2,0,Watford,44.0,burnley
2016-10-02,Premier League,Home,L,0,1,Arsenal,33.0,burnley
2016-10-16,Premier League,Away,L,1,3,Southampton,35.0,burnley
2016-10-22,Premier League,Home,W,2,1,Everton,35.0,burnley
2016-10-29,Premier League,Away,D,0,0,Manchester Utd,28.0,burnley
2016-11-05,Premier League,Home,W,3,2,Crystal Palace,38.0,burnley
2016-11-21,Premier League,Away,L,0,4,West Brom,55.0,burnley
2016-11-26,Premier League,Home,L,1,2,Manchester City,33.0,burnley
2016-12-03,Premier League,Away,L,0,2,Stoke City,44.0,burnley
2016-12-10,Premier League,Home,W,3,2,Bournemouth,31.0,burnley
2016-12-14,Premier League,Away,L,0,1,West Ham,42.0,burnley
2016-12-18,Premier League,Away,L,1,2,Tottenham,40.0,burnley
2016-12-26,Premier League,Home,W,1,0,Middlesbrough,46.0,burnley
2016-12-31,Premier League,Home,W,4,1,Sunderland,46.0,burnley
2017-01-02,Premier League,Away,L,1,2,Manchester City,45.0,burnley
2017-01-07,FA Cup,Away,D,0,0,Sunderland,,burnley
2017-01-14,Premier League,Home,W,1,0,Southampton,41.0,burnley
2017-01-17,FA Cup,Home,W,2,0,Sunderland,,burnley
2017-01-22,Premier League,Away,L,1,2,Arsenal,30.0,burnley
2017-01-28,FA Cup,Home,W,2,0,Bristol City,,burnley
2017-01-31,Premier League,Home,W,1,0,Leicester City,59.0,burnley
2017-02-04,Premier League,Away,L,1,2,Watford,40.0,burnley
2017-02-12,Premier League,Home,D,1,1,Chelsea,29.0,burnley
2017-02-18,FA Cup,Home,L,0,1,Lincoln City,,burnley
2017-02-25,Premier League,Away,D,1,1,Hull City,34.0,burnley
2017-03-04,Premier League,Away,L,2,3,Swansea City,29.0,burnley
2017-03-12,Premier League,Away,L,1,2,Liverpool,36.0,burnley
2017-03-18,Premier League,Away,D,0,0,Sunderland,56.0,burnley
2017-04-01,Premier League,Home,L,0,2,Tottenham,38.0,burnley
2017-04-04,Premier League,Home,W,1,0,Stoke City,48.0,burnley
2017-04-08,Premier League,Away,D,0,0,Middlesbrough,44.0,burnley
2017-04-15,Premier League,Away,L,1,3,Everton,37.0,burnley
2017-04-23,Premier League,Home,L,0,2,Manchester Utd,46.0,burnley
2017-04-29,Premier League,Away,W,2,0,Crystal Palace,36.0,burnley
2017-05-06,Premier League,Home,D,2,2,West Brom,55.0,burnley
2017-05-13,Premier League,Away,L,1,2,Bournemouth,45.0,burnley
2017-05-21,Premier League,Home,L,1,2,West Ham,44.0,burnley
2016-08-15,Premier League,Home,W,2,1,West Ham,62.0,chelsea
2016-08-20,Premier League,Away,W,2,1,Watford,62.0,chelsea
2016-08-23,EFL Cup,Home,W,3,2,Bristol Rovers,54.0,chelsea
2016-08-27,Premier League,Home,W,3,0,Burnley,60.0,chelsea
2016-09-11,Premier League,Away,D,2,2,Swansea City,55.0,chelsea
2016-09-16,Premier League,Home,L,1,2,Liverpool,53.0,chelsea
2016-09-20,EFL Cup,Away,W,4,2,Leicester City,67.0,chelsea
2016-09-24,Premier League,Away,L,0,3,Arsenal,51.0,chelsea
2016-10-01,Premier League,Away,W,2,0,Hull City,59.0,chelsea
2016-10-15,Premier League,Home,W,3,0,Leicester City,55.0,chelsea
2016-10-23,Premier League,Home,W,4,0,Manchester Utd,44.0,chelsea
2016-10-26,EFL Cup,Away,L,1,2,West Ham,53.0,chelsea
2016-10-30,Premier League,Away,W,2,0,Southampton,45.0,chelsea
2016-11-05,Premier League,Home,W,5,0,Everton,60.0,chelsea
2016-11-20,Premier League,Away,W,1,0,Middlesbrough,58.0,chelsea
2016-11-26,Premier League,Home,W,2,1,Tottenham,46.0,chelsea
2016-12-03,Premier League,Away,W,3,1,Manchester City,39.0,chelsea
2016-12-11,Premier League,Home,W,1,0,West Brom,67.0,chelsea
2016-12-14,Premier League,Away,W,1,0,Sunderland,66.0,chelsea
2016-12-17,Premier League,Away,W,1,0,Crystal Palace,47.0,chelsea
2016-12-26,Premier League,Home,W,3,0,Bournemouth,44.0,chelsea
2016-12-31,Premier League,Home,W,4,2,Stoke City,60.0,chelsea
2017-01-04,Premier League,Away,L,0,2,Tottenham,55.0,chelsea
2017-01-08,FA Cup,Home,W,4,1,P'borough Utd,,chelsea
2017-01-14,Premier League,Away,W,3,0,Leicester City,65.0,chelsea
2017-01-22,Premier League,Home,W,2,0,Hull City,53.0,chelsea
2017-01-28,FA Cup,Home,W,4,0,Brentford,,chelsea
2017-01-31,Premier League,Away,D,1,1,Liverpool,38.0,chelsea
2017-02-04,Premier League,Home,W,3,1,Arsenal,42.0,chelsea
2017-02-12,Premier League,Away,D,1,1,Burnley,71.0,chelsea
2017-02-18,FA Cup,Away,W,2,0,Wolves,,chelsea
2017-02-25,Premier League,Home,W,3,1,Swansea City,66.0,chelsea
2017-03-06,Premier League,Away,W,2,1,West Ham,48.0,chelsea
2017-03-13,FA Cup,Home,W,1,0,Manchester Utd,,chelsea
2017-03-18,Premier League,Away,W,2,1,Stoke City,64.0,chelsea
2017-04-01,Premier League,Home,L,1,2,Crystal Palace,73.0,chelsea
2017-04-05,Premier League,Home,W,2,1,Manchester City,40.0,chelsea
2017-04-08,Premier League,Away,W,3,1,Bournemouth,49.0,chelsea
2017-04-16,Premier League,Away,L,0,2,Manchester Utd,54.0,chelsea
2017-04-22,FA Cup,Home,W,4,2,Tottenham,,chelsea
2017-04-25,Premier League,Home,W,4,2,Southampton,48.0,chelsea
2017-04-30,Premier League,Away,W,3,0,Everton,50.0,chelsea
2017-05-08,Premier League,Home,W,3,0,Middlesbrough,57.0,chelsea
2017-05-12,Premier League,Away,W,1,0,West Brom,68.0,chelsea
2017-05-15,Premier League,Home,W,4,3,Watford,47.0,chelsea
2017-05-21,Premier League,Home,W,5,1,Sunderland,72.0,chelsea
2017-05-27,FA Cup,Away,L,1,2,Arsenal,,chelsea
2016-08-13,Premier League,Home,W,2,1,Sunderland,77.0,city
2016-08-16,Champions Lg,Away,W,5,0,ro Steaua,71.0,city
2016-08-20,Premier League,Away,W,4,1,Stoke City,58.0,city
2016-08-24,Champions Lg,Home,W,1,0,ro Steaua,62.0,city
2016-08-28,Premier League,Home,W,3,1,West Ham,67.0,city
2016-09-10,Premier League,Away,W,2,1,Manchester Utd,60.0,city
2016-09-14,Champions Lg,Home,W,4,0,de M'Gladbach,56.0,city
2016-09-17,Premier League,Home,W,4,0,Bournemouth,64.0,city
2016-09-21,EFL Cup,Away,W,2,1,Swansea City,60.0,city
2016-09-24,Premier League,Away,W,3,1,Swansea City,58.0,city
2016-09-28,Champions Lg,Away,D,3,3,sct Celtic,61.0,city
2016-10-02,Premier League,Away,L,0,2,Tottenham,58.0,city
2016-10-15,Premier League,Home,D,1,1,Everton,73.0,city
2016-10-19,Champions Lg,Away,L,0,4,es Barcelona,47.0,city
2016-10-23,Premier League,Home,D,1,1,Southampton,65.0,city
2016-10-26,EFL Cup,Away,L,0,1,Manchester Utd,52.0,city
2016-10-29,Premier League,Away,W,4,0,West Brom,70.0,city
2016-11-01,Champions Lg,Home,W,3,1,es Barcelona,35.0,city
2016-11-05,Premier League,Home,D,1,1,Middlesbrough,71.0,city
2016-11-19,Premier League,Away,W,2,1,Crystal Palace,62.0,city
2016-11-23,Champions Lg,Away,D,1,1,de M'Gladbach,69.0,city
2016-11-26,Premier League,Away,W,2,1,Burnley,67.0,city
2016-12-03,Premier League,Home,L,1,3,Chelsea,61.0,city
2016-12-06,Champions Lg,Home,D,1,1,sct Celtic,58.0,city
2016-12-10,Premier League,Away,L,2,4,Leicester City,78.0,city
2016-12-14,Premier League,Home,W,2,0,Watford,63.0,city
2016-12-18,Premier League,Home,W,2,1,Arsenal,61.0,city
2016-12-26,Premier League,Away,W,3,0,Hull City,67.0,city
2016-12-31,Premier League,Away,L,0,1,Liverpool,57.0,city
2017-01-02,Premier League,Home,W,2,1,Burnley,55.0,city
2017-01-06,FA Cup,Away,W,5,0,West Ham,,city
2017-01-15,Premier League,Away,L,0,4,Everton,71.0,city
2017-01-21,Premier League,Home,D,2,2,Tottenham,55.0,city
2017-01-28,FA Cup,Away,W,3,0,Crystal Palace,,city
2017-02-01,Premier League,Away,W,4,0,West Ham,70.0,city
2017-02-05,Premier League,Home,W,2,1,Swansea City,69.0,city
2017-02-13,Premier League,Away,W,2,0,Bournemouth,62.0,city
2017-02-18,FA Cup,Away,D,0,0,Huddersfield,,city
2017-02-21,Champions Lg,Home,W,5,3,fr Monaco,67.0,city
2017-03-01,FA Cup,Home,W,5,1,Huddersfield,,city
2017-03-05,Premier League,Away,W,2,0,Sunderland,71.0,city
2017-03-08,Premier League,Home,D,0,0,Stoke City,65.0,city
2017-03-11,FA Cup,Away,W,2,0,Middlesbrough,,city
2017-03-15,Champions Lg,Away,L,1,3,fr Monaco,59.0,city
2017-03-19,Premier League,Home,D,1,1,Liverpool,60.0,city
2017-04-02,Premier League,Away,D,2,2,Arsenal,56.0,city
2017-04-05,Premier League,Away,L,1,2,Chelsea,61.0,city
2017-04-08,Premier League,Home,W,3,1,Hull City,68.0,city
2017-04-15,Premier League,Away,W,3,0,Southampton,59.0,city
2017-04-23,FA Cup,Away,L,1,2,Arsenal,,city
2017-04-27,Premier League,Home,D,0,0,Manchester Utd,69.0,city
2017-04-30,Premier League,Away,D,2,2,Middlesbrough,68.0,city
2017-05-06,Premier League,Home,W,5,0,Crystal Palace,69.0,city
2017-05-13,Premier League,Home,W,2,1,Leicester City,66.0,city
2017-05-16,Premier League,Home,W,3,1,West Brom,71.0,city
2017-05-21,Premier League,Away,W,5,0,Watford,67.0,city
2016-08-13,Premier League,Home,D,1,1,Tottenham,43.0,everton
2016-08-20,Premier League,Away,W,2,1,West Brom,66.0,everton
2016-08-23,EFL Cup,Home,W,4,0,Yeovil Town,66.0,everton
2016-08-27,Premier League,Home,W,1,0,Stoke City,55.0,everton
2016-09-12,Premier League,Away,W,3,0,Sunderland,67.0,everton
2016-09-17,Premier League,Home,W,3,1,Middlesbrough,52.0,everton
2016-09-20,EFL Cup,Home,L,0,2,Norwich City,58.0,everton
2016-09-24,Premier League,Away,L,0,1,Bournemouth,47.0,everton
2016-09-30,Premier League,Home,D,1,1,Crystal Palace,57.0,everton
