Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team
2014-08-23,Premier League,Sat,Home,W,1,0,Burnley,55.0,swansea
2014-08-26,League Cup,Tue,Home,W,1,0,Rotherham Utd,,swansea
2014-08-30,Premier League,Sat,Home,W,3,0,West Brom,56.0,swansea
2014-09-13,Premier League,Sat,Away,L,2,4,Chelsea,45.0,swansea
2014-09-20,Premier League,Sat,Home,L,0,1,Southampton,44.0,swansea
2014-09-23,League Cup,Tue,Home,W,3,0,Everton,,swansea
2014-09-27,Premier League,Sat,Away,D,0,0,Sunderland,51.0,swansea
2014-10-04,Premier League,Sat,Home,D,2,2,Newcastle Utd,63.0,swansea
2014-10-19,Premier League,Sun,Away,L,1,2,Stoke City,57.0,swansea
2014-10-25,Premier League,Sat,Home,W,2,0,Leicester City,50.0,swansea
2014-10-28,League Cup,Tue,Away,L,1,2,Liverpool,,swansea
2014-11-01,Premier League,Sat,Away,D,0,0,Everton,33.0,swansea
2014-11-09,Premier League,Sun,Home,W,2,1,Arsenal,48.0,swansea
2014-11-22,Premier League,Sat,Away,L,1,2,Manchester City,41.0,swansea
2014-11-29,Premier League,Sat,Home,D,1,1,Crystal Palace,64.0,swansea
2014-12-02,Premier League,Tue,Home,W,2,0,QPR,59.0,swansea
2014-12-07,Premier League,Sun,Away,L,1,3,West Ham,44.0,swansea
2014-12-14,Premier League,Sun,Home,L,1,2,Tottenham,54.0,swansea
2014-12-20,Premier League,Sat,Away,W,1,0,Hull City,43.0,swansea
2014-12-26,Premier League,Fri,Home,W,1,0,Aston Villa,43.0,swansea
2014-12-29,Premier League,Mon,Away,L,1,4,Liverpool,57.0,swansea
2015-01-01,Premier League,Thu,Away,D,1,1,QPR,59.0,swansea
2015-01-03,FA Cup,Sat,Away,W,6,2,Tranmere Rovers,,swansea
2015-01-10,Premier League,Sat,Home,D,1,1,West Ham,61.0,swansea
2015-01-17,Premier League,Sat,Home,L,0,5,Chelsea,45.0,swansea
2015-01-24,FA Cup,Sat,Away,L,1,3,Blackburn,,swansea
2015-02-01,Premier League,Sun,Away,W,1,0,Southampton,37.0,swansea
2015-02-07,Premier League,Sat,Home,D,1,1,Sunderland,60.0,swansea
2015-02-11,Premier League,Wed,Away,L,0,2,West Brom,64.0,swansea
2015-02-21,Premier League,Sat,Home,W,2,1,Manchester Utd,36.0,swansea
2015-02-28,Premier League,Sat,Away,W,1,0,Burnley,54.0,swansea
2015-03-04,Premier League,Wed,Away,L,2,3,Tottenham,39.0,swansea
2015-03-16,Premier League,Mon,Home,L,0,1,Liverpool,46.0,swansea
2015-03-21,Premier League,Sat,Away,W,1,0,Aston Villa,57.0,swansea
2015-04-04,Premier League,Sat,Home,W,3,1,Hull City,58.0,swansea
2015-04-11,Premier League,Sat,Home,D,1,1,Everton,51.0,swansea
2015-04-18,Premier League,Sat,Away,L,0,2,Leicester City,59.0,swansea
2015-04-25,Premier League,Sat,Away,W,3,2,Newcastle Utd,52.0,swansea
2015-05-02,Premier League,Sat,Home,W,2,0,Stoke City,47.0,swansea
2015-05-11,Premier League,Mon,Away,W,1,0,Arsenal,32.0,swansea
2015-05-17,Premier League,Sun,Home,L,2,4,Manchester City,47.0,swansea
2015-05-24,Premier League,Sun,Away,L,0,1,Crystal Palace,53.0,swansea
2014-08-16,Premier League,Sat,Away,W,1,0,West Ham,53.0,tottenham
2014-08-21,Europa Lg,Thu,Away,W,2,1,cy AEL Limassol,,tottenham
2014-08-24,Premier League,Sun,Home,W,4,0,QPR,66.0,tottenham
2014-08-28,Europa Lg,Thu,Home,W,3,0,cy AEL Limassol,,tottenham
2014-08-31,Premier League,Sun,Home,L,0,3,Liverpool,60.0,tottenham
2014-09-13,Premier League,Sat,Away,D,2,2,Sunderland,62.0,tottenham
2014-09-18,Europa Lg,Thu,Away,D,0,0,rs Partizan,61.0,tottenham
2014-09-21,Premier League,Sun,Home,L,0,1,West Brom,62.0,tottenham
2014-09-24,League Cup,Wed,Home,W,3,1,Nott'ham Forest,,tottenham
2014-09-27,Premier League,Sat,Away,D,1,1,Arsenal,31.0,tottenham
2014-10-02,Europa Lg,Thu,Home,D,1,1,tr Beşiktaş,48.0,tottenham
2014-10-05,Premier League,Sun,Home,W,1,0,Southampton,46.0,tottenham
2014-10-18,Premier League,Sat,Away,L,1,4,Manchester City,38.0,tottenham
2014-10-23,Europa Lg,Thu,Home,W,5,1,gr Asteras Tripoli,57.0,tottenham
2014-10-26,Premier League,Sun,Home,L,1,2,Newcastle Utd,67.0,tottenham
2014-10-29,League Cup,Wed,Home,W,2,0,Brighton,,tottenham
2014-11-02,Premier League,Sun,Away,W,2,1,Aston Villa,60.0,tottenham
2014-11-06,Europa Lg,Thu,Away,W,2,1,gr Asteras Tripoli,64.0,tottenham
2014-11-09,Premier League,Sun,Home,L,1,2,Stoke City,61.0,tottenham
2014-11-23,Premier League,Sun,Away,W,2,1,Hull City,73.0,tottenham
2014-11-27,Europa Lg,Thu,Home,W,1,0,rs Partizan,63.0,tottenham
2014-11-30,Premier League,Sun,Home,W,2,1,Everton,39.0,tottenham
2014-12-03,Premier League,Wed,Away,L,0,3,Chelsea,61.0,tottenham
2014-12-06,Premier League,Sat,Home,D,0,0,Crystal Palace,68.0,tottenham
2014-12-11,Europa Lg,Thu,Away,L,0,1,tr Beşiktaş,62.0,tottenham
2014-12-14,Premier League,Sun,Away,W,2,1,Swansea City,47.0,tottenham
2014-12-17,League Cup,Wed,Home,W,4,0,Newcastle Utd,,tottenham
2014-12-20,Premier League,Sat,Home,W,2,1,Burnley,65.0,tottenham
2014-12-26,Premier League,Fri,Away,W,2,1,Leicester City,50.0,tottenham
2014-12-28,Premier League,Sun,Home,D,0,0,Manchester Utd,48.0,tottenham
2015-01-01,Premier League,Thu,Home,W,5,3,Chelsea,46.0,tottenham
2015-01-05,FA Cup,Mon,Away,D,1,1,Burnley,,tottenham
2015-01-10,Premier League,Sat,Away,L,1,2,Crystal Palace,58.0,tottenham
2015-01-14,FA Cup,Wed,Home,W,4,2,Burnley,,tottenham
2015-01-17,Premier League,Sat,Home,W,2,1,Sunderland,65.0,tottenham
2015-01-21,League Cup,Wed,Home,W,1,0,Sheffield Utd,,tottenham
2015-01-24,FA Cup,Sat,Home,L,1,2,Leicester City,,tottenham
2015-01-28,League Cup,Wed,Away,D,2,2,Sheffield Utd,,tottenham
2015-01-31,Premier League,Sat,Away,W,3,0,West Brom,63.0,tottenham
2015-02-07,Premier League,Sat,Home,W,2,1,Arsenal,56.0,tottenham
2015-02-10,Premier League,Tue,Away,L,2,3,Liverpool,51.0,tottenham
2015-02-19,Europa Lg,Thu,Home,D,1,1,it Fiorentina,56.0,tottenham
2015-02-22,Premier League,Sun,Home,D,2,2,West Ham,65.0,tottenham
2015-02-26,Europa Lg,Thu,Away,L,0,2,it Fiorentina,61.0,tottenham
2015-03-01,League Cup,Sun,Away,L,0,2,Chelsea,,tottenham
2015-03-04,Premier League,Wed,Home,W,3,2,Swansea City,61.0,tottenham
2015-03-07,Premier League,Sat,Away,W,2,1,QPR,63.0,tottenham
2015-03-15,Premier League,Sun,Away,L,0,3,Manchester Utd,48.0,tottenham
2015-03-21,Premier League,Sat,Home,W,4,3,Leicester City,66.0,tottenham
2015-04-05,Premier League,Sun,Away,D,0,0,Burnley,60.0,tottenham
2015-04-11,Premier League,Sat,Home,L,0,1,Aston Villa,57.0,tottenham
2015-04-19,Premier League,Sun,Away,W,3,1,Newcastle Utd,61.0,tottenham
2015-04-25,Premier League,Sat,Away,D,2,2,Southampton,64.0,tottenham
2015-05-03,Premier League,Sun,Home,L,0,1,Manchester City,55.0,tottenham
2015-05-09,Premier League,Sat,Away,L,0,3,Stoke City,55.0,tottenham
2015-05-16,Premier League,Sat,Home,W,2,0,Hull City,56.0,tottenham
2015-05-24,Premier League,Sun,Away,W,1,0,Everton,60.0,tottenham
2014-08-16,Premier League,Sat,Home,L,1,2,Swansea City,60.0,united
2014-08-24,Premier League,Sun,Away,D,1,1,Sunderland,55.0,united
2014-08-26,League Cup,Tue,Away,L,0,4,MK Dons,,united
2014-08-30,Premier League,Sat,Away,D,0,0,Burnley,64.0,united
2014-09-14,Premier League,Sun,Home,W,4,0,QPR,69.0,united
2014-09-21,Premier League,Sun,Away,L,3,5,Leicester City,57.0,united
2014-09-27,Premier League,Sat,Home,W,2,1,West Ham,57.0,united
2014-10-05,Premier League,Sun,Home,W,2,1,Everton,49.0,united
2014-10-20,Premier League,Mon,Away,D,2,2,West Brom,63.0,united
2014-10-26,Premier League,Sun,Home,D,1,1,Chelsea,52.0,united
2014-11-02,Premier League,Sun,Away,L,0,1,Manchester City,48.0,united
2014-11-08,Premier League,Sat,Home,W,1,0,Crystal Palace,71.0,united
2014-11-22,Premier League,Sat,Away,W,2,1,Arsenal,39.0,united
2014-11-29,Premier League,Sat,Home,W,3,0,Hull City,76.0,united
2014-12-02,Premier League,Tue,Home,W,2,1,Stoke City,64.0,united
2014-12-08,Premier League,Mon,Away,W,2,1,Southampton,48.0,united
2014-12-14,Premier League,Sun,Home,W,3,0,Liverpool,55.0,united
2014-12-20,Premier League,Sat,Away,D,1,1,Aston Villa,65.0,united
2014-12-26,Premier League,Fri,Home,W,3,1,Newcastle Utd,62.0,united
2014-12-28,Premier League,Sun,Away,D,0,0,Tottenham,52.0,united
2015-01-01,Premier League,Thu,Away,D,1,1,Stoke City,66.0,united
2015-01-04,FA Cup,Sun,Away,W,2,0,Yeovil Town,,united
2015-01-11,Premier League,Sun,Home,L,0,1,Southampton,61.0,united
2015-01-17,Premier League,Sat,Away,W,2,0,QPR,62.0,united
2015-01-23,FA Cup,Fri,Away,D,0,0,Cambridge Utd,,united
2015-01-31,Premier League,Sat,Home,W,3,1,Leicester City,71.0,united
2015-02-03,FA Cup,Tue,Home,W,3,0,Cambridge Utd,,united
2015-02-08,Premier League,Sun,Away,D,1,1,West Ham,59.0,united
2015-02-11,Premier League,Wed,Home,W,3,1,Burnley,57.0,united
2015-02-16,FA Cup,Mon,Away,W,3,1,Preston,,united
2015-02-21,Premier League,Sat,Away,L,1,2,Swansea City,64.0,united
2015-02-28,Premier League,Sat,Home,W,2,0,Sunderland,73.0,united
2015-03-04,Premier League,Wed,Away,W,1,0,Newcastle Utd,68.0,united
2015-03-09,FA Cup,Mon,Home,L,1,2,Arsenal,,united
2015-03-15,Premier League,Sun,Home,W,3,0,Tottenham,52.0,united
2015-03-22,Premier League,Sun,Away,W,2,1,Liverpool,58.0,united
2015-04-04,Premier League,Sat,Home,W,3,1,Aston Villa,76.0,united
2015-04-12,Premier League,Sun,Home,W,4,2,Manchester City,59.0,united
2015-04-18,Premier League,Sat,Away,L,0,1,Chelsea,70.0,united
2015-04-26,Premier League,Sun,Away,L,0,3,Everton,65.0,united
2015-05-02,Premier League,Sat,Home,L,0,1,West Brom,80.0,united
2015-05-09,Premier League,Sat,Away,W,2,1,Crystal Palace,63.0,united
2015-05-17,Premier League,Sun,Home,D,1,1,Arsenal,57.0,united
2015-05-24,Premier League,Sun,Away,D,0,0,Hull City,59.0,united
2014-08-16,Premier League,Sat,Home,D,2,2,Sunderland,58.0,west-brom
2014-08-23,Premier League,Sat,Away,D,0,0,Southampton,42.0,west-brom
2014-08-26,League Cup,Tue,Home,D,1 (7),1 (6),Oxford United,,west-brom
2014-08-30,Premier League,Sat,Away,L,0,3,Swansea City,44.0,west-brom
2014-09-13,Premier League,Sat,Home,L,0,2,Everton,46.0,west-brom
2014-09-21,Premier League,Sun,Away,W,1,0,Tottenham,38.0,west-brom
2014-09-24,League Cup,Wed,Home,W,3,2,Hull City,,west-brom
2014-09-28,Premier League,Sun,Home,W,4,0,Burnley,63.0,west-brom
2014-10-04,Premier League,Sat,Away,L,1,2,Liverpool,46.0,west-brom
2014-10-20,Premier League,Mon,Home,D,2,2,Manchester Utd,37.0,west-brom
2014-10-25,Premier League,Sat,Home,D,2,2,Crystal Palace,69.0,west-brom
2014-10-28,League Cup,Tue,Away,L,1,2,Bournemouth,,west-brom
2014-11-01,Premier League,Sat,Away,W,1,0,Leicester City,44.0,west-brom
2014-11-09,Premier League,Sun,Home,L,0,2,Newcastle Utd,58.0,west-brom
2014-11-22,Premier League,Sat,Away,L,0,2,Chelsea,26.0,west-brom
2014-11-29,Premier League,Sat,Home,L,0,1,Arsenal,48.0,west-brom
2014-12-02,Premier League,Tue,Home,L,1,2,West Ham,58.0,west-brom
2014-12-06,Premier League,Sat,Away,D,0,0,Hull City,51.0,west-brom
2014-12-13,Premier League,Sat,Home,W,1,0,Aston Villa,49.0,west-brom
2014-12-20,Premier League,Sat,Away,L,2,3,QPR,57.0,west-brom
2014-12-26,Premier League,Fri,Home,L,1,3,Manchester City,48.0,west-brom
2014-12-28,Premier League,Sun,Away,L,0,2,Stoke City,49.0,west-brom
2015-01-01,Premier League,Thu,Away,D,1,1,West Ham,54.0,west-brom
2015-01-03,FA Cup,Sat,Home,W,7,0,Gateshead,,west-brom
2015-01-10,Premier League,Sat,Home,W,1,0,Hull City,52.0,west-brom
2015-01-19,Premier League,Mon,Away,D,0,0,Everton,31.0,west-brom
2015-01-24,FA Cup,Sat,Away,W,2,1,Birmingham City,,west-brom
2015-01-31,Premier League,Sat,Home,L,0,3,Tottenham,37.0,west-brom
2015-02-08,Premier League,Sun,Away,D,2,2,Burnley,44.0,west-brom
2015-02-11,Premier League,Wed,Home,W,2,0,Swansea City,36.0,west-brom
2015-02-14,FA Cup,Sat,Home,W,4,0,West Ham,,west-brom
2015-02-21,Premier League,Sat,Away,D,0,0,Sunderland,38.0,west-brom
2015-02-28,Premier League,Sat,Home,W,1,0,Southampton,36.0,west-brom
2015-03-03,Premier League,Tue,Away,L,1,2,Aston Villa,42.0,west-brom
2015-03-07,FA Cup,Sat,Away,L,0,2,Aston Villa,,west-brom
2015-03-14,Premier League,Sat,Home,W,1,0,Stoke City,43.0,west-brom
2015-03-21,Premier League,Sat,Away,L,0,3,Manchester City,22.0,west-brom
2015-04-04,Premier League,Sat,Home,L,1,4,QPR,55.0,west-brom
2015-04-11,Premier League,Sat,Home,L,2,3,Leicester City,46.0,west-brom
2015-04-18,Premier League,Sat,Away,W,2,0,Crystal Palace,32.0,west-brom
2015-04-25,Premier League,Sat,Home,D,0,0,Liverpool,27.0,west-brom
2015-05-02,Premier League,Sat,Away,W,1,0,Manchester Utd,20.0,west-brom
2015-05-09,Premier League,Sat,Away,D,1,1,Newcastle Utd,39.0,west-brom
2015-05-18,Premier League,Mon,Home,W,3,0,Chelsea,41.0,west-brom
2015-05-24,Premier League,Sun,Away,L,1,4,Arsenal,36.0,west-brom
2014-08-16,Premier League,Sat,Home,L,0,1,Tottenham,47.0,west-ham
2014-08-23,Premier League,Sat,Away,W,3,1,Crystal Palace,54.0,west-ham
2014-08-26,League Cup,Tue,Home,D,1 (4),1 (5),Sheffield Utd,,west-ham
2014-08-30,Premier League,Sat,Home,L,1,3,Southampton,36.0,west-ham
2014-09-15,Premier League,Mon,Away,D,2,2,Hull City,59.0,west-ham
2014-09-20,Premier League,Sat,Home,W,3,1,Liverpool,38.0,west-ham
2014-09-27,Premier League,Sat,Away,L,1,2,Manchester Utd,43.0,west-ham
2014-10-05,Premier League,Sun,Home,W,2,0,QPR,49.0,west-ham
2014-10-18,Premier League,Sat,Away,W,3,1,Burnley,53.0,west-ham
2014-10-25,Premier League,Sat,Home,W,2,1,Manchester City,31.0,west-ham
2014-11-01,Premier League,Sat,Away,D,2,2,Stoke City,41.0,west-ham
2014-11-08,Premier League,Sat,Home,D,0,0,Aston Villa,58.0,west-ham
2014-11-22,Premier League,Sat,Away,L,1,2,Everton,44.0,west-ham
2014-11-29,Premier League,Sat,Home,W,1,0,Newcastle Utd,48.0,west-ham
2014-12-02,Premier League,Tue,Away,W,2,1,West Brom,42.0,west-ham
2014-12-07,Premier League,Sun,Home,W,3,1,Swansea City,56.0,west-ham
2014-12-13,Premier League,Sat,Away,D,1,1,Sunderland,43.0,west-ham
2014-12-20,Premier League,Sat,Home,W,2,0,Leicester City,48.0,west-ham
2014-12-26,Premier League,Fri,Away,L,0,2,Chelsea,35.0,west-ham
2014-12-28,Premier League,Sun,Home,L,1,2,Arsenal,58.0,west-ham
2015-01-01,Premier League,Thu,Home,D,1,1,West Brom,46.0,west-ham
2015-01-06,FA Cup,Tue,Away,D,1,1,Everton,,west-ham
2015-01-10,Premier League,Sat,Away,D,1,1,Swansea City,39.0,west-ham
2015-01-13,FA Cup,Tue,Home,D,2 (9),2 (8),Everton,,west-ham
2015-01-18,Premier League,Sun,Home,W,3,0,Hull City,54.0,west-ham
2015-01-25,FA Cup,Sun,Away,W,1,0,Bristol City,,west-ham
2015-01-31,Premier League,Sat,Away,L,0,2,Liverpool,34.0,west-ham
2015-02-08,Premier League,Sun,Home,D,1,1,Manchester Utd,41.0,west-ham
2015-02-11,Premier League,Wed,Away,D,0,0,Southampton,33.0,west-ham
2015-02-14,FA Cup,Sat,Away,L,0,4,West Brom,,west-ham
2015-02-22,Premier League,Sun,Away,D,2,2,Tottenham,35.0,west-ham
2015-02-28,Premier League,Sat,Home,L,1,3,Crystal Palace,66.0,west-ham
2015-03-04,Premier League,Wed,Home,L,0,1,Chelsea,45.0,west-ham
2015-03-14,Premier League,Sat,Away,L,0,3,Arsenal,32.0,west-ham
2015-03-21,Premier League,Sat,Home,W,1,0,Sunderland,54.0,west-ham
2015-04-04,Premier League,Sat,Away,L,1,2,Leicester City,50.0,west-ham
2015-04-11,Premier League,Sat,Home,D,1,1,Stoke City,35.0,west-ham
2015-04-19,Premier League,Sun,Away,L,0,2,Manchester City,33.0,west-ham
2015-04-25,Premier League,Sat,Away,D,0,0,QPR,46.0,west-ham
2015-05-02,Premier League,Sat,Home,W,1,0,Burnley,60.0,west-ham
2015-05-09,Premier League,Sat,Away,L,0,1,Aston Villa,42.0,west-ham
2015-05-16,Premier League,Sat,Home,L,1,2,Everton,45.0,west-ham
2015-05-24,Premier League,Sun,Away,L,0,2,Newcastle Utd,59.0,west-ham
