Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team
2015-04-05,Premier League,Sun,Home,D,0,0,Tottenham,40.0,burnley
2015-04-11,Premier League,Sat,Home,L,0,1,Arsenal,32.0,burnley
2015-04-18,Premier League,Sat,Away,L,0,1,Everton,34.0,burnley
2015-04-25,Premier League,Sat,Home,L,0,1,Leicester City,60.0,burnley
2015-05-02,Premier League,Sat,Away,L,0,1,West Ham,40.0,burnley
2015-05-09,Premier League,Sat,Away,W,1,0,Hull City,46.0,burnley
2015-05-16,Premier League,Sat,Home,D,0,0,Stoke City,46.0,burnley
2015-05-24,Premier League,Sun,Away,W,1,0,Aston Villa,37.0,burnley
2014-08-18,Premier League,Mon,Away,W,3,1,Burnley,61.0,chelsea
2014-08-23,Premier League,Sat,Home,W,2,0,Leicester City,63.0,chelsea
2014-08-30,Premier League,Sat,Away,W,6,3,Everton,39.0,chelsea
2014-09-13,Premier League,Sat,Home,W,4,2,Swansea City,55.0,chelsea
2014-09-17,Champions Lg,Wed,Home,D,1,1,de Schalke 04,50.0,chelsea
2014-09-21,Premier League,Sun,Away,D,1,1,Manchester City,42.0,chelsea
2014-09-24,League Cup,Wed,Home,W,2,1,Bolton,,chelsea
2014-09-27,Premier League,Sat,Home,W,3,0,Aston Villa,63.0,chelsea
2014-09-30,Champions Lg,Tue,Away,W,1,0,pt Sporting CP,53.0,chelsea
2014-10-05,Premier League,Sun,Home,W,2,0,Arsenal,47.0,chelsea
2014-10-18,Premier League,Sat,Away,W,2,1,Crystal Palace,72.0,chelsea
2014-10-21,Champions Lg,Tue,Home,W,6,0,si NK Maribor,58.0,chelsea
2014-10-26,Premier League,Sun,Away,D,1,1,Manchester Utd,48.0,chelsea
2014-10-28,League Cup,Tue,Away,W,2,1,Shrewsbury,,chelsea
2014-11-01,Premier League,Sat,Home,W,2,1,QPR,65.0,chelsea
2014-11-05,Champions Lg,Wed,Away,D,1,1,si NK Maribor,59.0,chelsea
2014-11-08,Premier League,Sat,Away,W,2,1,Liverpool,42.0,chelsea
2014-11-22,Premier League,Sat,Home,W,2,0,West Brom,74.0,chelsea
2014-11-25,Champions Lg,Tue,Away,W,5,0,de Schalke 04,58.0,chelsea
2014-11-29,Premier League,Sat,Away,D,0,0,Sunderland,66.0,chelsea
2014-12-03,Premier League,Wed,Home,W,3,0,Tottenham,39.0,chelsea
2014-12-06,Premier League,Sat,Away,L,1,2,Newcastle Utd,67.0,chelsea
2014-12-10,Champions Lg,Wed,Home,W,3,1,pt Sporting CP,55.0,chelsea
2014-12-13,Premier League,Sat,Home,W,2,0,Hull City,60.0,chelsea
2014-12-16,League Cup,Tue,Away,W,3,1,Derby County,,chelsea
2014-12-22,Premier League,Mon,Away,W,2,0,Stoke City,49.0,chelsea
2014-12-26,Premier League,Fri,Home,W,2,0,West Ham,65.0,chelsea
2014-12-28,Premier League,Sun,Away,D,1,1,Southampton,61.0,chelsea
2015-01-01,Premier League,Thu,Away,L,3,5,Tottenham,54.0,chelsea
2015-01-04,FA Cup,Sun,Home,W,3,0,Watford,,chelsea
2015-01-10,Premier League,Sat,Home,W,2,0,Newcastle Utd,63.0,chelsea
2015-01-17,Premier League,Sat,Away,W,5,0,Swansea City,55.0,chelsea
2015-01-20,League Cup,Tue,Away,D,1,1,Liverpool,,chelsea
2015-01-24,FA Cup,Sat,Home,L,2,4,Bradford City,,chelsea
2015-01-27,League Cup,Tue,Home,W,1,0,Liverpool,,chelsea
2015-01-31,Premier League,Sat,Home,D,1,1,Manchester City,43.0,chelsea
2015-02-07,Premier League,Sat,Away,W,2,1,Aston Villa,49.0,chelsea
2015-02-11,Premier League,Wed,Home,W,1,0,Everton,56.0,chelsea
2015-02-17,Champions Lg,Tue,Away,D,1,1,fr Paris S-G,46.0,chelsea
2015-02-21,Premier League,Sat,Home,D,1,1,Burnley,61.0,chelsea
2015-03-01,League Cup,Sun,Home,W,2,0,Tottenham,,chelsea
2015-03-04,Premier League,Wed,Away,W,1,0,West Ham,55.0,chelsea
2015-03-11,Champions Lg,Wed,Home,D,2,2,fr Paris S-G,51.0,chelsea
2015-03-15,Premier League,Sun,Home,D,1,1,Southampton,61.0,chelsea
2015-03-22,Premier League,Sun,Away,W,3,2,Hull City,57.0,chelsea
2015-04-04,Premier League,Sat,Home,W,2,1,Stoke City,61.0,chelsea
