Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team,Match Number
2014-01-01,Premier League,Wed,Home,W,2,0,Cardiff City,,arsenal,20.0
2014-01-13,Premier League,Mon,Away,W,2,1,Aston Villa,,arsenal,21.0
2014-01-18,Premier League,Sat,Home,W,2,0,Fulham,,arsenal,22.0
2014-01-28,Premier League,Tue,Away,D,2,2,Southampton,,arsenal,23.0
2014-02-02,Premier League,Sun,Home,W,2,0,Crystal Palace,,arsenal,24.0
2014-02-08,Premier League,Sat,Away,L,1,5,Liverpool,,arsenal,25.0
2014-02-12,Premier League,Wed,Home,D,0,0,Manchester Utd,,arsenal,26.0
2014-02-19,Champions Lg,Wed,Home,L,0,2,de Bayern Munich,,arsenal,
2014-02-22,Premier League,Sat,Home,W,4,1,Sunderland,,arsenal,27.0
2014-03-01,Premier League,Sat,Away,L,0,1,Stoke City,,arsenal,28.0
2014-03-11,Champions Lg,Tue,Away,D,1,1,de Bayern Munich,,arsenal,
2014-03-16,Premier League,Sun,Away,W,1,0,Tottenham,,arsenal,29.0
2014-03-22,Premier League,Sat,Away,L,0,6,Chelsea,,arsenal,30.0
2014-03-25,Premier League,Tue,Home,D,2,2,Swansea City,,arsenal,31.0
2014-03-29,Premier League,Sat,Home,D,1,1,Manchester City,,arsenal,32.0
2014-04-06,Premier League,Sun,Away,L,0,3,Everton,,arsenal,33.0
2014-04-15,Premier League,Tue,Home,W,3,1,West Ham,,arsenal,34.0
2014-04-20,Premier League,Sun,Away,W,3,0,Hull City,,arsenal,35.0
2014-04-28,Premier League,Mon,Home,W,3,0,Newcastle Utd,,arsenal,36.0
2014-05-04,Premier League,Sun,Home,W,1,0,West Brom,,arsenal,37.0
2014-05-11,Premier League,Sun,Away,W,2,0,Norwich City,,arsenal,38.0
2013-08-17,Premier League,Sat,Away,W,3,1,Arsenal,,aston-villa,1.0
2013-08-21,Premier League,Wed,Away,L,1,2,Chelsea,,aston-villa,2.0
2013-08-24,Premier League,Sat,Home,L,0,1,Liverpool,,aston-villa,3.0
2013-09-14,Premier League,Sat,Home,L,1,2,Newcastle Utd,,aston-villa,4.0
2013-09-21,Premier League,Sat,Away,W,1,0,Norwich City,,aston-villa,5.0
2013-09-28,Premier League,Sat,Home,W,3,2,Manchester City,,aston-villa,6.0
2013-10-05,Premier League,Sat,Away,D,0,0,Hull City,,aston-villa,7.0
2013-10-20,Premier League,Sun,Home,L,0,2,Tottenham,,aston-villa,8.0
2013-10-26,Premier League,Sat,Home,L,0,2,Everton,,aston-villa,9.0
2013-11-02,Premier League,Sat,Away,D,0,0,West Ham,,aston-villa,10.0
2013-11-09,Premier League,Sat,Home,W,2,0,Cardiff City,,aston-villa,11.0
2013-11-25,Premier League,Mon,Away,D,2,2,West Brom,,aston-villa,12.0
2013-11-30,Premier League,Sat,Home,D,0,0,Sunderland,,aston-villa,13.0
2013-12-04,Premier League,Wed,Away,W,3,2,Southampton,,aston-villa,14.0
2013-12-08,Premier League,Sun,Away,L,0,2,Fulham,,aston-villa,15.0
2013-12-15,Premier League,Sun,Home,L,0,3,Manchester Utd,,aston-villa,16.0
2013-12-21,Premier League,Sat,Away,L,1,2,Stoke City,,aston-villa,17.0
2013-12-26,Premier League,Thu,Home,L,0,1,Crystal Palace,,aston-villa,18.0
2013-12-28,Premier League,Sat,Home,D,1,1,Swansea City,,aston-villa,19.0
2014-01-01,Premier League,Wed,Away,W,1,0,Sunderland,,aston-villa,20.0
2014-01-13,Premier League,Mon,Home,L,1,2,Arsenal,,aston-villa,21.0
2014-01-18,Premier League,Sat,Away,D,2,2,Liverpool,,aston-villa,22.0
2014-01-29,Premier League,Wed,Home,W,4,3,West Brom,,aston-villa,23.0
2014-02-01,Premier League,Sat,Away,L,1,2,Everton,,aston-villa,24.0
2014-02-08,Premier League,Sat,Home,L,0,2,West Ham,,aston-villa,25.0
2014-02-11,Premier League,Tue,Away,D,0,0,Cardiff City,,aston-villa,26.0
2014-02-23,Premier League,Sun,Away,L,0,1,Newcastle Utd,,aston-villa,27.0
2014-03-02,Premier League,Sun,Home,W,4,1,Norwich City,,aston-villa,28.0
2014-03-15,Premier League,Sat,Home,W,1,0,Chelsea,,aston-villa,29.0
2014-03-23,Premier League,Sun,Home,L,1,4,Stoke City,,aston-villa,30.0
2014-03-29,Premier League,Sat,Away,L,1,4,Manchester Utd,,aston-villa,31.0
2014-04-05,Premier League,Sat,Home,L,1,2,Fulham,,aston-villa,32.0
2014-04-12,Premier League,Sat,Away,L,0,1,Crystal Palace,,aston-villa,33.0
2014-04-19,Premier League,Sat,Home,D,0,0,Southampton,,aston-villa,34.0
2014-04-26,Premier League,Sat,Away,L,1,4,Swansea City,,aston-villa,35.0
2014-05-03,Premier League,Sat,Home,W,3,1,Hull City,,aston-villa,36.0
2014-05-07,Premier League,Wed,Away,L,0,4,Manchester City,,aston-villa,37.0
2014-05-11,Premier League,Sun,Away,L,0,3,Tottenham,,aston-villa,38.0
2013-08-17,Premier League,Sat,Away,L,0,2,West Ham,,cardiff,1.0
2013-08-25,Premier League,Sun,Home,W,3,2,Manchester City,,cardiff,2.0
2013-08-31,Premier League,Sat,Home,D,0,0,Everton,,cardiff,3.0
2013-09-14,Premier League,Sat,Away,D,1,1,Hull City,,cardiff,4.0
2013-09-22,Premier League,Sun,Home,L,0,1,Tottenham,,cardiff,5.0
2013-09-28,Premier League,Sat,Away,W,2,1,Fulham,,cardiff,6.0
2013-10-05,Premier League,Sat,Home,L,1,2,Newcastle Utd,,cardiff,7.0
2013-10-19,Premier League,Sat,Away,L,1,4,Chelsea,,cardiff,8.0
2013-10-26,Premier League,Sat,Away,D,0,0,Norwich City,,cardiff,9.0
2013-11-03,Premier League,Sun,Home,W,1,0,Swansea City,,cardiff,10.0
2013-11-09,Premier League,Sat,Away,L,0,2,Aston Villa,,cardiff,11.0
2013-11-24,Premier League,Sun,Home,D,2,2,Manchester Utd,,cardiff,12.0
2013-11-30,Premier League,Sat,Home,L,0,3,Arsenal,,cardiff,13.0
2013-12-04,Premier League,Wed,Away,D,0,0,Stoke City,,cardiff,14.0
2013-12-07,Premier League,Sat,Away,L,0,2,Crystal Palace,,cardiff,15.0
2013-12-14,Premier League,Sat,Home,W,1,0,West Brom,,cardiff,16.0
2013-12-21,Premier League,Sat,Away,L,1,3,Liverpool,,cardiff,17.0
2013-12-26,Premier League,Thu,Home,L,0,3,Southampton,,cardiff,18.0
2013-12-28,Premier League,Sat,Home,D,2,2,Sunderland,,cardiff,19.0
2014-01-01,Premier League,Wed,Away,L,0,2,Arsenal,,cardiff,20.0
2014-01-11,Premier League,Sat,Home,L,0,2,West Ham,,cardiff,21.0
2014-01-18,Premier League,Sat,Away,L,2,4,Manchester City,,cardiff,22.0
2014-01-28,Premier League,Tue,Away,L,0,2,Manchester Utd,,cardiff,23.0
2014-02-01,Premier League,Sat,Home,W,2,1,Norwich City,,cardiff,24.0
2014-02-08,Premier League,Sat,Away,L,0,3,Swansea City,,cardiff,25.0
2014-02-11,Premier League,Tue,Home,D,0,0,Aston Villa,,cardiff,26.0
2014-02-22,Premier League,Sat,Home,L,0,4,Hull City,,cardiff,27.0
2014-03-02,Premier League,Sun,Away,L,0,1,Tottenham,,cardiff,28.0
2014-03-08,Premier League,Sat,Home,W,3,1,Fulham,,cardiff,29.0
2014-03-15,Premier League,Sat,Away,L,1,2,Everton,,cardiff,30.0
2014-03-22,Premier League,Sat,Home,L,3,6,Liverpool,,cardiff,31.0
2014-03-29,Premier League,Sat,Away,D,3,3,West Brom,,cardiff,32.0
2014-04-05,Premier League,Sat,Home,L,0,3,Crystal Palace,,cardiff,33.0
2014-04-12,Premier League,Sat,Away,W,1,0,Southampton,,cardiff,34.0
2014-04-19,Premier League,Sat,Home,D,1,1,Stoke City,,cardiff,35.0
2014-04-27,Premier League,Sun,Away,L,0,4,Sunderland,,cardiff,36.0
2014-05-03,Premier League,Sat,Away,L,0,3,Newcastle Utd,,cardiff,37.0
2014-05-11,Premier League,Sun,Home,L,1,2,Chelsea,,cardiff,38.0
2013-08-18,Premier League,Sun,Home,W,2,0,Hull City,,chelsea,1.0
2013-08-21,Premier League,Wed,Home,W,2,1,Aston Villa,,chelsea,2.0
2013-08-26,Premier League,Mon,Away,D,0,0,Manchester Utd,,chelsea,3.0
2013-09-14,Premier League,Sat,Away,L,0,1,Everton,,chelsea,4.0
2013-09-18,Champions Lg,Wed,Home,L,1,2,ch Basel,,chelsea,
2013-09-21,Premier League,Sat,Home,W,2,0,Fulham,,chelsea,5.0
2013-09-28,Premier League,Sat,Away,D,1,1,Tottenham,,chelsea,6.0
2013-10-01,Champions Lg,Tue,Away,W,4,0,ro Steaua,,chelsea,
2013-10-06,Premier League,Sun,Away,W,3,1,Norwich City,,chelsea,7.0
2013-10-19,Premier League,Sat,Home,W,4,1,Cardiff City,,chelsea,8.0
2013-10-22,Champions Lg,Tue,Away,W,3,0,de Schalke 04,,chelsea,
2013-10-27,Premier League,Sun,Home,W,2,1,Manchester City,,chelsea,9.0
2013-11-02,Premier League,Sat,Away,L,0,2,Newcastle Utd,,chelsea,10.0
2013-11-06,Champions Lg,Wed,Home,W,3,0,de Schalke 04,,chelsea,
2013-11-09,Premier League,Sat,Home,D,2,2,West Brom,,chelsea,11.0
2013-11-23,Premier League,Sat,Away,W,3,0,West Ham,,chelsea,12.0
2013-11-26,Champions Lg,Tue,Away,L,0,1,ch Basel,,chelsea,
2013-12-01,Premier League,Sun,Home,W,3,1,Southampton,,chelsea,13.0
2013-12-04,Premier League,Wed,Away,W,4,3,Sunderland,,chelsea,14.0
2013-12-07,Premier League,Sat,Away,L,2,3,Stoke City,,chelsea,15.0
2013-12-11,Champions Lg,Wed,Home,W,1,0,ro Steaua,,chelsea,
2013-12-14,Premier League,Sat,Home,W,2,1,Crystal Palace,,chelsea,16.0
2013-12-23,Premier League,Mon,Away,D,0,0,Arsenal,,chelsea,17.0
2013-12-26,Premier League,Thu,Home,W,1,0,Swansea City,,chelsea,18.0
2013-12-29,Premier League,Sun,Home,W,2,1,Liverpool,,chelsea,19.0
2014-01-01,Premier League,Wed,Away,W,3,0,Southampton,,chelsea,20.0
2014-01-11,Premier League,Sat,Away,W,2,0,Hull City,,chelsea,21.0
2014-01-19,Premier League,Sun,Home,W,3,1,Manchester Utd,,chelsea,22.0
2014-01-29,Premier League,Wed,Home,D,0,0,West Ham,,chelsea,23.0
2014-02-03,Premier League,Mon,Away,W,1,0,Manchester City,,chelsea,24.0
2014-02-08,Premier League,Sat,Home,W,3,0,Newcastle Utd,,chelsea,25.0
2014-02-11,Premier League,Tue,Away,D,1,1,West Brom,,chelsea,26.0
2014-02-22,Premier League,Sat,Home,W,1,0,Everton,,chelsea,27.0
2014-02-26,Champions Lg,Wed,Away,D,1,1,tr Galatasaray,,chelsea,
2014-03-01,Premier League,Sat,Away,W,3,1,Fulham,,chelsea,28.0
2014-03-08,Premier League,Sat,Home,W,4,0,Tottenham,,chelsea,29.0
2014-03-15,Premier League,Sat,Away,L,0,1,Aston Villa,,chelsea,30.0
2014-03-18,Champions Lg,Tue,Home,W,2,0,tr Galatasaray,,chelsea,
2014-03-22,Premier League,Sat,Home,W,6,0,Arsenal,,chelsea,31.0
2014-03-29,Premier League,Sat,Away,L,0,1,Crystal Palace,,chelsea,32.0
2014-04-02,Champions Lg,Wed,Away,L,1,3,fr Paris S-G,,chelsea,
2014-04-05,Premier League,Sat,Home,W,3,0,Stoke City,,chelsea,33.0
2014-04-08,Champions Lg,Tue,Home,W,2,0,fr Paris S-G,,chelsea,
2014-04-13,Premier League,Sun,Away,W,1,0,Swansea City,,chelsea,34.0
2014-04-19,Premier League,Sat,Home,L,1,2,Sunderland,,chelsea,35.0
2014-04-22,Champions Lg,Tue,Away,D,0,0,es Atlético Madrid,,chelsea,
2014-04-27,Premier League,Sun,Away,W,2,0,Liverpool,,chelsea,36.0
2014-04-30,Champions Lg,Wed,Home,L,1,3,es Atlético Madrid,,chelsea,
2014-05-04,Premier League,Sun,Home,D,0,0,Norwich City,,chelsea,37.0
2014-05-11,Premier League,Sun,Away,W,2,1,Cardiff City,,chelsea,38.0
2013-08-19,Premier League,Mon,Home,W,4,0,Newcastle Utd,,city,1.0
2013-08-25,Premier League,Sun,Away,L,2,3,Cardiff City,,city,2.0
2013-08-31,Premier League,Sat,Home,W,2,0,Hull City,,city,3.0
2013-09-14,Premier League,Sat,Away,D,0,0,Stoke City,,city,4.0
2013-09-17,Champions Lg,Tue,Away,W,3,0,cz Viktoria Plzeň,,city,
2013-09-22,Premier League,Sun,Home,W,4,1,Manchester Utd,,city,5.0
2013-09-28,Premier League,Sat,Away,L,2,3,Aston Villa,,city,6.0
2013-10-02,Champions Lg,Wed,Home,L,1,3,de Bayern Munich,,city,
2013-10-05,Premier League,Sat,Home,W,3,1,Everton,,city,7.0
2013-10-19,Premier League,Sat,Away,W,3,1,West Ham,,city,8.0
2013-10-23,Champions Lg,Wed,Away,W,2,1,ru CSKA Moscow,,city,
2013-10-27,Premier League,Sun,Away,L,1,2,Chelsea,,city,9.0
2013-11-02,Premier League,Sat,Home,W,7,0,Norwich City,,city,10.0
2013-11-05,Champions Lg,Tue,Home,W,5,2,ru CSKA Moscow,,city,
2013-11-10,Premier League,Sun,Away,L,0,1,Sunderland,,city,11.0
2013-11-24,Premier League,Sun,Home,W,6,0,Tottenham,,city,12.0
2013-11-27,Champions Lg,Wed,Home,W,4,2,cz Viktoria Plzeň,,city,
2013-12-01,Premier League,Sun,Home,W,3,0,Swansea City,,city,13.0
2013-12-04,Premier League,Wed,Away,W,3,2,West Brom,,city,14.0
2013-12-07,Premier League,Sat,Away,D,1,1,Southampton,,city,15.0
2013-12-10,Champions Lg,Tue,Away,W,3,2,de Bayern Munich,,city,
2013-12-14,Premier League,Sat,Home,W,6,3,Arsenal,,city,16.0
2013-12-21,Premier League,Sat,Away,W,4,2,Fulham,,city,17.0
2013-12-26,Premier League,Thu,Home,W,2,1,Liverpool,,city,18.0
2013-12-28,Premier League,Sat,Home,W,1,0,Crystal Palace,,city,19.0
2014-01-01,Premier League,Wed,Away,W,3,2,Swansea City,,city,20.0
2014-01-12,Premier League,Sun,Away,W,2,0,Newcastle Utd,,city,21.0
2014-01-18,Premier League,Sat,Home,W,4,2,Cardiff City,,city,22.0
2014-01-29,Premier League,Wed,Away,W,5,1,Tottenham,,city,23.0
2014-02-03,Premier League,Mon,Home,L,0,1,Chelsea,,city,24.0
2014-02-08,Premier League,Sat,Away,D,0,0,Norwich City,,city,25.0
2014-02-18,Champions Lg,Tue,Home,L,0,2,es Barcelona,,city,
2014-02-22,Premier League,Sat,Home,W,1,0,Stoke City,,city,26.0
2014-03-12,Champions Lg,Wed,Away,L,1,2,es Barcelona,,city,
2014-03-15,Premier League,Sat,Away,W,2,0,Hull City,,city,27.0
2014-03-22,Premier League,Sat,Home,W,5,0,Fulham,,city,28.0
2014-03-25,Premier League,Tue,Away,W,3,0,Manchester Utd,,city,29.0
2014-03-29,Premier League,Sat,Away,D,1,1,Arsenal,,city,30.0
2014-04-05,Premier League,Sat,Home,W,4,1,Southampton,,city,31.0
2014-04-13,Premier League,Sun,Away,L,2,3,Liverpool,,city,32.0
2014-04-16,Premier League,Wed,Home,D,2,2,Sunderland,,city,33.0
2014-04-21,Premier League,Mon,Home,W,3,1,West Brom,,city,34.0
2014-04-27,Premier League,Sun,Away,W,2,0,Crystal Palace,,city,35.0
2014-05-03,Premier League,Sat,Away,W,3,2,Everton,,city,36.0
2014-05-07,Premier League,Wed,Home,W,4,0,Aston Villa,,city,37.0
2014-05-11,Premier League,Sun,Home,W,2,0,West Ham,,city,38.0
2013-08-17,Premier League,Sat,Away,D,2,2,Norwich City,,everton,1.0
2013-08-24,Premier League,Sat,Home,D,0,0,West Brom,,everton,2.0
2013-08-31,Premier League,Sat,Away,D,0,0,Cardiff City,,everton,3.0
2013-09-14,Premier League,Sat,Home,W,1,0,Chelsea,,everton,4.0
2013-09-21,Premier League,Sat,Away,W,3,2,West Ham,,everton,5.0
2013-09-30,Premier League,Mon,Home,W,3,2,Newcastle Utd,,everton,6.0
2013-10-05,Premier League,Sat,Away,L,1,3,Manchester City,,everton,7.0
2013-10-19,Premier League,Sat,Home,W,2,1,Hull City,,everton,8.0
2013-10-26,Premier League,Sat,Away,W,2,0,Aston Villa,,everton,9.0
2013-11-03,Premier League,Sun,Home,D,0,0,Tottenham,,everton,10.0
2013-11-09,Premier League,Sat,Away,D,0,0,Crystal Palace,,everton,11.0
2013-11-23,Premier League,Sat,Home,D,3,3,Liverpool,,everton,12.0
2013-11-30,Premier League,Sat,Home,W,4,0,Stoke City,,everton,13.0
2013-12-04,Premier League,Wed,Away,W,1,0,Manchester Utd,,everton,14.0
2013-12-08,Premier League,Sun,Away,D,1,1,Arsenal,,everton,15.0
2013-12-14,Premier League,Sat,Home,W,4,1,Fulham,,everton,16.0
2013-12-22,Premier League,Sun,Away,W,2,1,Swansea City,,everton,17.0
2013-12-26,Premier League,Thu,Home,L,0,1,Sunderland,,everton,18.0
2013-12-29,Premier League,Sun,Home,W,2,1,Southampton,,everton,19.0
2014-01-01,Premier League,Wed,Away,D,1,1,Stoke City,,everton,20.0
2014-01-11,Premier League,Sat,Home,W,2,0,Norwich City,,everton,21.0
2014-01-20,Premier League,Mon,Away,D,1,1,West Brom,,everton,22.0
2014-01-28,Premier League,Tue,Away,L,0,4,Liverpool,,everton,23.0
2014-02-01,Premier League,Sat,Home,W,2,1,Aston Villa,,everton,24.0
2014-02-09,Premier League,Sun,Away,L,0,1,Tottenham,,everton,25.0
2014-02-22,Premier League,Sat,Away,L,0,1,Chelsea,,everton,26.0
2014-03-01,Premier League,Sat,Home,W,1,0,West Ham,,everton,27.0
2014-03-15,Premier League,Sat,Home,W,2,1,Cardiff City,,everton,28.0
2014-03-22,Premier League,Sat,Home,W,3,2,Swansea City,,everton,29.0
2014-03-25,Premier League,Tue,Away,W,3,0,Newcastle Utd,,everton,30.0
2014-03-30,Premier League,Sun,Away,W,3,1,Fulham,,everton,31.0
2014-04-06,Premier League,Sun,Home,W,3,0,Arsenal,,everton,32.0
2014-04-12,Premier League,Sat,Away,W,1,0,Sunderland,,everton,33.0
2014-04-16,Premier League,Wed,Home,L,2,3,Crystal Palace,,everton,34.0
2014-04-20,Premier League,Sun,Home,W,2,0,Manchester Utd,,everton,35.0
2014-04-26,Premier League,Sat,Away,L,0,2,Southampton,,everton,36.0
2014-05-03,Premier League,Sat,Home,L,2,3,Manchester City,,everton,37.0
2014-05-11,Premier League,Sun,Away,W,2,0,Hull City,,everton,38.0
2013-08-17,Premier League,Sat,Away,W,1,0,Sunderland,,fulham,1.0
2013-08-24,Premier League,Sat,Home,L,1,3,Arsenal,,fulham,2.0
2013-08-31,Premier League,Sat,Away,L,0,1,Newcastle Utd,,fulham,3.0
2013-09-14,Premier League,Sat,Home,D,1,1,West Brom,,fulham,4.0
2013-09-21,Premier League,Sat,Away,L,0,2,Chelsea,,fulham,5.0
2013-09-28,Premier League,Sat,Home,L,1,2,Cardiff City,,fulham,6.0
2013-10-05,Premier League,Sat,Home,W,1,0,Stoke City,,fulham,7.0
2013-10-21,Premier League,Mon,Away,W,4,1,Crystal Palace,,fulham,8.0
2013-10-26,Premier League,Sat,Away,L,0,2,Southampton,,fulham,9.0
2013-11-02,Premier League,Sat,Home,L,1,3,Manchester Utd,,fulham,10.0
2013-11-09,Premier League,Sat,Away,L,0,4,Liverpool,,fulham,11.0
2013-11-23,Premier League,Sat,Home,L,1,2,Swansea City,,fulham,12.0
2013-11-30,Premier League,Sat,Away,L,0,3,West Ham,,fulham,13.0
2013-12-04,Premier League,Wed,Home,L,1,2,Tottenham,,fulham,14.0
2013-12-08,Premier League,Sun,Home,W,2,0,Aston Villa,,fulham,15.0
2013-12-14,Premier League,Sat,Away,L,1,4,Everton,,fulham,16.0
2013-12-21,Premier League,Sat,Home,L,2,4,Manchester City,,fulham,17.0
2013-12-26,Premier League,Thu,Away,W,2,1,Norwich City,,fulham,18.0
2013-12-28,Premier League,Sat,Away,L,0,6,Hull City,,fulham,19.0
2014-01-01,Premier League,Wed,Home,W,2,1,West Ham,,fulham,20.0
2014-01-11,Premier League,Sat,Home,L,1,4,Sunderland,,fulham,21.0
2014-01-18,Premier League,Sat,Away,L,0,2,Arsenal,,fulham,22.0
2014-01-28,Premier League,Tue,Away,L,0,2,Swansea City,,fulham,23.0
2014-02-01,Premier League,Sat,Home,L,0,3,Southampton,,fulham,24.0
2014-02-09,Premier League,Sun,Away,D,2,2,Manchester Utd,,fulham,25.0
2014-02-12,Premier League,Wed,Home,L,2,3,Liverpool,,fulham,26.0
2014-02-22,Premier League,Sat,Away,D,1,1,West Brom,,fulham,27.0
2014-03-01,Premier League,Sat,Home,L,1,3,Chelsea,,fulham,28.0
2014-03-08,Premier League,Sat,Away,L,1,3,Cardiff City,,fulham,29.0
2014-03-15,Premier League,Sat,Home,W,1,0,Newcastle Utd,,fulham,30.0
2014-03-22,Premier League,Sat,Away,L,0,5,Manchester City,,fulham,31.0
2014-03-30,Premier League,Sun,Home,L,1,3,Everton,,fulham,32.0
2014-04-05,Premier League,Sat,Away,W,2,1,Aston Villa,,fulham,33.0
2014-04-12,Premier League,Sat,Home,W,1,0,Norwich City,,fulham,34.0
2014-04-19,Premier League,Sat,Away,L,1,3,Tottenham,,fulham,35.0
2014-04-26,Premier League,Sat,Home,D,2,2,Hull City,,fulham,36.0
2014-05-03,Premier League,Sat,Away,L,1,4,Stoke City,,fulham,37.0
2014-05-11,Premier League,Sun,Home,D,2,2,Crystal Palace,,fulham,38.0
2013-08-18,Premier League,Sun,Away,L,0,2,Chelsea,,hull,1.0
2013-08-24,Premier League,Sat,Home,W,1,0,Norwich City,,hull,2.0
2013-08-31,Premier League,Sat,Away,L,0,2,Manchester City,,hull,3.0
2013-09-14,Premier League,Sat,Home,D,1,1,Cardiff City,,hull,4.0
2013-09-21,Premier League,Sat,Away,W,3,2,Newcastle Utd,,hull,5.0
2013-09-28,Premier League,Sat,Home,W,1,0,West Ham,,hull,6.0
2013-10-05,Premier League,Sat,Home,D,0,0,Aston Villa,,hull,7.0
2013-10-19,Premier League,Sat,Away,L,1,2,Everton,,hull,8.0
2013-10-27,Premier League,Sun,Away,L,0,1,Tottenham,,hull,9.0
2013-11-02,Premier League,Sat,Home,W,1,0,Sunderland,,hull,10.0
2013-11-09,Premier League,Sat,Away,L,1,4,Southampton,,hull,11.0
2013-11-23,Premier League,Sat,Home,L,0,1,Crystal Palace,,hull,12.0
2013-12-01,Premier League,Sun,Home,W,3,1,Liverpool,,hull,13.0
2013-12-04,Premier League,Wed,Away,L,0,2,Arsenal,,hull,14.0
2013-12-09,Premier League,Mon,Away,D,1,1,Swansea City,,hull,15.0
2013-12-14,Premier League,Sat,Home,D,0,0,Stoke City,,hull,16.0
2013-12-21,Premier League,Sat,Away,D,1,1,West Brom,,hull,17.0
2013-12-26,Premier League,Thu,Home,L,2,3,Manchester Utd,,hull,18.0
2013-12-28,Premier League,Sat,Home,W,6,0,Fulham,,hull,19.0
2014-01-01,Premier League,Wed,Away,L,0,2,Liverpool,,hull,20.0
2014-01-11,Premier League,Sat,Home,L,0,2,Chelsea,,hull,21.0
2014-01-18,Premier League,Sat,Away,L,0,1,Norwich City,,hull,22.0
2014-01-28,Premier League,Tue,Away,L,0,1,Crystal Palace,,hull,23.0
2014-02-01,Premier League,Sat,Home,D,1,1,Tottenham,,hull,24.0
2014-02-08,Premier League,Sat,Away,W,2,0,Sunderland,,hull,25.0
2014-02-11,Premier League,Tue,Home,L,0,1,Southampton,,hull,26.0
2014-02-22,Premier League,Sat,Away,W,4,0,Cardiff City,,hull,27.0
2014-03-01,Premier League,Sat,Home,L,1,4,Newcastle Utd,,hull,28.0
2014-03-15,Premier League,Sat,Home,L,0,2,Manchester City,,hull,29.0
2014-03-22,Premier League,Sat,Home,W,2,0,West Brom,,hull,30.0
2014-03-26,Premier League,Wed,Away,L,1,2,West Ham,,hull,31.0
2014-03-29,Premier League,Sat,Away,L,0,1,Stoke City,,hull,32.0
2014-04-05,Premier League,Sat,Home,W,1,0,Swansea City,,hull,33.0
2014-04-20,Premier League,Sun,Home,L,0,3,Arsenal,,hull,34.0
2014-04-26,Premier League,Sat,Away,D,2,2,Fulham,,hull,35.0
2014-05-03,Premier League,Sat,Away,L,1,3,Aston Villa,,hull,36.0
2014-05-06,Premier League,Tue,Away,L,1,3,Manchester Utd,,hull,37.0
2014-05-11,Premier League,Sun,Home,L,0,2,Everton,,hull,38.0
2013-08-17,Premier League,Sat,Home,W,1,0,Stoke City,,liverpool,1.0
2013-08-24,Premier League,Sat,Away,W,1,0,Aston Villa,,liverpool,2.0
2013-09-01,Premier League,Sun,Home,W,1,0,Manchester Utd,,liverpool,3.0
2013-09-16,Premier League,Mon,Away,D,2,2,Swansea City,,liverpool,4.0
2013-09-21,Premier League,Sat,Home,L,0,1,Southampton,,liverpool,5.0
2013-09-29,Premier League,Sun,Away,W,3,1,Sunderland,,liverpool,6.0
2013-10-05,Premier League,Sat,Home,W,3,1,Crystal Palace,,liverpool,7.0
2013-10-19,Premier League,Sat,Away,D,2,2,Newcastle Utd,,liverpool,8.0
2013-10-26,Premier League,Sat,Home,W,4,1,West Brom,,liverpool,9.0
2013-11-02,Premier League,Sat,Away,L,0,2,Arsenal,,liverpool,10.0
