Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,team
2012-08-18,Premier League,Matchweek 1,Sat,Away,L,1,2,Newcastle Utd,,tottenham
2012-08-25,Premier League,Matchweek 2,Sat,Home,D,1,1,West Brom,,tottenham
2012-09-01,Premier League,Matchweek 3,Sat,Home,D,1,1,Norwich City,,tottenham
2012-09-16,Premier League,Matchweek 4,Sun,Away,W,3,1,Reading,,tottenham
2012-09-20,Europa Lg,Group stage,Thu,Home,D,0,0,it Lazio,,tottenham
2012-09-23,Premier League,Matchweek 5,Sun,Home,W,2,1,QPR,,tottenham
2012-09-29,Premier League,Matchweek 6,Sat,Away,W,3,2,Manchester Utd,,tottenham
2012-10-04,Europa Lg,Group stage,Thu,Away,D,1,1,gr Panathinaikos,,tottenham
2012-10-07,Premier League,Matchweek 7,Sun,Home,W,2,0,Aston Villa,,tottenham
2012-10-20,Premier League,Matchweek 8,Sat,Home,L,2,4,Chelsea,,tottenham
2012-10-25,Europa Lg,Group stage,Thu,Away,D,1,1,si NK Maribor,,tottenham
2012-10-28,Premier League,Matchweek 9,Sun,Away,W,2,1,Southampton,,tottenham
2012-11-03,Premier League,Matchweek 10,Sat,Home,L,0,1,Wigan Athletic,,tottenham
2012-11-08,Europa Lg,Group stage,Thu,Home,W,3,1,si NK Maribor,,tottenham
2012-11-11,Premier League,Matchweek 11,Sun,Away,L,1,2,Manchester City,,tottenham
2012-11-17,Premier League,Matchweek 12,Sat,Away,L,2,5,Arsenal,,tottenham
2012-11-22,Europa Lg,Group stage,Thu,Away,D,0,0,it Lazio,,tottenham
2012-11-25,Premier League,Matchweek 13,Sun,Home,W,3,1,West Ham,,tottenham
2012-11-28,Premier League,Matchweek 14,Wed,Home,W,2,1,Liverpool,,tottenham
2012-12-01,Premier League,Matchweek 15,Sat,Away,W,3,0,Fulham,,tottenham
2012-12-06,Europa Lg,Group stage,Thu,Home,W,3,1,gr Panathinaikos,,tottenham
2012-12-09,Premier League,Matchweek 16,Sun,Away,L,1,2,Everton,,tottenham
2012-12-16,Premier League,Matchweek 17,Sun,Home,W,1,0,Swansea City,,tottenham
2012-12-22,Premier League,Matchweek 18,Sat,Home,D,0,0,Stoke City,,tottenham
2012-12-26,Premier League,Matchweek 19,Wed,Away,W,4,0,Aston Villa,,tottenham
2012-12-29,Premier League,Matchweek 20,Sat,Away,W,2,1,Sunderland,,tottenham
2013-01-01,Premier League,Matchweek 21,Tue,Home,W,3,1,Reading,,tottenham
2013-01-12,Premier League,Matchweek 22,Sat,Away,D,0,0,QPR,,tottenham
2013-01-20,Premier League,Matchweek 23,Sun,Home,D,1,1,Manchester Utd,,tottenham
2013-01-30,Premier League,Matchweek 24,Wed,Away,D,1,1,Norwich City,,tottenham
2013-02-03,Premier League,Matchweek 25,Sun,Away,W,1,0,West Brom,,tottenham
2013-02-09,Premier League,Matchweek 26,Sat,Home,W,2,1,Newcastle Utd,,tottenham
2013-02-14,Europa Lg,Round of 32,Thu,Home,W,2,1,fr Lyon,,tottenham
2013-02-21,Europa Lg,Round of 32,Thu,Away,D,1,1,fr Lyon,,tottenham
2013-02-25,Premier League,Matchweek 27,Mon,Away,W,3,2,West Ham,,tottenham
2013-03-03,Premier League,Matchweek 28,Sun,Home,W,2,1,Arsenal,,tottenham
2013-03-07,Europa Lg,Round of 16,Thu,Home,W,3,0,it Inter,,tottenham
2013-03-10,Premier League,Matchweek 29,Sun,Away,L,2,3,Liverpool,,tottenham
2013-03-14,Europa Lg,Round of 16,Thu,Away,L,1,4,it Inter,,tottenham
2013-03-17,Premier League,Matchweek 30,Sun,Home,L,0,1,Fulham,,tottenham
2013-03-30,Premier League,Matchweek 31,Sat,Away,W,2,1,Swansea City,,tottenham
2013-04-04,Europa Lg,Quarter-finals,Thu,Home,D,2,2,ch Basel,,tottenham
2013-04-07,Premier League,Matchweek 32,Sun,Home,D,2,2,Everton,,tottenham
2013-04-11,Europa Lg,Quarter-finals,Thu,Away,D,2,2,ch Basel,,tottenham
2013-04-21,Premier League,Matchweek 34,Sun,Home,W,3,1,Manchester City,,tottenham
2013-04-27,Premier League,Matchweek 35,Sat,Away,D,2,2,Wigan Athletic,,tottenham
2013-05-04,Premier League,Matchweek 36,Sat,Home,W,1,0,Southampton,,tottenham
2013-05-08,Premier League,Matchweek 33,Wed,Away,D,2,2,Chelsea,,tottenham
2013-05-12,Premier League,Matchweek 37,Sun,Away,W,2,1,Stoke City,,tottenham
2013-05-19,Premier League,Matchweek 38,Sun,Home,W,1,0,Sunderland,,tottenham
2012-08-20,Premier League,Matchweek 1,Mon,Away,L,0,1,Everton,,united
2012-08-25,Premier League,Matchweek 2,Sat,Home,W,3,2,Fulham,,united
2012-09-02,Premier League,Matchweek 3,Sun,Away,W,3,2,Southampton,,united
2012-09-15,Premier League,Matchweek 4,Sat,Home,W,4,0,Wigan Athletic,,united
2012-09-19,Champions Lg,Group stage,Wed,Home,W,1,0,tr Galatasaray,,united
2012-09-23,Premier League,Matchweek 5,Sun,Away,W,2,1,Liverpool,,united
2012-09-29,Premier League,Matchweek 6,Sat,Home,L,2,3,Tottenham,,united
2012-10-02,Champions Lg,Group stage,Tue,Away,W,2,1,ro CFR Cluj,,united
2012-10-07,Premier League,Matchweek 7,Sun,Away,W,3,0,Newcastle Utd,,united
2012-10-20,Premier League,Matchweek 8,Sat,Home,W,4,2,Stoke City,,united
2012-10-23,Champions Lg,Group stage,Tue,Home,W,3,2,pt Braga,,united
2012-10-28,Premier League,Matchweek 9,Sun,Away,W,3,2,Chelsea,,united
2012-11-03,Premier League,Matchweek 10,Sat,Home,W,2,1,Arsenal,,united
2012-11-07,Champions Lg,Group stage,Wed,Away,W,3,1,pt Braga,,united
2012-11-10,Premier League,Matchweek 11,Sat,Away,W,3,2,Aston Villa,,united
2012-11-17,Premier League,Matchweek 12,Sat,Away,L,0,1,Norwich City,,united
2012-11-20,Champions Lg,Group stage,Tue,Away,L,0,1,tr Galatasaray,,united
2012-11-24,Premier League,Matchweek 13,Sat,Home,W,3,1,QPR,,united
2012-11-28,Premier League,Matchweek 14,Wed,Home,W,1,0,West Ham,,united
2012-12-01,Premier League,Matchweek 15,Sat,Away,W,4,3,Reading,,united
2012-12-05,Champions Lg,Group stage,Wed,Home,L,0,1,ro CFR Cluj,,united
2012-12-09,Premier League,Matchweek 16,Sun,Away,W,3,2,Manchester City,,united
2012-12-15,Premier League,Matchweek 17,Sat,Home,W,3,1,Sunderland,,united
2012-12-23,Premier League,Matchweek 18,Sun,Away,D,1,1,Swansea City,,united
2012-12-26,Premier League,Matchweek 19,Wed,Home,W,4,3,Newcastle Utd,,united
2012-12-29,Premier League,Matchweek 20,Sat,Home,W,2,0,West Brom,,united
2013-01-01,Premier League,Matchweek 21,Tue,Away,W,4,0,Wigan Athletic,,united
2013-01-13,Premier League,Matchweek 22,Sun,Home,W,2,1,Liverpool,,united
2013-01-20,Premier League,Matchweek 23,Sun,Away,D,1,1,Tottenham,,united
2013-01-30,Premier League,Matchweek 24,Wed,Home,W,2,1,Southampton,,united
2013-02-02,Premier League,Matchweek 25,Sat,Away,W,1,0,Fulham,,united
2013-02-10,Premier League,Matchweek 26,Sun,Home,W,2,0,Everton,,united
2013-02-13,Champions Lg,Round of 16,Wed,Away,D,1,1,es Real Madrid,,united
2013-02-23,Premier League,Matchweek 27,Sat,Away,W,2,0,QPR,,united
2013-03-02,Premier League,Matchweek 28,Sat,Home,W,4,0,Norwich City,,united
2013-03-05,Champions Lg,Round of 16,Tue,Home,L,1,2,es Real Madrid,,united
2013-03-16,Premier League,Matchweek 30,Sat,Home,W,1,0,Reading,,united
2013-03-30,Premier League,Matchweek 31,Sat,Away,W,1,0,Sunderland,,united
2013-04-08,Premier League,Matchweek 32,Mon,Home,L,1,2,Manchester City,,united
2013-04-14,Premier League,Matchweek 33,Sun,Away,W,2,0,Stoke City,,united
2013-04-17,Premier League,Matchweek 29,Wed,Away,D,2,2,West Ham,,united
2013-04-22,Premier League,Matchweek 34,Mon,Home,W,3,0,Aston Villa,,united
2013-04-28,Premier League,Matchweek 35,Sun,Away,D,1,1,Arsenal,,united
2013-05-05,Premier League,Matchweek 36,Sun,Home,L,0,1,Chelsea,,united
2013-05-12,Premier League,Matchweek 37,Sun,Home,W,2,1,Swansea City,,united
2013-05-19,Premier League,Matchweek 38,Sun,Away,D,5,5,West Brom,,united
2012-08-18,Premier League,Matchweek 1,Sat,Home,W,3,0,Liverpool,,west-brom
2012-08-25,Premier League,Matchweek 2,Sat,Away,D,1,1,Tottenham,,west-brom
2012-09-01,Premier League,Matchweek 3,Sat,Home,W,2,0,Everton,,west-brom
2012-09-15,Premier League,Matchweek 4,Sat,Away,L,0,3,Fulham,,west-brom
2012-09-22,Premier League,Matchweek 5,Sat,Home,W,1,0,Reading,,west-brom
2012-09-30,Premier League,Matchweek 6,Sun,Away,D,1,1,Aston Villa,,west-brom
2012-10-06,Premier League,Matchweek 7,Sat,Home,W,3,2,QPR,,west-brom
2012-10-20,Premier League,Matchweek 8,Sat,Home,L,1,2,Manchester City,,west-brom
2012-10-28,Premier League,Matchweek 9,Sun,Away,L,1,2,Newcastle Utd,,west-brom
2012-11-05,Premier League,Matchweek 10,Mon,Home,W,2,0,Southampton,,west-brom
2012-11-10,Premier League,Matchweek 11,Sat,Away,W,2,1,Wigan Athletic,,west-brom
2012-11-17,Premier League,Matchweek 12,Sat,Home,W,2,1,Chelsea,,west-brom
2012-11-24,Premier League,Matchweek 13,Sat,Away,W,4,2,Sunderland,,west-brom
2012-11-28,Premier League,Matchweek 14,Wed,Away,L,1,3,Swansea City,,west-brom
2012-12-01,Premier League,Matchweek 15,Sat,Home,L,0,1,Stoke City,,west-brom
2012-12-08,Premier League,Matchweek 16,Sat,Away,L,0,2,Arsenal,,west-brom
2012-12-16,Premier League,Matchweek 17,Sun,Home,D,0,0,West Ham,,west-brom
2012-12-22,Premier League,Matchweek 18,Sat,Home,W,2,1,Norwich City,,west-brom
2012-12-26,Premier League,Matchweek 19,Wed,Away,W,2,1,QPR,,west-brom
2012-12-29,Premier League,Matchweek 20,Sat,Away,L,0,2,Manchester Utd,,west-brom
2013-01-01,Premier League,Matchweek 21,Tue,Home,L,1,2,Fulham,,west-brom
2013-01-12,Premier League,Matchweek 22,Sat,Away,L,2,3,Reading,,west-brom
2013-01-19,Premier League,Matchweek 23,Sat,Home,D,2,2,Aston Villa,,west-brom
2013-01-30,Premier League,Matchweek 24,Wed,Away,L,1,2,Everton,,west-brom
2013-02-03,Premier League,Matchweek 25,Sun,Home,L,0,1,Tottenham,,west-brom
2013-02-11,Premier League,Matchweek 26,Mon,Away,W,2,0,Liverpool,,west-brom
2013-02-23,Premier League,Matchweek 27,Sat,Home,W,2,1,Sunderland,,west-brom
2013-03-02,Premier League,Matchweek 28,Sat,Away,L,0,1,Chelsea,,west-brom
2013-03-09,Premier League,Matchweek 29,Sat,Home,W,2,1,Swansea City,,west-brom
2013-03-16,Premier League,Matchweek 30,Sat,Away,D,0,0,Stoke City,,west-brom
2013-03-30,Premier League,Matchweek 31,Sat,Away,L,1,3,West Ham,,west-brom
2013-04-06,Premier League,Matchweek 32,Sat,Home,L,1,2,Arsenal,,west-brom
2013-04-20,Premier League,Matchweek 34,Sat,Home,D,1,1,Newcastle Utd,,west-brom
2013-04-27,Premier League,Matchweek 35,Sat,Away,W,3,0,Southampton,,west-brom
2013-05-04,Premier League,Matchweek 36,Sat,Home,L,2,3,Wigan Athletic,,west-brom
2013-05-07,Premier League,Matchweek 33,Tue,Away,L,0,1,Manchester City,,west-brom
2013-05-12,Premier League,Matchweek 37,Sun,Away,L,0,4,Norwich City,,west-brom
2013-05-19,Premier League,Matchweek 38,Sun,Home,D,5,5,Manchester Utd,,west-brom
2012-08-18,Premier League,Matchweek 1,Sat,Home,W,1,0,Aston Villa,,west-ham
2012-08-25,Premier League,Matchweek 2,Sat,Away,L,0,3,Swansea City,,west-ham
2012-09-01,Premier League,Matchweek 3,Sat,Home,W,3,0,Fulham,,west-ham
2012-09-15,Premier League,Matchweek 4,Sat,Away,D,0,0,Norwich City,,west-ham
2012-09-22,Premier League,Matchweek 5,Sat,Home,D,1,1,Sunderland,,west-ham
2012-10-01,Premier League,Matchweek 6,Mon,Away,W,2,1,QPR,,west-ham
2012-10-06,Premier League,Matchweek 7,Sat,Home,L,1,3,Arsenal,,west-ham
2012-10-20,Premier League,Matchweek 8,Sat,Home,W,4,1,Southampton,,west-ham
2012-10-27,Premier League,Matchweek 9,Sat,Away,L,1,2,Wigan Athletic,,west-ham
2012-11-03,Premier League,Matchweek 10,Sat,Home,D,0,0,Manchester City,,west-ham
2012-11-11,Premier League,Matchweek 11,Sun,Away,W,1,0,Newcastle Utd,,west-ham
2012-11-19,Premier League,Matchweek 12,Mon,Home,D,1,1,Stoke City,,west-ham
2012-11-25,Premier League,Matchweek 13,Sun,Away,L,1,3,Tottenham,,west-ham
2012-11-28,Premier League,Matchweek 14,Wed,Away,L,0,1,Manchester Utd,,west-ham
2012-12-01,Premier League,Matchweek 15,Sat,Home,W,3,1,Chelsea,,west-ham
2012-12-09,Premier League,Matchweek 16,Sun,Home,L,2,3,Liverpool,,west-ham
2012-12-16,Premier League,Matchweek 17,Sun,Away,D,0,0,West Brom,,west-ham
2012-12-22,Premier League,Matchweek 18,Sat,Home,L,1,2,Everton,,west-ham
2012-12-29,Premier League,Matchweek 20,Sat,Away,L,0,1,Reading,,west-ham
2013-01-01,Premier League,Matchweek 21,Tue,Home,W,2,1,Norwich City,,west-ham
2013-01-12,Premier League,Matchweek 22,Sat,Away,L,0,3,Sunderland,,west-ham
2013-01-19,Premier League,Matchweek 23,Sat,Home,D,1,1,QPR,,west-ham
2013-01-23,Premier League,Matchweek 19,Wed,Away,L,1,5,Arsenal,,west-ham
2013-01-30,Premier League,Matchweek 24,Wed,Away,L,1,3,Fulham,,west-ham
2013-02-02,Premier League,Matchweek 25,Sat,Home,W,1,0,Swansea City,,west-ham
2013-02-10,Premier League,Matchweek 26,Sun,Away,L,1,2,Aston Villa,,west-ham
2013-02-25,Premier League,Matchweek 27,Mon,Home,L,2,3,Tottenham,,west-ham
2013-03-02,Premier League,Matchweek 28,Sat,Away,W,1,0,Stoke City,,west-ham
2013-03-17,Premier League,Matchweek 30,Sun,Away,L,0,2,Chelsea,,west-ham
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,3,1,West Brom,,west-ham
2013-04-07,Premier League,Matchweek 32,Sun,Away,D,0,0,Liverpool,,west-ham
2013-04-13,Premier League,Matchweek 33,Sat,Away,D,1,1,Southampton,,west-ham
2013-04-17,Premier League,Matchweek 29,Wed,Home,D,2,2,Manchester Utd,,west-ham
2013-04-20,Premier League,Matchweek 34,Sat,Home,W,2,0,Wigan Athletic,,west-ham
2013-04-27,Premier League,Matchweek 35,Sat,Away,L,1,2,Manchester City,,west-ham
2013-05-04,Premier League,Matchweek 36,Sat,Home,D,0,0,Newcastle Utd,,west-ham
2013-05-12,Premier League,Matchweek 37,Sun,Away,L,0,2,Everton,,west-ham
2013-05-19,Premier League,Matchweek 38,Sun,Home,W,4,2,Reading,,west-ham
2012-08-19,Premier League,Matchweek 1,Sun,Home,L,0,2,Chelsea,,wigan
2012-08-25,Premier League,Matchweek 2,Sat,Away,W,2,0,Southampton,,wigan
2012-09-01,Premier League,Matchweek 3,Sat,Home,D,2,2,Stoke City,,wigan
2012-09-15,Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester Utd,,wigan
2012-09-22,Premier League,Matchweek 5,Sat,Home,L,1,2,Fulham,,wigan
2012-09-29,Premier League,Matchweek 6,Sat,Away,L,0,1,Sunderland,,wigan
2012-10-06,Premier League,Matchweek 7,Sat,Home,D,2,2,Everton,,wigan
2012-10-20,Premier League,Matchweek 8,Sat,Away,L,1,2,Swansea City,,wigan
2012-10-27,Premier League,Matchweek 9,Sat,Home,W,2,1,West Ham,,wigan
2012-11-03,Premier League,Matchweek 10,Sat,Away,W,1,0,Tottenham,,wigan
2012-11-10,Premier League,Matchweek 11,Sat,Home,L,1,2,West Brom,,wigan
2012-11-17,Premier League,Matchweek 12,Sat,Away,L,0,3,Liverpool,,wigan
2012-11-24,Premier League,Matchweek 13,Sat,Home,W,3,2,Reading,,wigan
2012-11-28,Premier League,Matchweek 14,Wed,Home,L,0,2,Manchester City,,wigan
2012-12-03,Premier League,Matchweek 15,Mon,Away,L,0,3,Newcastle Utd,,wigan
2012-12-08,Premier League,Matchweek 16,Sat,Home,D,2,2,QPR,,wigan
2012-12-15,Premier League,Matchweek 17,Sat,Away,L,1,2,Norwich City,,wigan
2012-12-22,Premier League,Matchweek 18,Sat,Home,L,0,1,Arsenal,,wigan
2012-12-26,Premier League,Matchweek 19,Wed,Away,L,1,2,Everton,,wigan
2012-12-29,Premier League,Matchweek 20,Sat,Away,W,3,0,Aston Villa,,wigan
2013-01-01,Premier League,Matchweek 21,Tue,Home,L,0,4,Manchester Utd,,wigan
2013-01-12,Premier League,Matchweek 22,Sat,Away,D,1,1,Fulham,,wigan
2013-01-19,Premier League,Matchweek 23,Sat,Home,L,2,3,Sunderland,,wigan
2013-01-29,Premier League,Matchweek 24,Tue,Away,D,2,2,Stoke City,,wigan
2013-02-02,Premier League,Matchweek 25,Sat,Home,D,2,2,Southampton,,wigan
2013-02-09,Premier League,Matchweek 26,Sat,Away,L,1,4,Chelsea,,wigan
2013-02-23,Premier League,Matchweek 27,Sat,Away,W,3,0,Reading,,wigan
2013-03-02,Premier League,Matchweek 28,Sat,Home,L,0,4,Liverpool,,wigan
2013-03-17,Premier League,Matchweek 30,Sun,Home,W,2,1,Newcastle Utd,,wigan
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,1,0,Norwich City,,wigan
2013-04-07,Premier League,Matchweek 32,Sun,Away,D,1,1,QPR,,wigan
2013-04-17,Premier League,Matchweek 29,Wed,Away,L,0,1,Manchester City,,wigan
2013-04-20,Premier League,Matchweek 34,Sat,Away,L,0,2,West Ham,,wigan
2013-04-27,Premier League,Matchweek 35,Sat,Home,D,2,2,Tottenham,,wigan
2013-05-04,Premier League,Matchweek 36,Sat,Away,W,3,2,West Brom,,wigan
2013-05-07,Premier League,Matchweek 33,Tue,Home,L,2,3,Swansea City,,wigan
2013-05-14,Premier League,Matchweek 37,Tue,Away,L,1,4,Arsenal,,wigan
2013-05-19,Premier League,Matchweek 38,Sun,Home,D,2,2,Aston Villa,,wigan
