Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,team
2013-04-28,Premier League,Matchweek 35,Sun,Home,W,2,0,Swansea City,,chelsea
2013-05-02,Europa Lg,Semi-finals,Thu,Home,W,3,1,ch Basel,,chelsea
2013-05-05,Premier League,Matchweek 36,Sun,Away,W,1,0,Manchester Utd,,chelsea
2013-05-08,Premier League,Matchweek 33,Wed,Home,D,2,2,Tottenham,,chelsea
2013-05-11,Premier League,Matchweek 37,Sat,Away,W,2,1,Aston Villa,,chelsea
2013-05-15,Europa Lg,Final,Wed,Neutral,W,2,1,pt Benfica,,chelsea
2013-05-19,Premier League,Matchweek 38,Sun,Home,W,2,1,Everton,,chelsea
2012-08-19,Premier League,Matchweek 1,Sun,Home,W,3,2,Southampton,,city
2012-08-26,Premier League,Matchweek 2,Sun,Away,D,2,2,Liverpool,,city
2012-09-01,Premier League,Matchweek 3,Sat,Home,W,3,1,QPR,,city
2012-09-15,Premier League,Matchweek 4,Sat,Away,D,1,1,Stoke City,,city
2012-09-18,Champions Lg,Group stage,Tue,Away,L,2,3,es Real Madrid,,city
2012-09-23,Premier League,Matchweek 5,Sun,Home,D,1,1,Arsenal,,city
2012-09-29,Premier League,Matchweek 6,Sat,Away,W,2,1,Fulham,,city
2012-10-03,Champions Lg,Group stage,Wed,Home,D,1,1,de Dortmund,,city
2012-10-06,Premier League,Matchweek 7,Sat,Home,W,3,0,Sunderland,,city
2012-10-20,Premier League,Matchweek 8,Sat,Away,W,2,1,West Brom,,city
2012-10-24,Champions Lg,Group stage,Wed,Away,L,1,3,nl Ajax,,city
2012-10-27,Premier League,Matchweek 9,Sat,Home,W,1,0,Swansea City,,city
2012-11-03,Premier League,Matchweek 10,Sat,Away,D,0,0,West Ham,,city
2012-11-06,Champions Lg,Group stage,Tue,Home,D,2,2,nl Ajax,,city
2012-11-11,Premier League,Matchweek 11,Sun,Home,W,2,1,Tottenham,,city
2012-11-17,Premier League,Matchweek 12,Sat,Home,W,5,0,Aston Villa,,city
2012-11-21,Champions Lg,Group stage,Wed,Home,D,1,1,es Real Madrid,,city
2012-11-25,Premier League,Matchweek 13,Sun,Away,D,0,0,Chelsea,,city
2012-11-28,Premier League,Matchweek 14,Wed,Away,W,2,0,Wigan Athletic,,city
2012-12-01,Premier League,Matchweek 15,Sat,Home,D,1,1,Everton,,city
2012-12-04,Champions Lg,Group stage,Tue,Away,L,0,1,de Dortmund,,city
2012-12-09,Premier League,Matchweek 16,Sun,Home,L,2,3,Manchester Utd,,city
2012-12-15,Premier League,Matchweek 17,Sat,Away,W,3,1,Newcastle Utd,,city
2012-12-22,Premier League,Matchweek 18,Sat,Home,W,1,0,Reading,,city
2012-12-26,Premier League,Matchweek 19,Wed,Away,L,0,1,Sunderland,,city
2012-12-29,Premier League,Matchweek 20,Sat,Away,W,4,3,Norwich City,,city
2013-01-01,Premier League,Matchweek 21,Tue,Home,W,3,0,Stoke City,,city
2013-01-13,Premier League,Matchweek 22,Sun,Away,W,2,0,Arsenal,,city
2013-01-19,Premier League,Matchweek 23,Sat,Home,W,2,0,Fulham,,city
2013-01-29,Premier League,Matchweek 24,Tue,Away,D,0,0,QPR,,city
2013-02-03,Premier League,Matchweek 25,Sun,Home,D,2,2,Liverpool,,city
2013-02-09,Premier League,Matchweek 26,Sat,Away,L,1,3,Southampton,,city
2013-02-24,Premier League,Matchweek 27,Sun,Home,W,2,0,Chelsea,,city
2013-03-04,Premier League,Matchweek 28,Mon,Away,W,1,0,Aston Villa,,city
2013-03-16,Premier League,Matchweek 30,Sat,Away,L,0,2,Everton,,city
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,4,0,Newcastle Utd,,city
2013-04-08,Premier League,Matchweek 32,Mon,Away,W,2,1,Manchester Utd,,city
2013-04-17,Premier League,Matchweek 29,Wed,Home,W,1,0,Wigan Athletic,,city
2013-04-21,Premier League,Matchweek 34,Sun,Away,L,1,3,Tottenham,,city
2013-04-27,Premier League,Matchweek 35,Sat,Home,W,2,1,West Ham,,city
2013-05-04,Premier League,Matchweek 36,Sat,Away,D,0,0,Swansea City,,city
2013-05-07,Premier League,Matchweek 33,Tue,Home,W,1,0,West Brom,,city
2013-05-14,Premier League,Matchweek 37,Tue,Away,W,2,0,Reading,,city
2013-05-19,Premier League,Matchweek 38,Sun,Home,L,2,3,Norwich City,,city
2012-08-20,Premier League,Matchweek 1,Mon,Home,W,1,0,Manchester Utd,,everton
2012-08-25,Premier League,Matchweek 2,Sat,Away,W,3,1,Aston Villa,,everton
2012-09-01,Premier League,Matchweek 3,Sat,Away,L,0,2,West Brom,,everton
2012-09-17,Premier League,Matchweek 4,Mon,Home,D,2,2,Newcastle Utd,,everton
2012-09-22,Premier League,Matchweek 5,Sat,Away,W,3,0,Swansea City,,everton
2012-09-29,Premier League,Matchweek 6,Sat,Home,W,3,1,Southampton,,everton
2012-10-06,Premier League,Matchweek 7,Sat,Away,D,2,2,Wigan Athletic,,everton
2012-10-21,Premier League,Matchweek 8,Sun,Away,D,1,1,QPR,,everton
2012-10-28,Premier League,Matchweek 9,Sun,Home,D,2,2,Liverpool,,everton
2012-11-03,Premier League,Matchweek 10,Sat,Away,D,2,2,Fulham,,everton
2012-11-10,Premier League,Matchweek 11,Sat,Home,W,2,1,Sunderland,,everton
2012-11-17,Premier League,Matchweek 12,Sat,Away,L,1,2,Reading,,everton
2012-11-24,Premier League,Matchweek 13,Sat,Home,D,1,1,Norwich City,,everton
2012-11-28,Premier League,Matchweek 14,Wed,Home,D,1,1,Arsenal,,everton
2012-12-01,Premier League,Matchweek 15,Sat,Away,D,1,1,Manchester City,,everton
2012-12-09,Premier League,Matchweek 16,Sun,Home,W,2,1,Tottenham,,everton
2012-12-15,Premier League,Matchweek 17,Sat,Away,D,1,1,Stoke City,,everton
2012-12-22,Premier League,Matchweek 18,Sat,Away,W,2,1,West Ham,,everton
2012-12-26,Premier League,Matchweek 19,Wed,Home,W,2,1,Wigan Athletic,,everton
2012-12-30,Premier League,Matchweek 20,Sun,Home,L,1,2,Chelsea,,everton
2013-01-02,Premier League,Matchweek 21,Wed,Away,W,2,1,Newcastle Utd,,everton
2013-01-12,Premier League,Matchweek 22,Sat,Home,D,0,0,Swansea City,,everton
2013-01-21,Premier League,Matchweek 23,Mon,Away,D,0,0,Southampton,,everton
2013-01-30,Premier League,Matchweek 24,Wed,Home,W,2,1,West Brom,,everton
2013-02-02,Premier League,Matchweek 25,Sat,Home,D,3,3,Aston Villa,,everton
2013-02-10,Premier League,Matchweek 26,Sun,Away,L,0,2,Manchester Utd,,everton
2013-02-23,Premier League,Matchweek 27,Sat,Away,L,1,2,Norwich City,,everton
2013-03-02,Premier League,Matchweek 28,Sat,Home,W,3,1,Reading,,everton
2013-03-16,Premier League,Matchweek 30,Sat,Home,W,2,0,Manchester City,,everton
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,1,0,Stoke City,,everton
2013-04-07,Premier League,Matchweek 32,Sun,Away,D,2,2,Tottenham,,everton
2013-04-13,Premier League,Matchweek 33,Sat,Home,W,2,0,QPR,,everton
2013-04-16,Premier League,Matchweek 29,Tue,Away,D,0,0,Arsenal,,everton
2013-04-20,Premier League,Matchweek 34,Sat,Away,L,0,1,Sunderland,,everton
2013-04-27,Premier League,Matchweek 35,Sat,Home,W,1,0,Fulham,,everton
2013-05-05,Premier League,Matchweek 36,Sun,Away,D,0,0,Liverpool,,everton
2013-05-12,Premier League,Matchweek 37,Sun,Home,W,2,0,West Ham,,everton
2013-05-19,Premier League,Matchweek 38,Sun,Away,L,1,2,Chelsea,,everton
2012-08-18,Premier League,Matchweek 1,Sat,Home,W,5,0,Norwich City,,fulham
2012-08-25,Premier League,Matchweek 2,Sat,Away,L,2,3,Manchester Utd,,fulham
2012-09-01,Premier League,Matchweek 3,Sat,Away,L,0,3,West Ham,,fulham
2012-09-15,Premier League,Matchweek 4,Sat,Home,W,3,0,West Brom,,fulham
