Season,Ranking,Team
2013-2014,16,hull
2013-2014,17,west-brom
2013-2014,18,norwich
2013-2014,19,fulham
2013-2014,20,cardiff
2013-2014,21,leicester
2013-2014,22,burnley
2013-2014,23,qpr
2014-2015,1,chelsea
2014-2015,2,city
2014-2015,3,arsenal
2014-2015,4,united
2014-2015,5,tottenham
2014-2015,6,liverpool
2014-2015,7,southampton
2014-2015,8,swansea
2014-2015,9,stoke
2014-2015,10,palace
2014-2015,11,everton
2014-2015,12,west-ham
2014-2015,13,west-brom
2014-2015,14,leicester
2014-2015,15,newcastle
2014-2015,16,sunderland
2014-2015,17,aston-villa
2014-2015,18,hull
2014-2015,19,burnley
2014-2015,20,qpr
2014-2015,21,bournemouth
2014-2015,22,watford
2014-2015,23,norwich
2015-2016,1,leicester
2015-2016,2,arsenal
2015-2016,3,tottenham
2015-2016,4,city
2015-2016,5,united
2015-2016,6,southampton
2015-2016,7,west-ham
2015-2016,8,liverpool
2015-2016,9,stoke
2015-2016,10,chelsea
2015-2016,11,everton
2015-2016,12,swansea
2015-2016,13,watford
2015-2016,14,west-brom
2015-2016,15,palace
2015-2016,16,bournemouth
2015-2016,17,sunderland
2015-2016,18,newcastle
2015-2016,19,norwich
2015-2016,20,aston-villa
2015-2016,21,burnley
2015-2016,22,middlesbrough
2015-2016,23,hull
2016-2017,1,chelsea
2016-2017,2,tottenham
2016-2017,3,city
2016-2017,4,liverpool
2016-2017,5,arsenal
2016-2017,6,united
2016-2017,7,everton
2016-2017,8,southampton
2016-2017,9,bournemouth
2016-2017,10,west-brom
2016-2017,11,west-ham
2016-2017,12,leicester
2016-2017,13,stoke
2016-2017,14,palace
2016-2017,15,swansea
2016-2017,16,burnley
2016-2017,17,watford
2016-2017,18,hull
2016-2017,19,middlesbrough
2016-2017,20,sunderland
2016-2017,21,newcastle
2016-2017,22,brighton
2016-2017,23,huddersfield
2017-2018,1,city
2017-2018,2,united
2017-2018,3,tottenham
2017-2018,4,liverpool
2017-2018,5,chelsea
2017-2018,6,arsenal
2017-2018,7,burnley
2017-2018,8,everton
2017-2018,9,leicester
2017-2018,10,newcastle
2017-2018,11,palace
2017-2018,12,bournemouth
2017-2018,13,west-ham
2017-2018,14,watford
2017-2018,15,brighton
2017-2018,16,huddersfield
2017-2018,17,southampton
2017-2018,18,swansea
2017-2018,19,stoke
2017-2018,20,west-brom
2017-2018,21,wolves
2017-2018,22,cardiff
2017-2018,23,fulham
2018-2019,1,city
2018-2019,2,liverpool
2018-2019,3,chelsea
2018-2019,4,tottenham
2018-2019,5,arsenal
2018-2019,6,united
2018-2019,7,wolves
2018-2019,8,everton
2018-2019,9,leicester
2018-2019,10,west-ham
2018-2019,11,watford
2018-2019,12,palace
2018-2019,13,newcastle
2018-2019,14,bournemouth
2018-2019,15,burnley
2018-2019,16,southampton
2018-2019,17,brighton
2018-2019,18,cardiff
2018-2019,19,fulham
2018-2019,20,huddersfield
2018-2019,21,norwich
2018-2019,22,sheffield
2018-2019,23,aston-villa
2019-2020,1,liverpool
2019-2020,2,city
2019-2020,3,united
2019-2020,4,chelsea
2019-2020,5,leicester
2019-2020,6,tottenham
2019-2020,7,wolves
2019-2020,8,arsenal
2019-2020,9,sheffield
2019-2020,10,burnley
2019-2020,11,southampton
2019-2020,12,everton
2019-2020,13,newcastle
2019-2020,14,palace
2019-2020,15,brighton
2019-2020,16,west-ham
2019-2020,17,aston-villa
2019-2020,18,bournemouth
2019-2020,19,watford
2019-2020,20,norwich
2019-2020,21,leeds
2019-2020,22,west-brom
2019-2020,23,fulham
2020-2021,1,city
2020-2021,2,united
2020-2021,3,liverpool
2020-2021,4,chelsea
2020-2021,5,leicester
2020-2021,6,west-ham
2020-2021,7,tottenham
2020-2021,8,arsenal
2020-2021,9,leeds
2020-2021,10,everton
2020-2021,11,aston-villa
2020-2021,12,newcastle
2020-2021,13,wolves
2020-2021,14,palace
2020-2021,15,southampton
2020-2021,16,brighton
2020-2021,17,burnley
2020-2021,18,fulham
2020-2021,19,west-brom
2020-2021,20,sheffield
2020-2021,21,norwich
2020-2021,22,watford
2020-2021,23,brentford
2021-2022,1,city
2021-2023,2,liverpool
2021-2024,3,chelsea
2021-2025,4,tottenham
2021-2026,5,arsenal
2021-2027,6,united
2021-2028,7,west-ham
2021-2029,8,leicester
2021-2030,9,brighton
2021-2031,10,wolves
2021-2032,11,newcastle
2021-2033,12,palace
2021-2034,13,brentford
2021-2035,14,aston-villa
2021-2036,15,southampton
2021-2037,16,everton
2021-2038,17,leeds
2021-2039,18,burnley
2021-2040,19,watford
2021-2041,20,norwich
2021-2042,21,fulham
2021-2043,22,bournemouth
2021-2044,23,nottingham
