Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
-1,1.0999999999999996,0.7999999999999998,2.1,1.5,0.2000000000000001,0.0,0.0999999999999998,1.7999999999999998,0.0,-1.1,1.0,29.0,0.1999999999999999,1.6999999999999995,10.0,60.0,-1.0,0.0,50.0,-5.0,10,10,10,10.0,-10.71,6.0,Etihad Stadium,W
0,-2.3999999999999986,-0.5999999999999996,-1.7999999999999998,1.9000000000000004,0.4000000000000001,0.1,-0.3999999999999999,1.0,0.9,-0.5999999999999999,-13.0,16.0,-0.5,0.7,-10.0,20.0,0.0,-30.0,30.0,-4.0,-2,0,2,0.0,-1.4,3.3,Old Trafford,W
0,-3.8000000000000007,-2.6,-0.9000000000000004,-0.6999999999999993,-0.2999999999999998,0.0,-0.2999999999999999,0.3,0.6000000000000001,0.0999999999999998,-9.0,2.0,-0.9,0.0,-30.0,-10.0,0.0,-30.0,20.0,0.0,-1,-5,-1,-2.3299999999999983,0.5,3.4,Madejski Stadium,W
2,-0.1999999999999993,-0.5,-1.0,-2.1,0.1,0.2,-0.5,-0.8999999999999999,-0.9000000000000001,-0.8,4.0,-1.0,-0.1,-0.6000000000000001,-10.0,-30.0,-1.0,10.0,0.0,-1.0,4,3,6,4.340000000000003,-2.17,3.8,Emirates Stadium,W
-1,-3.9999999999999982,-2.8999999999999995,-1.5999999999999996,0.7000000000000011,0.1999999999999997,0.1,-1.7,-0.2999999999999998,0.4,0.0,-21.0,-3.0,-1.2000000000000002,0.0,-50.0,-10.0,2.0,-20.0,20.0,5.0,-4,-7,-6,-5.670000000000002,2.29,3.8,White Hart Lane,W
-7,1.8999999999999984,2.1999999999999997,0.0999999999999996,0.4000000000000003,1.1,0.0,0.2000000000000001,-0.0999999999999998,0.9999999999999998,-0.1999999999999999,-8.0,1.0,-0.1999999999999999,0.1999999999999999,10.0,20.0,-1.0,-40.0,-20.0,-2.0,4,7,9,6.659999999999997,-1.0,3.5,St. James Park,W
2,-4.300000000000001,-1.0999999999999996,-0.7999999999999998,-2.1,-0.0999999999999998,-0.2,-0.3,-0.0999999999999999,0.2000000000000001,0.1,-5.0,-2.0,-0.0999999999999999,0.0999999999999998,0.0,0.0,0.0,-10.0,10.0,-1.0,-2,-1,1,-0.6700000000000017,0.75,3.6,Selhurst Park,W
-2,7.300000000000001,2.5,2.1,1.0,-0.6999999999999997,-0.2,1.3000000000000005,0.8000000000000003,0.0999999999999999,-0.6000000000000001,12.0,14.0,0.2999999999999998,0.5,20.0,20.0,7.0,-10.0,10.0,5.0,0,0,0,0.0,-1.65,3.5,Etihad Stadium,W
-2,5.299999999999999,2.5,1.3999999999999997,-0.2999999999999989,-0.6000000000000001,-0.1,1.9,0.9999999999999998,-0.5999999999999999,-1.2000000000000002,25.0,22.0,0.9000000000000001,1.0000000000000002,20.0,20.0,3.0,50.0,60.0,3.0,8,8,6,7.340000000000003,-11.8,7.0,Anfield,W
0,-0.6999999999999993,-0.1999999999999997,0.2000000000000001,0.6999999999999993,0.5999999999999999,0.2,0.2,0.3999999999999999,-0.2999999999999998,-0.6000000000000001,5.0,10.0,0.0,0.5,-10.0,10.0,0.0,20.0,30.0,1.0,2,4,8,4.670000000000002,-6.6,4.75,Emirates Stadium,W
-5,0.0999999999999996,1.6999999999999995,0.6999999999999993,-1.4000000000000004,0.0,0.0,0.6000000000000001,1.6,0.5,-0.4000000000000001,1.0,20.0,-0.2999999999999998,1.6,-10.0,50.0,-2.0,-10.0,60.0,-2.0,6,2,9,5.670000000000002,-6.0600000000000005,5.0,Emirates Stadium,W
0,3.1,0.7000000000000002,-0.2000000000000001,-5.1,-0.1999999999999999,-0.1,1.1,0.7,0.8,0.6,3.0,1.0,0.0999999999999998,0.1,-10.0,0.0,0.0,30.0,10.0,2.0,-2,-2,3,-0.3299999999999983,-1.1999999999999995,3.6,King Power Stadium,W
