Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
K Friend,Sun,25,1,6.299999999999999,3.5000000000000004,1.9,2.3000000000000007,-0.1,-0.1,1.2,0.5999999999999999,0.6000000000000001,0.6000000000000001,6.0,0.0,0.6000000000000001,0.4,0.6000000000000001,0.4,2.0,2.0,0.5,-0.1,20.0,0.0,0.0,10.0,-10.0,0.0,1,-3,5,1.0,-3.8,3.6,Tottenham Hotspur Stadium,L
M Atkinson,Sun,19,6,-7.200000000000001,-2.8000000000000003,-2.1999999999999997,-2.1,0.1999999999999999,0.1,-0.9999999999999998,-0.1999999999999999,0.7000000000000001,0.5,-17.0,-7.0,-0.6,0.5,-0.4,0.1999999999999999,-11.0,-6.0,-0.7,-0.3,-10.0,-10.0,1.0,-50.0,-10.0,-2.0,-5,-9,-6,-6.670000000000002,3.6,3.8,Villa Park,L
M Jones,Sat,21,0,-4.800000000000001,-0.7999999999999998,1.0,0.7999999999999989,-0.5,0.0,-0.7000000000000002,-0.8999999999999999,1.5000000000000002,1.1,-22.0,-20.0,-0.3999999999999999,0.6000000000000001,-0.5,0.6000000000000001,-10.0,-11.0,-0.8,-1.0,-20.0,-30.0,1.0,-40.0,-40.0,-2.0,-8,-5,-6,-6.329999999999998,5.5,4.75,Swansea.com Stadium,L
P Tierney,Fri,33,1,-4.300000000000001,-1.6,-2.8,2.9000000000000004,0.4000000000000001,0.0,-0.8000000000000003,-0.0999999999999998,0.2999999999999999,1.0,-11.0,-11.0,-0.5,0.0,0.4,0.6000000000000001,-5.0,-2.0,-0.5000000000000002,-0.6000000000000001,-10.0,-20.0,-1.0,-30.0,-20.0,-9.0,-9,-5,-9,-7.670000000000002,7.6,5.0,St Mary's Stadium,L
J Moss,Sat,30,4,-3.299999999999999,-1.8000000000000007,-2.8999999999999995,0.6999999999999993,0.1,-0.2,-0.8,0.8,-0.0999999999999998,0.0999999999999998,-7.0,7.0,0.0,-0.7,0.0999999999999999,-0.2,7.0,3.0,-0.1999999999999999,0.7,-10.0,20.0,0.0,0.0,30.0,0.0,-7,-7,-8,-7.329999999999998,1.15,3.5,Swansea.com Stadium,L
M Oliver,Sun,29,3,0.0,-0.3999999999999999,-0.6999999999999993,0.5,0.5,0.0,-0.6,0.3999999999999999,1.2000000000000002,0.8,-18.0,-4.0,-0.3999999999999999,0.6,0.0,0.7,-10.0,-7.0,-1.4,-0.3999999999999999,-50.0,-10.0,-1.0,-40.0,-20.0,-1.0,0,-4,3,-0.3299999999999983,-1.0,3.2,Goodison Park,L
J Moss,Sat,24,4,-10.400000000000002,-4.7,-3.3999999999999995,2.6000000000000014,0.5,0.0,-1.2999999999999998,-0.6000000000000001,1.0,0.3999999999999999,-23.0,-10.0,-0.7000000000000001,0.4999999999999999,-0.6000000000000001,0.3,-12.0,-9.0,-1.4,-0.3,-50.0,-20.0,0.0,-40.0,10.0,-7.0,-8,-9,-12,-9.670000000000002,4.89,3.89,Falmer Stadium,L
S Attwell,Mon,37,0,-2.3,-0.5,1.7999999999999998,-3.4000000000000004,-1.4,0.1,0.1999999999999999,0.3999999999999999,-0.3999999999999999,-1.3,6.0,17.0,-0.0999999999999999,-0.3,0.0,-0.6000000000000001,2.0,6.0,0.5,1.1999999999999995,20.0,40.0,0.0,10.0,40.0,-1.0,-4,-1,-7,-4.0,-1.2999999999999998,3.25,Bramall Lane,L
J Moss,Sun,6,0,0.3999999999999986,-0.2999999999999998,0.2999999999999998,-0.6999999999999993,0.0,0.0,-0.0999999999999998,0.7999999999999998,0.9000000000000001,0.4000000000000001,-10.0,4.0,0.1,0.3,0.5000000000000001,0.0999999999999999,-2.0,4.0,-0.6000000000000001,0.6000000000000001,-10.0,20.0,-1.0,-40.0,20.0,-1.0,-2,0,0,-0.6700000000000017,0.0499999999999998,3.3,London Stadium,L
A Moss,Sun,36,-5,4.9,2.0,-0.1,-2.3000000000000007,-0.3999999999999999,-0.1,0.5,0.5,-1.2000000000000002,-0.5,17.0,10.0,0.1,-0.0999999999999999,0.3999999999999999,-0.3,2.0,7.0,0.7000000000000001,0.3,10.0,0.0,0.0,50.0,30.0,2.0,6,5,11,7.340000000000003,-7.14,4.75,Goodison Park,L
L Probert,Sat,31,0,-5.800000000000001,-1.2999999999999998,0.2999999999999998,-2.799999999999999,-0.3999999999999999,0.0,-0.0999999999999999,-0.0999999999999999,-0.8999999999999999,-0.8999999999999999,8.0,8.0,-0.2,-0.3,-0.2,-0.3999999999999999,1.0,2.0,1.2,1.2,30.0,40.0,0.0,60.0,40.0,0.0,0,1,-2,-0.3299999999999983,-2.7,3.5,The Hawthorns,L
J Moss,Sat,27,1,-4.699999999999999,-1.1,-1.1999999999999993,1.799999999999999,1.6,-0.2,-0.4999999999999999,0.3,-0.1,0.0,-4.0,3.0,-0.2,0.0,0.0999999999999999,0.4,-2.0,-3.0,0.0,0.7000000000000001,-10.0,20.0,-1.0,20.0,30.0,0.0,-2,2,-1,-0.3299999999999983,1.4,3.4,Vicarage Road,L
J Moss,Sat,34,3,-0.8999999999999986,-0.5,-2.0,0.5,-0.1,0.0,-0.3999999999999999,0.2999999999999998,-0.5000000000000001,-0.3,1.0,6.0,-0.7,0.2,-0.5,-0.1999999999999999,-9.0,-3.0,0.3999999999999999,0.3000000000000002,10.0,10.0,6.0,20.0,10.0,14.0,-1,-4,1,-1.3400000000000034,-0.08,3.6,Wembley Stadium,L
S Hooper,Sat,26,0,5.199999999999999,3.1,2.6,2.1999999999999997,0.3,0.0,0.7,0.1,-0.0999999999999998,0.8,8.0,-7.0,0.7000000000000001,-0.7,0.3999999999999999,0.3,14.0,1.0,0.3,-0.1,10.0,0.0,0.0,10.0,-10.0,-3.0,-1,1,-2,-0.6599999999999966,-3.0,3.8,St Mary's Stadium,L
L Mason,Sat,5,0,-3.6999999999999993,-2.6,-1.1999999999999995,-2.1,-0.6000000000000001,0.0,-1.2,-0.7000000000000001,0.3999999999999999,0.1,-16.0,-8.0,-0.3,0.5,0.0,0.0999999999999999,-8.0,-1.0,-0.8999999999999999,-0.3999999999999999,-40.0,-10.0,0.0,-10.0,-20.0,2.0,-2,-3,-4,-3.0,0.7999999999999998,3.1,Kirklees Stadium,L
C Pawson,Sat,31,-1,-0.7999999999999989,-0.7999999999999998,-1.3999999999999997,-0.2999999999999989,1.0,0.0,-0.6000000000000001,0.1999999999999999,-0.5,-0.7,-1.0,9.0,0.0,-0.6000000000000001,0.0999999999999999,-0.3,6.0,4.0,-0.5999999999999999,0.1999999999999999,-20.0,10.0,0.0,-20.0,0.0,0.0,-1,-2,-1,-1.3299999999999983,-0.8999999999999999,3.25,Vicarage Road,L
K Friend,Wed,32,4,-1.700000000000001,-0.7000000000000002,-0.7000000000000002,-1.799999999999999,-0.5,0.1,0.0,0.0,0.9,-0.0999999999999998,-9.0,1.0,0.5,0.5,0.0999999999999999,0.0,0.0,1.0,-0.7,0.0,-10.0,0.0,0.0,-50.0,0.0,-4.0,-1,-2,3,0.0,-0.8000000000000003,3.1,Dean Court,L
A Marriner,Sun,8,0,1.1999999999999993,-1.2000000000000002,-0.9000000000000004,-1.4000000000000004,0.0,-0.1,0.0999999999999998,0.1,0.6000000000000001,0.1999999999999999,-5.0,-1.0,0.3,0.0999999999999999,0.0,-0.2,2.0,2.0,-0.9,-0.2999999999999998,-40.0,-20.0,-1.0,-10.0,10.0,-1.0,-5,-5,-7,-5.670000000000002,1.4500000000000002,3.6,St. James Park,L
D England,Sat,21,0,0.0,-0.3000000000000007,0.2999999999999998,2.5,1.0,0.0,-0.1999999999999999,0.1999999999999999,-0.1999999999999999,-0.0999999999999999,0.0,3.0,0.2,0.0,0.0999999999999999,-0.0999999999999999,2.0,2.0,0.0,0.0,0.0,-10.0,0.0,0.0,20.0,0.0,-3,-2,-3,-2.6599999999999966,0.8000000000000003,3.4,Selhurst Park,L
M Dean,Sun,35,-5,-6.0,-0.9999999999999996,0.5,-2.200000000000001,-0.3,0.1,-0.6000000000000001,-0.4000000000000001,-0.0999999999999998,-0.1999999999999999,-5.0,-2.0,-0.4,-0.3,-0.8,0.0,-1.0,-8.0,-0.6000000000000001,0.1999999999999999,-30.0,0.0,-2.0,0.0,20.0,-2.0,1,-2,-2,-1.0,2.53,3.8,London Stadium,L
L Probert,Sat,36,5,0.4000000000000003,-0.5,-1.4000000000000004,-0.6000000000000014,1.0,-0.1,-0.3999999999999999,0.1999999999999999,-0.0999999999999998,-0.3,-3.0,5.0,0.0999999999999999,-0.0999999999999999,0.3,0.0,2.0,3.0,-0.2999999999999998,0.2999999999999999,-10.0,10.0,0.0,-10.0,10.0,-1.0,-6,-6,-5,-5.659999999999997,-0.48,3.1,Kirklees Stadium,L
H Webb,Sun,36,2,-4.800000000000001,-1.5,-3.0,1.0999999999999996,0.1,-0.1,-1.2999999999999998,-1.2999999999999998,-0.1,-0.1999999999999999,-12.0,-11.0,-0.9000000000000001,-0.2,-0.4,0.0,-7.0,-4.0,-0.4000000000000001,-0.2000000000000001,-10.0,0.0,4.0,-20.0,-20.0,3.0,-13,-15,-15,-14.340000000000003,6.0600000000000005,5.0,Selhurst Park,L
R East,Mon,29,2,-3.6000000000000014,-2.6,-0.7000000000000002,-2.4000000000000004,-1.0,0.1,-1.0,0.0,1.2000000000000002,0.1999999999999999,-22.0,-2.0,-0.7,0.8,-0.0999999999999999,0.5,-15.0,-6.0,-1.4,-0.0999999999999998,-50.0,-10.0,-4.0,-40.0,10.0,-12.0,-3,-5,3,-1.6700000000000017,2.0,3.6,Swansea.com Stadium,L
R Jones,Sat,26,-1,0.1999999999999993,-0.1,-0.2000000000000001,-2.4000000000000004,0.4000000000000001,0.0,0.8,0.6000000000000001,-0.3999999999999999,0.5,12.0,1.0,0.5,0.3,0.2999999999999999,0.3,2.0,0.0,0.9000000000000001,0.3999999999999999,30.0,10.0,0.0,30.0,20.0,0.0,5,1,4,3.3299999999999983,-4.1,3.6,Villa Park,L
M Oliver,Thu,20,-1,-3.5,-0.2000000000000001,-0.4000000000000003,0.200000000000001,0.0999999999999998,0.0,-0.3,0.3,-0.1,0.1,-2.0,2.0,0.1999999999999999,0.0999999999999999,0.5,0.7,1.0,-2.0,-0.3,0.3,-20.0,10.0,0.0,10.0,10.0,4.0,-6,-6,-5,-5.670000000000002,2.7,4.0,Selhurst Park,L
H Webb,Mon,32,0,3.6,0.9000000000000004,-1.5,3.3999999999999986,1.4,0.1,-0.1,0.0999999999999999,0.2999999999999998,-0.5,-4.0,6.0,-0.0999999999999999,0.4,0.1999999999999999,0.0999999999999999,-5.0,1.0,-0.5,0.5,-20.0,10.0,-1.0,-10.0,30.0,-1.0,2,-1,0,0.3299999999999983,-1.2000000000000002,3.3,Stadium of Light,L
P Bankes,Sat,10,3,-1.8000000000000007,0.1999999999999997,-1.0,1.5999999999999996,0.3999999999999999,-0.1,0.5999999999999999,0.4,0.5,-0.2999999999999998,1.0,7.0,0.2,0.7999999999999999,-0.1,-0.0999999999999999,-6.0,0.0,0.1999999999999999,0.8999999999999999,20.0,30.0,1.0,-20.0,30.0,-1.0,-1,-1,-1,-1.0,0.9000000000000004,3.3,Vicarage Road,L
J Moss,Sat,3,0,-8.5,-2.4000000000000004,-1.7999999999999998,-1.0,0.0,0.0,-0.1,0.6000000000000001,0.8,0.6,-9.0,0.0,0.0,0.3,0.3,0.3,-3.0,0.0,-0.5000000000000002,0.0,-20.0,0.0,-3.0,-10.0,0.0,-2.0,-2,-4,-3,-3.0,1.5499999999999998,3.3,Goodison Park,L
M Clattenburg,Sun,26,0,-1.900000000000002,-2.5,-1.9000000000000004,0.6999999999999993,0.5,0.0,-0.3,0.6999999999999997,0.3,0.5,-6.0,2.0,-0.1999999999999999,0.0,0.1999999999999999,-0.0999999999999999,-2.0,3.0,-0.4000000000000001,0.0,-20.0,10.0,-4.0,0.0,-20.0,-4.0,3,6,-1,2.6599999999999966,-1.5,3.75,Etihad Stadium,L
M Oliver,Sun,23,0,-0.9000000000000004,-1.5,-1.2000000000000002,3.5,0.5,0.0,-0.6000000000000001,0.0,0.4999999999999999,0.0999999999999999,-11.0,-1.0,-0.9,0.1,-0.4999999999999999,0.2,-10.0,-7.0,-1.2999999999999998,-0.1,-50.0,0.0,-9.0,-30.0,-10.0,-13.0,3,-3,1,0.3299999999999983,1.35,3.6,Anfield,L
C Foy,Sat,1,0,-5.0,-2.1,-0.0999999999999996,-1.1999999999999993,-0.3,-0.2,-0.9,0.2000000000000001,-0.1999999999999999,-0.3999999999999999,-7.0,6.0,-0.1,-0.5,0.5,0.0,4.0,5.0,-0.7000000000000001,0.2000000000000001,-20.0,10.0,-1.0,-30.0,0.0,-1.0,-7,-4,-7,-6.0,1.75,3.6,Boleyn Ground,L
S Attwell,Sun,35,-2,-0.200000000000001,0.5,0.0999999999999996,-0.1999999999999993,0.3999999999999999,0.2,0.8,0.5,0.7000000000000001,0.6000000000000001,1.0,-1.0,0.8999999999999999,0.1999999999999999,0.6000000000000001,-0.1,7.0,7.0,0.1,-0.2999999999999998,10.0,-10.0,1.0,-10.0,-10.0,1.0,-2,-1,-2,-1.6700000000000017,-1.0,3.5,London Stadium,L
M Oliver,Sat,5,0,-1.6999999999999993,-0.4000000000000003,0.0,1.6000000000000014,0.5,0.0,0.0999999999999998,0.8000000000000003,0.9,0.0999999999999999,-8.0,7.0,-0.4,0.4,0.0,-0.0999999999999999,-8.0,1.0,-0.2000000000000001,0.8,0.0,30.0,-5.0,-20.0,20.0,-5.0,2,2,0,1.3299999999999983,0.6000000000000001,3.6,Wembley Stadium,L
L Probert,Sat,36,0,0.4000000000000003,1.4999999999999996,-0.5,-1.8999999999999984,-1.5,-0.1,0.9,0.7,-0.5,-0.6000000000000001,14.0,13.0,0.3999999999999999,-0.5,0.3999999999999999,-0.1999999999999999,9.0,6.0,0.7999999999999999,1.1,30.0,40.0,-1.0,20.0,30.0,-2.0,5,5,4,4.670000000000002,-3.2,3.75,Goodison Park,L
A Marriner,Sat,34,-1,-4.9,-3.6000000000000005,-3.3,0.8000000000000007,0.3,-0.1,-0.7,-0.3,0.3,0.6,-10.0,-9.0,0.2999999999999999,0.1,0.1,-0.1999999999999999,2.0,3.0,-0.7999999999999998,-0.4000000000000001,-30.0,-10.0,0.0,-20.0,-20.0,-5.0,-5,-3,-3,-3.6599999999999966,3.25,4.0,Craven Cottage,L
L Mason,Sat,10,4,-5.899999999999999,-2.6000000000000005,-1.7000000000000002,2.8999999999999986,0.5,-0.1,-1.0,-0.8999999999999999,0.1,0.1999999999999999,-11.0,-11.0,-0.5000000000000001,-0.1999999999999999,-0.3999999999999999,-0.3,-3.0,-1.0,-1.0,-0.6000000000000001,-40.0,-20.0,0.0,-20.0,-20.0,-2.0,-7,-7,-8,-7.340000000000003,6.5600000000000005,4.75,The Hawthorns,L
N Swarbrick,Sat,11,4,-7.699999999999999,-3.4,-1.5,1.8000000000000007,0.7000000000000002,0.1,-0.7,-0.7,0.2999999999999998,-0.1999999999999999,-10.0,-5.0,-0.4,-0.1999999999999999,-0.6000000000000001,-0.0999999999999999,-2.0,-5.0,-0.7000000000000001,-0.5,-20.0,-10.0,-1.0,-30.0,-30.0,0.0,1,-4,-3,-2.0,3.59,4.33,London Stadium,L
N Swarbrick,Sat,36,1,0.0999999999999996,0.6000000000000001,-1.0,1.9000000000000004,0.6000000000000001,0.1,0.3,0.5,-0.7999999999999998,-0.8,11.0,13.0,0.5,-0.2,0.7000000000000001,-0.1999999999999999,7.0,9.0,1.0,1.1,30.0,30.0,0.0,40.0,50.0,-1.0,5,7,5,5.670000000000002,-3.52,3.9,Craven Cottage,L
