Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
C Pawson,Sun,0.0,-5,7.200000000000001,2.6,2.2,-2.6,-0.6000000000000001,-0.1,1.1,0.9,-1.8,-1.7000000000000002,29.0,26.0,0.0999999999999999,-0.7,0.5,-0.6000000000000001,8.0,11.0,1.4,1.6,40.0,40.0,-1.0,60.0,80.0,-1.0,10,7,8,8.340000000000003,-18,-1,-15.82,8.0,Stamford Bridge,W
M Oliver,Sun,0.0,0,7.299999999999999,2.3,0.7000000000000002,-2.200000000000001,-0.9,-0.1,1.7,0.6000000000000001,-0.6000000000000001,0.0999999999999998,23.0,5.0,0.7,0.0999999999999999,0.8,0.0,6.0,8.0,1.6,0.5,50.0,10.0,1.0,60.0,30.0,9.0,6,7,6,6.329999999999998,-6,0,-11.75,6.75,Stamford Bridge,W
A Marriner,Sat,0.0,3,-5.6,-1.8999999999999997,-3.5000000000000004,-3.6,-0.2999999999999998,0.2,-0.7,-0.8999999999999999,0.7,0.0,-14.0,-9.0,-0.0999999999999999,0.3999999999999999,-0.3,0.0999999999999999,-5.0,-4.0,-0.8,-0.5,-20.0,-20.0,-1.0,-40.0,-10.0,-1.0,-4,-9,-1,-4.659999999999997,11,0,3.03,3.8,Dean Court,D
L Mason,Sat,0.0,0,0.7000000000000011,-1.1,-0.2999999999999998,-2.0,0.2999999999999999,-0.1,0.3,-0.5,0.7,-0.1,-4.0,-4.0,-0.5,0.3,-0.6000000000000001,0.2,-8.0,-8.0,0.0,-0.0999999999999998,0.0,-10.0,0.0,0.0,10.0,0.0,-3,-3,3,-1.0,3,0,-0.1799999999999997,3.5,Selhurst Park,D
A Taylor,Sat,0.0,0,-1.9000000000000004,-0.1999999999999997,-0.3999999999999994,1.4000000000000004,0.9000000000000001,0.0,0.1,0.3,0.1999999999999999,-0.8999999999999999,-1.0,12.0,0.0,0.3999999999999999,0.2,-0.6,-4.0,8.0,-0.6,1.0,-20.0,30.0,-3.0,-20.0,40.0,-4.0,1,-2,0,-0.3299999999999983,-6,0,-1.6,3.6,King Power Stadium,W
C Kavanagh,Sun,0.0,5,-0.5,-1.1999999999999993,-0.7000000000000002,0.8000000000000007,-0.2999999999999998,0.1,-0.3999999999999999,0.4999999999999999,0.7,0.8999999999999999,-11.0,-4.0,0.2,0.1999999999999999,0.3,0.3,0.0,0.0,-1.0000000000000002,-0.4000000000000001,-30.0,0.0,1.0,-40.0,-40.0,-11.0,-5,-5,-7,-5.659999999999997,14,0,2.4000000000000004,3.8,Villa Park,L
S Attwell,Sat,0.0,0,-1.200000000000001,-0.9000000000000004,-1.1000000000000003,0.8000000000000007,-0.5999999999999999,-0.1,-0.4000000000000001,0.1999999999999999,0.0,-0.1,-4.0,3.0,-0.2,0.2,0.0,-0.0999999999999999,-4.0,1.0,-0.6000000000000001,0.0999999999999998,-20.0,10.0,-2.0,-20.0,-10.0,-2.0,0,2,-1,0.3299999999999983,6,0,0.0,3.25,Swansea.com Stadium,D
M Clattenburg,Sun,0.0,1,2.599999999999998,1.0999999999999996,1.7000000000000002,1.5999999999999996,-0.1999999999999999,-0.1,1.1999999999999995,2.0,-0.2,-0.7000000000000001,14.0,27.0,1.0,-0.2,1.3,-0.3999999999999999,12.0,17.0,0.3999999999999999,1.4,20.0,50.0,0.0,0.0,40.0,-1.0,7,10,11,9.340000000000003,-7,0,-11.71,6.0,Etihad Stadium,W
A Taylor,Sat,0.0,-1,2.4000000000000004,0.7999999999999998,0.4000000000000003,0.9000000000000004,0.0,0.3,0.7,0.9,-0.4000000000000001,-0.6000000000000001,11.0,15.0,0.5,0.0,0.5,-0.0999999999999999,5.0,6.0,0.0,1.2,0.0,40.0,-2.0,0.0,40.0,-3.0,2,4,3,3.0,-3,0,-3.45,3.6,King Power Stadium,D
R Jones,Wed,0.0,1,-0.5,-1.9,0.8999999999999995,3.4000000000000004,0.4000000000000001,0.1,-0.9000000000000001,-0.3,-0.6000000000000001,-0.9,-3.0,6.0,-0.5,-0.4,-0.0999999999999999,-0.4999999999999999,-1.0,4.0,0.0,0.4000000000000001,0.0,10.0,-1.0,0.0,20.0,-1.0,-5,-5,-4,-4.659999999999997,10,0,-0.5,3.5,St Mary's Stadium,D
A Taylor,Sun,0.0,-2,-4.799999999999999,-1.5,-1.4,-3.1,-0.7,-0.1,0.1999999999999999,0.1999999999999999,0.6,0.8999999999999999,-4.0,-7.0,0.3999999999999999,0.2999999999999999,0.2999999999999999,0.6000000000000001,1.0,-3.0,0.2999999999999998,0.0,20.0,10.0,0.0,-10.0,-20.0,-3.0,1,1,2,1.3400000000000034,-9,-1,1.2999999999999998,3.2,Selhurst Park,D
M Atkinson,Sun,0.0,1,-2.299999999999999,-0.2000000000000001,1.4000000000000004,-0.200000000000001,0.5,0.0,-0.3,-0.7,0.5,0.1,-8.0,-8.0,-0.1,0.1999999999999999,-0.0999999999999999,-0.0999999999999999,-3.0,0.0,-0.9,-0.7999999999999998,-30.0,-30.0,0.0,-30.0,-20.0,0.0,1,0,-3,-0.6700000000000017,2,0,1.4,3.4,Molineux Stadium,D
R Madley,Sat,0.0,-1,3.6,3.1,0.0,-0.4000000000000003,0.8,-0.1,1.0,2.3,-1.3,-1.9,23.0,42.0,0.3,-0.3,1.0,-0.6,6.0,16.0,1.3000000000000005,2.1,50.0,80.0,0.0,30.0,50.0,3.0,9,9,7,8.340000000000003,-21,-1,-10.71,6.0,Etihad Stadium,W
K Friend,Sat,0.0,0,4.699999999999999,2.5000000000000004,1.6999999999999993,0.6999999999999993,-0.3,0.0,0.7,1.2,-0.4,-1.3000000000000005,11.0,25.0,-0.0999999999999999,-0.6000000000000001,0.6000000000000001,-0.9,5.0,15.0,0.7,1.3,20.0,40.0,0.0,30.0,50.0,1.0,4,3,2,3.0,-5,0,-7.6,5.0,Goodison Park,W
M Atkinson,Sun,0.0,0,2.700000000000001,1.0,3.5,-1.9000000000000004,-0.1999999999999999,0.1,0.1999999999999999,1.2000000000000002,-0.1999999999999999,-1.1,4.0,23.0,0.3999999999999999,-0.3,0.8,-0.7999999999999999,7.0,16.0,0.1,1.2000000000000002,10.0,50.0,-2.0,-10.0,20.0,-2.0,3,8,0,3.6700000000000017,-5,0,-7.67,6.0,Etihad Stadium,W
K Friend,Sun,0.0,0,3.4000000000000004,0.6999999999999997,1.2999999999999998,-4.1,-0.9000000000000001,0.1,0.0,0.3999999999999999,-0.5,-0.6000000000000001,5.0,10.0,0.5,-0.4,0.5,-1.3,9.0,18.0,0.7,1.1,20.0,30.0,2.0,30.0,50.0,7.0,4,3,8,5.0,-14,-1,-7.14,4.75,Emirates Stadium,W
J Moss,Sat,0.0,0,-2.8000000000000007,-2.3999999999999995,-1.5999999999999996,0.5999999999999996,-0.5,0.2,-0.7,-0.3999999999999999,0.5999999999999999,-0.7,-13.0,3.0,-0.5,0.2999999999999999,-0.0999999999999999,-0.1999999999999999,-8.0,1.0,-0.8,0.1999999999999999,-30.0,10.0,-1.0,-20.0,0.0,1.0,-6,-8,-2,-5.329999999999998,9,0,5.45,4.2,Swansea.com Stadium,L
C Pawson,Sat,-2.0,0,-7.900000000000002,-3.4,-3.4000000000000004,3.0,0.8,0.1,-1.2000000000000002,-1.2,0.5000000000000001,0.7999999999999999,-17.0,-20.0,-0.3999999999999999,-0.1,-0.5,0.3,-3.0,-8.0,-1.2999999999999998,-1.5,-50.0,-60.0,0.0,-30.0,-30.0,-3.0,-8,-12,-7,-9.0,16,0,13.8,6.5,Turf Moor,L
M Atkinson,Sun,0.0,-7,0.200000000000001,-0.5,-0.4000000000000003,0.1999999999999993,0.5,0.2,-0.7000000000000001,0.0999999999999998,-0.3999999999999999,-1.1,-3.0,12.0,-0.4999999999999999,-0.1999999999999999,0.2,-0.8,-3.0,10.0,-0.5,0.3999999999999999,-20.0,0.0,0.0,-10.0,40.0,0.0,2,3,0,1.6700000000000017,-5,0,-2.92,3.75,Goodison Park,W
C Foy,Sat,0.0,0,2.9000000000000004,0.0,2.6000000000000005,0.5,-0.3999999999999999,0.2,-0.4,0.4,1.1,0.5,-15.0,-1.0,-0.3,0.5,0.0999999999999999,0.0,-8.0,1.0,-1.1,-0.1999999999999999,-30.0,0.0,-1.0,-50.0,-20.0,-3.0,4,1,8,4.329999999999998,-7,0,-0.4500000000000002,3.3,St. James Park,D
D England,Thu,0.0,1,0.4000000000000003,0.2000000000000001,0.4000000000000003,0.1000000000000014,0.1999999999999999,-0.1,0.6000000000000001,0.0,-0.6,-0.3999999999999999,12.0,4.0,0.3,-0.0999999999999999,0.2,0.0,4.0,2.0,1.0,0.7999999999999999,40.0,30.0,0.0,20.0,20.0,0.0,4,7,3,4.659999999999997,-9,-1,-2.75,3.6,Molineux Stadium,W
M Oliver,Mon,-1.0,0,2.1999999999999997,1.5,0.5,-2.6,-0.5,0.0,1.0,2.2,-0.7000000000000001,-1.2,17.0,34.0,0.3999999999999999,0.0,0.8,-0.5,4.0,13.0,1.1999999999999995,2.2,40.0,70.0,0.0,40.0,80.0,0.0,6,6,7,6.329999999999998,-15,0,-19.84,8.5,Wembley Stadium,W
M Atkinson,Sat,0.0,0,-1.3000000000000007,0.5,-0.4000000000000003,1.299999999999999,-0.6000000000000001,0.0,-0.1999999999999999,0.3,0.5,-0.4999999999999999,-7.0,8.0,-0.4999999999999999,0.6000000000000001,-0.0999999999999999,0.1999999999999999,-11.0,-3.0,-0.3,1.1,-10.0,40.0,0.0,-10.0,30.0,0.0,1,4,-1,1.3299999999999983,1,0,-1.4,3.4,Bet365 Stadium,D
S Attwell,Sat,0.0,-4,0.4000000000000003,-0.3000000000000002,0.9999999999999996,1.9000000000000004,-1.6,0.0,-0.3999999999999999,0.0999999999999999,0.1,-1.1,-5.0,12.0,-0.3999999999999999,0.0999999999999999,0.3999999999999999,-0.0999999999999999,-5.0,5.0,-0.9,0.6,-30.0,20.0,0.0,-30.0,20.0,-5.0,-1,1,0,0.0,8,0,-2.1500000000000004,3.3,Falmer Stadium,L
P Tierney,Sun,0.0,2,3.5,1.0000000000000004,0.9000000000000004,1.5,0.4000000000000001,0.0,-0.3,-0.5999999999999999,0.2999999999999999,0.0999999999999999,-6.0,-7.0,-0.5,0.2,-0.5,0.0,-7.0,-5.0,-0.4000000000000001,-0.1999999999999999,-10.0,0.0,0.0,-20.0,-20.0,0.0,-4,-1,-10,-5.0,1,0,1.4500000000000002,3.25,Molineux Stadium,D
R Jones,Wed,-1.0,1,-3.8000000000000007,-0.7999999999999998,-2.1,1.1000000000000014,0.1,0.2,-1.0,-1.4,0.0,0.5,-10.0,-19.0,-0.5,0.0,0.0,0.3,-5.0,-3.0,-1.1,-1.6999999999999995,-50.0,-60.0,0.0,-10.0,-50.0,2.0,-4,-4,-7,-5.0,18,1,2.1,3.5,Craven Cottage,L
C Pawson,Sat,0.0,-2,-3.3999999999999986,-2.6,-2.0,-0.9000000000000004,-0.6000000000000001,0.0,-0.8,0.3999999999999999,0.7,0.0,-15.0,4.0,-0.3,0.2,-0.1,0.0999999999999999,-5.0,-2.0,-1.0,0.5,-20.0,20.0,-2.0,-60.0,10.0,-7.0,-1,0,-4,-1.6700000000000017,1,0,0.8399999999999999,3.2,Swansea.com Stadium,D
M Dean,Sat,0.0,0,2.4000000000000004,1.1,1.7999999999999998,-2.0,-0.9000000000000001,0.0,0.5,0.5,-0.6000000000000001,0.5,11.0,0.0,0.5,-0.1999999999999999,0.3,0.8,7.0,-5.0,1.0,0.5999999999999999,30.0,30.0,0.0,40.0,0.0,0.0,-3,-1,-4,-2.6700000000000017,-1,0,-3.85,4.2,Dean Court,L
M Oliver,Sat,0.0,-1,8.8,5.5,3.3,1.0,0.0999999999999998,0.0,0.3,0.3999999999999999,-0.4000000000000001,-0.8,7.0,12.0,0.0999999999999999,0.0,0.0,-0.6,1.0,6.0,0.4000000000000001,0.8999999999999999,20.0,40.0,0.0,0.0,10.0,-1.0,6,8,7,7.0,-4,0,-9.17,5.5,Anfield,W
A Marriner,Wed,0.0,4,-2.0,-1.4000000000000004,1.799999999999999,-0.2999999999999989,0.2,0.0,-0.5,0.6999999999999997,0.0999999999999998,-1.2000000000000002,-6.0,19.0,-0.2,0.3,0.3,-0.3999999999999999,-5.0,7.0,-0.5000000000000002,1.2999999999999998,-20.0,50.0,-1.0,-10.0,30.0,-1.0,4,-1,7,3.3299999999999983,-1,0,-1.5,3.75,Anfield,W
C Foy,Sun,0.0,2,0.0999999999999996,-0.8999999999999995,-1.5,1.3000000000000007,-0.5,0.0,-0.5,-0.8000000000000003,-0.1,-0.7,-4.0,-1.0,-0.8,0.0999999999999999,-1.0,-0.4,-9.0,-6.0,-0.1999999999999999,-0.2999999999999998,-10.0,0.0,0.0,0.0,-30.0,0.0,-11,-9,-12,-10.670000000000002,14,0,3.5,3.8,Villa Park,L
M Clattenburg,Sun,0.0,-2,-1.0,-2.3,2.4000000000000004,-1.8000000000000007,0.3,0.1,-1.5,-0.7999999999999998,-0.4999999999999999,-0.8,-10.0,0.0,-1.6,-0.4,-0.6,-0.6,-12.0,0.0,-0.5999999999999999,0.3,-20.0,10.0,-2.0,-20.0,10.0,-5.0,3,1,10,4.670000000000002,-6,0,-0.3999999999999999,3.6,Old Trafford,L
R Madley,Sun,2.0,-2,-0.0999999999999996,-0.2000000000000001,2.3,-2.0,-0.1999999999999999,0.0,0.0999999999999998,0.5,-0.4000000000000001,-0.4000000000000001,5.0,9.0,0.0999999999999999,-0.1,0.5,-0.0999999999999999,2.0,6.0,0.6000000000000001,0.7,20.0,20.0,1.0,20.0,30.0,0.0,4,5,3,4.0,2,0,-4.38,4.2,Anfield,D
S Hooper,Sat,0.0,1,-1.6999999999999993,1.7999999999999998,-3.0000000000000004,2.1000000000000014,0.6000000000000001,0.1,0.5999999999999999,0.1999999999999999,0.5,-0.3999999999999999,1.0,6.0,-0.2999999999999999,0.0999999999999999,0.0,-0.3,-4.0,3.0,0.3,0.3,20.0,10.0,-1.0,-10.0,10.0,0.0,1,-2,3,0.6700000000000017,-7,-1,-0.2799999999999998,3.3,Vicarage Road,L
R Madley,Sun,0.0,2,-7.1,-4.4,1.0,1.0,1.0,0.0,-1.4,-0.3999999999999999,0.5999999999999999,0.1999999999999999,-20.0,-6.0,-0.7,0.1999999999999999,-0.4,0.2,-9.0,-6.0,-1.2000000000000002,-0.7,-40.0,-20.0,-1.0,-40.0,-30.0,-11.0,-9,-6,-7,-7.329999999999998,8,0,3.25,4.0,Dean Court,W
C Pawson,Wed,0.0,0,-0.5,0.5,0.2000000000000001,-2.299999999999999,-0.1999999999999999,-0.1,0.8,1.1,-0.3,-0.3,11.0,14.0,0.3,0.0999999999999999,0.1,0.1,2.0,0.0,0.7999999999999999,0.7999999999999998,30.0,30.0,1.0,20.0,20.0,1.0,4,5,13,7.329999999999998,-11,0,-4.5,4.5,Tottenham Hotspur Stadium,L
M Jones,Sun,1.0,-7,6.6,6.2,4.1000000000000005,0.0,-0.5,0.0,0.5999999999999999,0.5,0.0,-0.7,6.0,12.0,-0.0999999999999999,0.3999999999999999,0.1999999999999999,-0.4,-5.0,6.0,0.8,1.2,30.0,50.0,0.0,20.0,20.0,-3.0,4,3,3,3.3299999999999983,-5,0,-6.0,4.5,White Hart Lane,L
G Scott,Sat,0.0,0,-6.100000000000001,-3.1,-2.1000000000000005,1.0,0.2000000000000001,-0.2,-1.2000000000000002,-0.8,0.6000000000000001,0.1999999999999999,-18.0,-10.0,-0.7,0.5,-0.4,0.6000000000000001,-12.0,-10.0,-0.7,-0.5,-40.0,-30.0,-1.0,10.0,10.0,-1.0,-7,-10,-12,-9.659999999999997,16,0,8.72,5.5,Falmer Stadium,L
J Moss,Wed,1.0,-1,-4.800000000000001,-3.1,-2.7,1.0,0.3,0.0,-0.8999999999999999,-0.5,0.6,0.0999999999999998,-15.0,-6.0,-0.6,0.5,-0.0999999999999999,0.1,-11.0,-2.0,-0.6000000000000001,-0.1999999999999999,-20.0,0.0,-6.0,-20.0,-20.0,-4.0,-4,-4,-3,-3.6700000000000017,12,0,3.85,4.2,Selhurst Park,L
C Pawson,Wed,0.0,0,-1.9000000000000004,-0.8000000000000003,-0.9000000000000004,-3.0,0.0,0.0,-0.1999999999999999,0.1,0.6,-0.5,-8.0,6.0,0.7999999999999999,0.0,0.7,-0.5,8.0,12.0,-0.1999999999999999,0.5,-10.0,10.0,-3.0,0.0,30.0,-2.0,0,2,-3,-0.3299999999999983,-2,0,0.25,3.4,Bet365 Stadium,D
L Probert,Sat,0.0,-3,1.1999999999999993,1.4,0.4000000000000003,-3.0,-0.3,0.0,0.5999999999999999,-0.1,-0.8,-0.3,14.0,2.0,0.6,-0.7,0.0,0.0999999999999999,13.0,-1.0,1.2,0.3999999999999999,40.0,10.0,0.0,40.0,20.0,1.0,1,2,5,2.6700000000000017,-5,0,-2.48,3.89,King Power Stadium,W
M Dean,Sat,0.0,1,4.5,2.8000000000000003,0.8999999999999995,1.0,-0.1999999999999999,-0.2,0.5,1.6,-1.2999999999999998,-1.2,18.0,28.0,0.2,-0.5,0.8,-0.4,7.0,12.0,1.1,1.8,30.0,50.0,2.0,50.0,80.0,8.0,5,5,5,5.0,-8,0,-15.84,7.5,Old Trafford,W
M Atkinson,Sat,0.0,0,-1.0,0.0,-1.0,0.0999999999999996,0.1999999999999999,0.0,-0.1999999999999999,0.7,0.0,-0.2000000000000001,-2.0,9.0,-0.1,0.0999999999999999,0.5,0.0,-2.0,5.0,-0.0999999999999998,0.6,0.0,20.0,-1.0,-10.0,20.0,-1.0,0,0,2,0.6700000000000017,5,0,-1.65,3.6,Dean Court,L
R Madley,Sat,0.0,0,-0.5,-1.4999999999999996,0.8000000000000003,-1.200000000000001,0.8,0.2,-0.5,0.2,1.1,0.0999999999999996,-16.0,1.0,0.0,0.0999999999999999,0.2,0.1999999999999999,-1.0,0.0,-0.9,0.7000000000000001,-20.0,20.0,-1.0,-50.0,30.0,-4.0,-2,-3,-4,-3.0,2,0,4.1,4.2,Villa Park,D
C Pawson,Sat,0.0,-1,1.9000000000000004,1.7000000000000002,-0.2999999999999998,-3.200000000000001,-0.5,0.1,0.0,0.3999999999999999,-0.9000000000000001,-0.8,9.0,12.0,0.2,-0.3999999999999999,0.2,-0.7999999999999999,6.0,10.0,0.9,1.2,30.0,40.0,0.0,30.0,40.0,1.0,0,2,0,0.6599999999999966,8,0,-0.2999999999999998,3.4,Bet365 Stadium,D
C Kavanagh,Sun,0.0,-3,1.6999999999999993,1.2000000000000002,0.7000000000000002,1.3000000000000007,0.3999999999999999,0.0,0.1,0.3999999999999999,0.6,0.5999999999999999,-5.0,-2.0,-0.1,0.0,0.5,0.0,-1.0,5.0,-0.5,-0.0999999999999998,-10.0,0.0,-2.0,-30.0,-10.0,-3.0,4,2,2,2.6700000000000017,-3,0,-1.75,3.5,Villa Park,D
R East,Sat,0.0,0,-2.1999999999999997,-1.2999999999999998,-1.0999999999999996,0.7999999999999989,0.3,-0.1,0.0,0.0,0.7,-0.8999999999999999,-7.0,9.0,-0.0999999999999999,0.4,-0.0999999999999999,-0.6000000000000001,-5.0,5.0,-0.4000000000000001,0.0,0.0,0.0,-1.0,-40.0,0.0,-1.0,2,4,0,2.0,-5,-1,0.5,3.4,Stadium of Light,D
A Madley,Sat,-1.0,2,1.700000000000001,-0.7999999999999998,1.2999999999999998,2.9000000000000004,0.8999999999999999,0.0,-0.4,-0.7999999999999999,-0.4000000000000001,-0.5,0.0,-3.0,-0.2999999999999999,-0.3,-0.1999999999999999,0.0,0.0,-2.0,-0.0999999999999998,-0.5,0.0,-20.0,0.0,-10.0,-10.0,0.0,-4,-10,-7,-7.0,14,0,0.3499999999999996,3.5,Falmer Stadium,W
A Marriner,Sat,0.0,-2,2.8000000000000007,0.3999999999999994,2.6,0.3000000000000007,-0.0999999999999998,-0.1,-0.1999999999999999,0.0999999999999999,-0.3999999999999999,-0.3999999999999999,2.0,5.0,-0.4999999999999999,-0.4,0.1,-0.3,-1.0,4.0,0.0,0.1,10.0,0.0,-2.0,-20.0,10.0,1.0,5,8,9,7.340000000000003,-12,0,-10.78,6.5,Anfield,D
P Tierney,Sat,0.0,0,-3.5,-0.9000000000000004,-1.0999999999999996,-1.9999999999999991,0.1,0.0,-0.8999999999999999,-0.1999999999999999,1.4,1.3,-23.0,-15.0,-0.3,0.8,-0.1,0.6000000000000001,-11.0,-7.0,-1.1,-0.9999999999999998,-40.0,-30.0,0.0,-30.0,-40.0,-4.0,-4,-4,-2,-3.3299999999999983,1,0,3.0,3.75,King Power Stadium,L
P Bankes,Sat,-1.0,-3,-3.700000000000001,-1.0000000000000004,-1.5999999999999996,1.4000000000000004,0.2999999999999998,0.1,-0.7000000000000001,-0.9000000000000001,-0.1999999999999999,-0.1999999999999999,-5.0,-7.0,0.0999999999999999,-0.2,0.0,-0.2,3.0,2.0,-0.2999999999999998,-0.2,-20.0,-10.0,0.0,10.0,0.0,5.0,-7,-8,-6,-7.0,19,1,5.0,4.33,Craven Cottage,L
N Swarbrick,Mon,0.0,3,-2.5,-2.0,-1.4000000000000004,3.3000000000000007,0.0,-0.2,-0.3999999999999999,-0.6000000000000001,1.0,0.0,-14.0,-6.0,0.2,0.7000000000000001,0.0999999999999999,0.0,-5.0,1.0,-1.1999999999999995,-0.5,-40.0,-10.0,-1.0,-40.0,-30.0,1.0,-8,-9,-5,-7.329999999999998,6,0,4.63,4.0,Bet365 Stadium,L
D Coote,Sun,0.0,-1,-2.299999999999999,-0.7999999999999998,-1.5,-2.1999999999999997,0.2999999999999998,0.1,-0.0999999999999998,0.1999999999999999,-1.3000000000000005,-0.5999999999999999,12.0,8.0,0.0,-1.0,0.2999999999999999,-0.0999999999999999,10.0,4.0,0.7,0.4,20.0,10.0,-1.0,30.0,20.0,-1.0,-1,1,7,2.3299999999999983,-3,0,-0.3999999999999999,3.2,St. James Park,W
T Harrington,Wed,1.0,0,4.0,0.5000000000000004,-0.2000000000000001,0.9000000000000004,0.3999999999999999,0.0,-0.1,0.1,0.2,-0.3,-3.0,4.0,0.2,-0.1999999999999999,0.0,-0.4,4.0,4.0,0.5999999999999999,1.1,30.0,40.0,2.0,0.0,30.0,2.0,2,1,1,1.3299999999999983,-2,0,-1.0,3.4,St. James Park,W
